N	2gram	Vygotskiy_	BTomashe
1	у нас	4	3
2	все это	2	2
3	в ней	2	2
4	можно было	11	2
5	не то	5	2
6	больше чем	6	2
7	и не	18	2
8	вопрос о	15	1
9	говорить о	3	1
10	и о	1	1
11	только более	1	1
12	не только	28	1
13	остановиться на	3	1
14	всего в	1	1
15	систематизации и	1	1
16	таким образом	30	1
17	не было	1	1
18	меньшей мере	1	1
19	прежде всего	5	1
20	моментом в	2	1
21	функцией в	1	1
22	и в	33	1
23	на самом	3	1
24	так и	8	1
25	на которой	1	1
26	в своей	5	1
27	во всяком	4	1
28	и потому	3	1
29	и во	2	1
30	по нашему	1	1
31	за пределы	4	1
32	как часть	1	1
33	в речи	3	1
34	с другой	11	1
35	об этом	1	1
36	значение слова	4	1
37	как будто	2	1
38	точке зрения	1	1
39	совершенно не	5	1
40	другой стороны	9	1
41	всяком случае	2	1
42	кроме того	2	1
43	было бы	18	1
44	и ее	2	1
45	только одной	2	1
46	чем на	1	1
47	одной из	5	1
48	почти совершенно	1	1
49	в пределах	6	1
50	в данном	4	1
51	теоретической и	1	1
52	должна быть	7	1
53	выпадает из	1	1
54	в области	19	1
55	является только	1	1
56	тем более	5	1
57	в научном	5	1
58	то как	3	1
59	и более	8	1
60	что все	9	1
61	нашему мнению	1	1
62	никак не	6	1
63	значительной степени	1	1
64	чтобы можно	1	1
65	его не	1	1
66	более подробно	1	1
67	а не	14	1
68	отнюдь не	2	1
69	до конца	3	1
70	представляется нам	4	1
71	сейчас в	1	1
72	и на	11	1
73	между ними	5	1
74	еще не	11	1
75	к ней	1	1
76	все же	5	1
77	что в	33	1
78	меньше чем	1	1
