N	2gram	Tiupa_Narr	Mirosoze
1	и в	19	97
2	может быть	25	64
3	не только	32	63
4	в этом	17	55
5	но и	23	54
6	он не	3	53
7	а не	12	53
8	в нем	4	49
9	не может	10	49
10	у него	4	47
11	и не	20	39
12	никогда не	3	38
13	в ней	3	37
14	потому что	1	37
15	не было	2	36
16	не в	14	34
17	и есть	2	33
18	для него	2	31
19	не есть	3	30
20	но он	1	30
21	человека в	2	30
22	как и	7	29
23	прежде всего	4	29
24	и он	3	27
25	в мире	9	27
26	но в	6	27
27	и все	2	24
28	у нас	1	24
29	в своем	2	23
30	что в	3	23
31	что он	6	22
32	в самом	1	21
33	достоевского и	1	21
34	в себе	8	20
35	отношение к	2	20
36	в россии	1	19
37	как бы	4	19
38	человек не	1	19
39	в его	9	18
40	того что	2	17
41	и потому	2	17
42	том что	14	16
43	в том	18	16
44	на земле	1	16
45	то что	11	16
46	было бы	4	16
47	и его	5	16
48	быть может	2	15
49	в котором	1	15
50	не знает	1	15
51	в этой	5	15
52	в конце	1	14
53	она не	2	14
54	нет ничего	1	14
55	та же	2	13
56	и на	3	13
57	в них	1	12
58	он сам	2	12
59	к нему	5	12
60	и у	1	12
61	но не	6	12
62	это не	2	12
63	и к	1	11
64	уже не	5	11
65	хотя бы	4	11
66	в русской	1	11
67	только в	4	11
68	как в	7	11
69	и там	1	11
70	но это	1	11
71	и для	2	11
72	жизни и	3	11
73	то же	4	10
74	так же	2	10
75	один из	3	10
76	должна быть	2	10
77	не могут	1	10
78	не имеет	2	10
79	это и	3	10
80	в самой	1	10
81	человека к	1	10
82	есть не	1	10
83	к тому	7	9
84	не мог	4	9
85	что и	1	9
86	х годов	1	9
87	человек и	1	9
88	не будет	3	9
89	он уже	2	9
90	то есть	19	9
91	с ним	1	9
92	в свою	3	9
93	и во	1	9
94	есть уже	1	9
95	а в	11	9
96	лишь в	1	9
97	от него	1	8
98	христа в	1	8
99	и с	4	8
100	тем что	3	8
101	человека есть	1	8
102	о том	6	8
103	себя в	5	8
104	что не	4	8
105	не так	1	8
106	нет и	2	8
107	с его	6	8
108	ничего не	2	8
109	они не	2	8
110	уже в	3	8
111	мира и	2	8
112	не существует	3	7
113	что все	1	7
114	точки зрения	10	7
115	те же	4	7
116	на этом	1	7
117	отношения к	2	7
118	жизни в	3	7
119	себя и	2	7
120	мог бы	3	7
121	также и	1	7
122	в судьбе	1	7
123	все еще	1	7
124	есть прежде	1	6
125	с этой	1	6
126	не как	2	6
127	к концу	1	6
128	было в	2	6
129	всего в	1	6
130	что у	2	6
131	там и	1	6
132	его в	2	6
133	совсем не	1	6
134	можно было	2	6
135	по своей	3	6
136	и от	1	6
137	и здесь	1	6
138	что это	3	6
139	если бы	1	6
140	в которых	1	6
141	бы не	2	6
142	в ее	3	6
143	в смысл	1	6
144	должен был	1	6
145	и более	1	6
146	нет у	2	6
147	быть и	1	6
148	к ней	1	6
149	еще не	7	5
150	мысли и	1	5
151	одно из	2	5
152	и как	5	5
153	мысли о	1	5
154	отличается от	4	5
155	мы увидим	1	5
156	перед ним	1	5
157	сказать что	4	5
158	к которому	2	5
159	все время	1	5
160	на протяжении	6	5
161	личности в	2	5
162	от этого	1	5
163	сих пор	1	5
164	в то	3	5
165	когда он	3	5
166	до сих	1	5
167	они и	2	5
168	оно не	2	5
169	да и	4	5
170	его и	1	5
171	в основе	5	5
172	в мир	1	5
173	в самую	2	5
174	тот же	1	5
175	которых он	1	5
176	так и	9	5
177	как у	1	5
178	в их	1	5
179	на путь	1	5
180	как будто	3	5
181	в той	6	4
182	что было	1	4
183	человеческой жизни	1	4
184	нас в	1	4
185	и даже	3	4
186	небо и	1	4
187	отношением к	1	4
188	культуры в	1	4
189	было не	1	4
190	на природу	1	4
191	нельзя было	1	4
192	не всегда	2	4
193	в него	1	4
194	по отношению	7	4
195	не что	2	4
196	что они	3	4
197	что иное	2	4
198	к себе	5	4
199	и через	1	4
200	не от	2	4
201	будто бы	3	4
202	была в	1	4
203	в чем	1	4
204	а с	3	4
205	он живет	1	4
206	человека как	1	4
207	его личности	2	4
208	и по	1	4
209	не случайно	2	4
210	живет в	1	4
211	ни в	3	4
212	и тот	2	4
213	но на	1	4
214	в начале	1	4
215	оно есть	1	4
216	как о	1	4
217	от его	1	4
218	никто не	1	4
219	к другому	2	4
220	и тогда	1	4
221	и до	2	4
222	и народ	1	4
223	как к	2	4
224	не знают	1	4
225	могут быть	3	4
226	мир в	1	4
227	может не	3	4
228	ни с	1	4
229	мы не	1	4
