N	2gram	Tiupa_Disk	IolandNe
1	и с	2	3
2	что в	8	2
3	оба они	2	2
4	самого себя	1	2
5	он не	4	2
6	должен быть	1	2
7	ничего не	1	2
8	и не	25	2
9	в этом	29	2
10	говорить о	3	1
11	все эти	2	1
12	а в	5	1
13	и о	4	1
14	с рассказчиком	1	1
15	утверждает что	1	1
16	это было	2	1
17	и со	1	1
18	для него	9	1
19	не остается	1	1
20	вплоть до	2	1
21	тем что	4	1
22	не случайно	2	1
23	а позднее	4	1
24	бы его	1	1
25	того же	5	1
26	художественного творчества	1	1
27	введение в	1	1
28	и др	3	1
29	о жизни	1	1
30	первую очередь	3	1
31	жизни и	2	1
32	пушкина и	1	1
33	с другой	14	1
34	в целом	5	1
35	более чем	3	1
36	человеке и	1	1
37	очевидно что	1	1
38	стороны он	1	1
39	другой стороны	5	1
40	я не	1	1
41	себя в	8	1
42	странное и	1	1
43	с литературными	2	1
44	могло бы	1	1
45	то и	1	1
46	и еще	1	1
47	в первую	3	1
48	если бы	1	1
49	отношению к	13	1
50	следующим образом	1	1
51	и сам	2	1
52	того что	4	1
53	цель и	1	1
54	а с	8	1
55	автор и	3	1
56	а также	15	1
57	так и	14	1
58	автора и	1	1
59	в основе	11	1
60	в значительной	3	1
61	о ней	2	1
62	от этого	1	1
63	и без	2	1
64	а для	1	1
65	другое дело	1	1
66	не дает	1	1
67	а по	2	1
68	и в	27	1
69	никогда не	3	1
70	своего исследования	1	1
71	все это	2	1
72	по отношению	13	1
73	со всеми	1	1
74	как о	1	1
75	то она	2	1
76	в них	6	1
