N	2gram	Losev_Dial	UchenyiS
1	и в	34	14
2	не только	35	10
3	а не	39	10
4	и не	50	8
5	прежде всего	20	8
6	то что	25	7
7	вот почему	3	7
8	в этом	14	7
9	не может	29	7
10	может быть	30	6
11	в искусстве	1	6
12	перестает быть	2	5
13	хотя бы	9	5
14	то же	9	5
15	и только	6	5
16	все это	13	5
17	художественное произведение	1	5
18	в конечном	1	4
19	с другой	5	4
20	в этой	3	4
21	конечном счете	1	4
22	конечно не	6	4
23	что такое	25	4
24	но и	14	4
25	в их	2	4
26	бы то	3	3
27	было бы	13	3
28	не о	6	3
29	и то	7	3
30	и формы	2	3
31	только к	3	3
32	или точнее	1	3
33	как такового	1	3
34	для этого	3	3
35	очевидно что	1	3
36	это не	13	3
37	как и	14	3
38	то ни	4	3
39	для него	4	3
40	в своей	4	3
41	все же	4	3
42	ни было	1	3
43	в частности	3	3
44	в то	9	3
45	не как	1	3
46	у нас	7	3
47	другой стороны	4	3
48	но в	3	3
49	же время	5	3
50	этого термина	1	2
51	все они	1	2
52	таким образом	14	2
53	в самом	9	2
54	выдвигает на	1	2
55	если не	3	2
56	не приходится	2	2
57	если бы	10	2
58	самом деле	7	2
59	могут быть	5	2
60	не в	11	2
61	ни от	6	2
62	это было	5	2
63	бы и	2	2
64	для всех	1	2
65	и с	10	2
66	до сих	1	2
67	их и	1	2
68	же самое	1	2
69	думается что	1	2
70	крайней мере	10	2
71	как таковой	6	2
72	но не	3	2
73	по существу	2	2
74	форму и	1	2
75	мы и	4	2
76	тем что	5	2
77	как принцип	2	2
78	в себе	8	2
79	в его	6	2
80	в конце	2	2
81	даже и	9	2
82	должна быть	11	2
83	мы не	11	2
84	мы получаем	1	2
85	их взаимоотношении	1	2
86	сколько угодно	1	2
87	именно как	3	2
88	ничего не	29	2
89	всех этих	3	2
90	что она	13	2
91	не есть	95	2
92	что он	18	2
93	конце концов	1	2
94	при таком	2	2
95	этом отношении	2	2
96	о чем	2	2
97	фактов и	3	2
98	как раз	11	2
99	а его	1	2
100	в некоторых	3	2
101	тех или	6	2
102	не могут	6	2
103	а как	2	2
104	что мы	10	2
105	в том	17	2
106	это уже	2	2
107	том что	18	2
108	и через	1	2
109	надо было	4	2
110	или иных	2	2
111	нас в	3	2
112	но это	10	2
113	этом смысле	1	2
114	но даже	4	2
115	и для	5	2
116	и является	2	2
117	что и	8	2
118	в сторону	1	2
119	конечно нет	1	2
120	с его	7	2
121	и у	3	2
122	превращается в	6	2
123	на первый	4	2
124	сих пор	1	2
125	по крайней	10	2
126	только в	10	2
127	по себе	31	2
128	что все	16	2
129	очевидно не	2	2
130	вопроса о	1	2
131	и исторические	1	1
132	было у	1	1
133	признать что	1	1
134	так то	5	1
135	что было	2	1
136	все в	3	1
137	само же	1	1
138	что в	12	1
139	была уже	1	1
140	случилось с	1	1
141	не было	6	1
142	и глубина	1	1
143	вне его	1	1
144	так или	2	1
145	бы только	3	1
146	и даже	21	1
147	связанных с	1	1
148	первый план	4	1
149	этого и	1	1
150	более или	1	1
151	но тут	2	1
152	всего что	1	1
153	и потому	6	1
154	и этого	2	1
155	метод и	1	1
156	конечно это	1	1
157	столько же	1	1
158	на знание	1	1
159	но он	3	1
160	исторических фактов	1	1
161	в свое	1	1
162	или просто	1	1
163	в которой	1	1
164	такое понимание	2	1
165	не самый	1	1
166	сколько и	1	1
167	все и	1	1
168	имеем в	1	1
169	можно сказать	5	1
170	этого не	2	1
171	как таковыми	1	1
172	мы можем	3	1
173	что же	12	1
174	отлична от	1	1
175	или иначе	2	1
176	в данном	6	1
177	все его	2	1
178	что под	1	1
179	временной последовательности	1	1
180	бы равносильно	2	1
181	что ему	1	1
182	как таковая	5	1
183	больше чем	2	1
184	а для	2	1
185	нет и	5	1
186	как на	6	1
187	равно как	2	1
188	что никакого	1	1
189	цельного и	1	1
190	есть наука	1	1
191	и случилось	1	1
192	религии и	1	1
193	никогда и	1	1
194	а где	1	1
195	быть не	3	1
196	только одним	1	1
197	он в	1	1
198	восприятия а	1	1
199	и все	17	1
200	объекта и	1	1
201	не самые	1	1
202	что этот	3	1
203	что угодно	2	1
204	в точном	2	1
205	из самых	3	1
206	научного анализа	1	1
207	состоит из	2	1
208	же как	4	1
209	как таковое	5	1
210	быть оправданы	1	1
211	является предметом	1	1
212	сказать что	7	1
213	в сфере	3	1
214	и эта	1	1
215	время на	1	1
216	претендует на	2	1
217	в процессе	2	1
218	она должна	3	1
219	данном случае	3	1
220	является наиболее	1	1
221	он будет	3	1
