N	2gram	Kanaev_Sov	BTomashe
1	у нас	3	3
2	все это	3	2
3	в ней	1	2
4	можно было	1	2
5	и не	6	2
6	вопрос о	4	1
7	говорить о	2	1
8	и нет	1	1
9	не только	4	1
10	остановиться на	1	1
11	а о	1	1
12	таким образом	11	1
13	не было	1	1
14	прежде всего	5	1
15	и в	7	1
16	на самом	1	1
17	на которой	1	1
18	во всяком	2	1
19	и потому	3	1
20	и во	2	1
21	говорить об	2	1
22	по крайней	1	1
23	с другой	1	1
24	совершенно не	2	1
25	крайней мере	1	1
26	всяком случае	2	1
27	кроме того	1	1
28	было бы	3	1
29	одной из	1	1
30	почти совершенно	1	1
31	в данном	1	1
32	необходимо отметить	2	1
33	в области	3	1
34	является только	1	1
35	и более	1	1
36	что все	2	1
37	ясного и	2	1
38	а не	3	1
39	отнюдь не	3	1
40	между ними	1	1
41	еще не	3	1
42	все же	3	1
43	что в	2	1
