N	2gram	Bakhtin_Pr	IolandNe
1	и с	17	3
2	что в	7	2
3	он не	3	2
4	должен быть	2	2
5	бы что	1	2
6	ничего не	6	2
7	и не	42	2
8	в этом	15	2
9	говорить о	3	1
10	все эти	5	1
11	для того	2	1
12	а в	6	1
13	и о	5	1
14	понятий и	2	1
15	это было	1	1
16	и со	1	1
17	для него	1	1
18	не остается	2	1
19	ученый но	1	1
20	основе всего	1	1
21	стали бы	1	1
22	вплоть до	1	1
23	тех же	1	1
24	тем что	2	1
25	только что	1	1
26	ибо и	1	1
27	от нее	1	1
28	эти научные	1	1
29	нам в	1	1
30	художественного творчества	12	1
31	и др	8	1
32	жизни и	1	1
33	с другой	7	1
34	в целом	3	1
35	нее и	1	1
36	другой стороны	4	1
37	я не	2	1
38	себя в	2	1
39	произведения и	2	1
40	как только	3	1
41	если бы	3	1
42	отношению к	19	1
43	бы все	1	1
44	в художественном	20	1
45	по существу	2	1
46	исследователь должен	1	1
47	того что	2	1
48	из подполья	1	1
49	по поводу	2	1
50	так то	1	1
51	а также	1	1
52	так и	5	1
53	художественном творчестве	10	1
54	автора и	1	1
55	в основе	5	1
56	все четыре	1	1
57	в значительной	2	1
58	и серьезно	1	1
59	о ней	1	1
60	того чтобы	2	1
61	произведения это	2	1
62	и без	1	1
63	бы в	1	1
64	и ничего	1	1
65	не дает	2	1
66	есть только	2	1
67	и в	38	1
68	видит в	1	1
69	никогда не	5	1
70	все это	3	1
71	по отношению	21	1
72	со всеми	3	1
73	нисколько не	1	1
74	и литература	1	1
75	как о	1	1
76	в них	5	1
