N	4gram	Tiupa_Narr	Problema
1	не что иное как	2	14
2	есть не что иное	1	11
3	в той или иной	2	10
4	дело в том что	1	10
5	но в таком случае	1	7
6	бы то ни было	3	6
7	и с точки зрения	1	4
8	в том числе и	4	4
9	в том или ином	2	4
10	и в то же	1	3
11	одного и того же	1	3
12	с этой точки зрения	1	3
13	в том что он	1	3
14	дело здесь не в	1	3
15	в том что в	1	2
16	хотя бы одной из	1	2
17	один и тот же	1	2
18	ничем не отличается от	1	2
19	мысль о том что	1	2
20	сам по себе а	1	2
21	не кто иной как	1	2
22	в нем не только	1	1
23	то только потому что	1	1
24	то по крайней мере	1	1
25	и до наших дней	1	1
26	в то же время	3	1
27	поскольку речь идет о	1	1
28	это пока еще только	1	1
29	мы имеем дело не	1	1
30	бы одной из этих	1	1
31	в силу которого он	1	1
32	имеем дело не с	1	1
33	но о том что	1	1
34	во времени и пространстве	4	1
35	есть так или иначе	1	1
36	том или ином отношении	1	1
37	состоит в том что	2	1
38	является в данном случае	1	1
39	вовсе не то что	1	1
40	не может быть и	1	1
41	но это не так	1	1
42	само по себе оно	1	1
43	какой бы то ни	1	1
44	мы имеем дело с	1	1
