N	2gram	Propp_Isto	PoTuStor
1	может быть	22	17
2	и в	43	16
3	и пр	19	12
4	таким образом	15	9
5	в этом	25	9
6	прежде всего	3	9
7	мы можем	10	9
8	и только	6	9
9	совершенно не	2	8
10	точки зрения	3	8
11	и с	10	8
12	не может	8	8
13	и его	10	8
14	не только	28	7
15	сказать что	5	7
16	с его	1	7
17	и к	4	6
18	при этом	4	6
19	самом деле	1	6
20	к отцу	3	6
21	и это	5	6
22	конечно не	3	6
23	с точки	1	6
24	что такое	1	5
25	ни в	2	5
26	все эти	8	5
27	только для	1	5
28	в чем	4	5
29	еще не	15	5
30	как бы	5	5
31	отношение к	4	5
32	в него	3	5
33	все что	4	4
34	для всех	1	4
35	и на	7	4
36	так как	13	4
37	все это	4	4
38	в его	7	4
39	художественного творчества	1	4
40	так и	6	4
41	на самом	2	4
42	его в	7	4
43	и даже	4	4
44	и все	4	4
45	с ними	5	4
46	только в	8	4
47	и не	16	4
48	но мы	1	4
49	можно сказать	3	4
50	с самого	1	4
51	но и	24	4
52	хотя бы	3	4
53	и может	1	4
54	и их	4	4
55	самого начала	1	4
56	в этой	7	4
57	как мы	11	4
58	мифов и	2	4
59	отнюдь не	1	4
60	в нем	11	4
61	с ее	2	4
62	в один	1	4
63	и ее	3	4
64	и наконец	1	4
65	но в	15	4
66	и вот	3	3
67	до сих	7	3
68	в основном	1	3
69	к себе	3	3
70	в том	13	3
71	мы знаем	11	3
72	те же	2	3
73	с другими	1	3
74	на этой	2	3
75	между ними	1	3
76	их в	6	3
77	для сознания	1	3
78	и как	6	3
79	что в	29	3
80	и она	5	3
81	том что	12	3
82	большинстве случаев	3	3
83	вместе с	12	3
84	на этом	5	3
85	в этих	18	3
86	сравнению с	2	3
87	матери и	3	3
88	во всех	1	3
89	во всяком	2	3
90	и потому	2	3
91	тех же	2	3
92	только как	1	3
93	по сравнению	2	3
94	как это	5	3
95	только на	2	3
96	в одном	9	3
97	даже не	2	3
98	а в	13	3
99	в большинстве	2	3
100	то что	20	3
101	и др	4	3
102	могут быть	9	3
103	и есть	3	3
104	сих пор	7	3
105	жизни и	2	3
106	в области	1	3
107	всяком случае	2	3
108	во время	8	3
109	в самом	1	2
110	доступ в	1	2
111	мы видим	15	2
112	и этот	2	2
113	это делает	2	2
114	они не	4	2
115	мы не	3	2
116	с этой	3	2
117	по всему	2	2
118	что это	4	2
119	ее в	3	2
120	в область	1	2
121	для нас	6	2
122	и через	1	2
123	и этим	1	2
124	но как	2	2
125	что и	17	2
126	сводится к	1	2
127	у него	4	2
128	не на	2	2
129	дела с	1	2
130	со всеми	1	2
131	в них	6	2
132	а на	5	2
133	и других	1	2
134	не знает	2	2
135	что не	3	2
136	и действительно	5	2
137	здесь же	1	2
138	вообще не	2	2
139	в жизни	3	2
140	как и	9	2
141	что он	17	2
142	же как	8	2
143	не есть	3	2
144	только то	1	2
145	в своей	4	2
146	и так	3	2
147	по своему	1	2
148	себя и	1	2
149	находится на	1	2
150	войти в	1	2
151	знаем что	9	2
152	не менее	6	2
153	в каком	1	2
154	не удается	1	2
155	мир для	1	2
156	на них	2	2
157	с этим	13	2
158	при всей	1	2
159	к этому	10	2
160	не существует	1	2
161	между собой	2	2
162	что мы	5	2
163	мы уже	9	2
164	связанных с	4	2
165	другими словами	2	2
166	все остальные	1	2
167	из этих	5	2
168	ту же	2	2
169	на основе	1	2
170	на два	1	2
171	этих трех	1	2
172	в этот	6	2
173	он не	11	2
174	с помощью	1	2
175	в частности	6	2
176	не будет	1	2
177	оно и	1	2
178	характерно для	2	2
179	говорить о	1	2
180	есть и	7	2
181	в науке	1	2
182	в начале	2	2
183	в мир	1	2
184	в пределах	5	2
185	как не	2	2
186	так же	16	2
187	цели и	1	2
188	потому и	1	2
189	было бы	5	2
190	к ним	1	2
191	нет и	1	2
192	и о	2	2
193	своей жизни	1	2
194	с нею	1	2
195	находится в	4	2
196	что на	6	2
197	о том	4	2
198	в голову	1	2
199	от матери	1	2
200	всю жизнь	2	2
201	один из	7	2
202	и по	6	2
203	с ним	1	2
204	нет никаких	2	2
205	но это	5	2
206	и для	3	2
207	для этого	1	2
208	нам кажется	1	2
209	то же	11	2
210	не можем	2	2
211	за счет	2	2
212	никогда не	9	2
213	и ту	1	1
214	что было	3	1
215	к сожалению	1	1
216	хорошо и	1	1
217	остановиться подробнее	1	1
218	его состав	1	1
219	во всем	3	1
220	по мнению	1	1
221	от нее	1	1
222	я у	1	1
223	дает нам	3	1
224	что они	14	1
225	и то	4	1
226	в другой	6	1
227	не нашел	1	1
228	и вместо	1	1
229	образом и	2	1
230	но никогда	1	1
231	в более	1	1
232	на языке	1	1
233	в центре	1	1
234	нужно снять	1	1
235	и здесь	8	1
236	мы и	1	1
237	только те	1	1
238	же и	1	1
239	о двух	1	1
240	со всем	1	1
241	нельзя сказать	1	1
242	животное но	1	1
243	друга в	1	1
244	данном случае	6	1
245	в момент	1	1
246	только что	3	1
247	на вопрос	1	1
248	не слишком	1	1
249	которая в	2	1
250	и дать	1	1
251	с одной	2	1
252	уже в	1	1
253	на ее	1	1
254	ним и	1	1
255	во власти	1	1
256	в состоянии	2	1
257	взял его	1	1
258	не будем	6	1
259	дело с	2	1
260	мы имеем	24	1
261	еще более	3	1
262	это и	4	1
263	несмотря на	1	1
264	б не	1	1
265	его за	1	1
266	говорит и	2	1
267	характер этого	1	1
268	уже знаем	3	1
269	для всего	1	1
270	из моментов	1	1
271	на своей	1	1
272	хотя и	4	1
273	в разных	1	1
274	с тем	3	1
275	имеем дело	1	1
276	что при	3	1
277	через некоторое	2	1
278	только не	2	1
279	как раз	1	1
280	в некоторых	9	1
281	сын не	1	1
282	говорит о	1	1
283	привести к	1	1
284	о нем	2	1
285	что только	1	1
286	в качестве	4	1
287	более позднее	2	1
288	нас в	1	1
289	но во-первых	1	1
290	для объяснения	1	1
291	согласии с	1	1
292	у нас	7	1
293	здесь в	2	1
294	то нам	1	1
295	для них	3	1
296	и другими	1	1
297	и делает	1	1
298	в виду	2	1
299	я не	3	1
300	у многих	2	1
301	касается не	1	1
302	подобно тому	3	1
303	в русском	3	1
304	что между	1	1
305	них и	1	1
306	можно было	3	1
307	власти и	1	1
308	связь с	12	1
309	вне этой	1	1
310	как они	1	1
311	в своих	1	1
312	является и	3	1
313	связи с	9	1
314	особого рода	3	1
315	этой точки	1	1
316	на этот	1	1
317	сущность этого	1	1
318	если бы	7	1
319	столь же	1	1
320	иногда и	1	1
321	в свои	1	1
322	не говорит	2	1
323	и сам	1	1
324	от своего	3	1
325	пока только	2	1
326	по женской	3	1
327	с ней	6	1
328	и можно	1	1
329	жизнь в	1	1
330	что его	2	1
331	на волю	4	1
332	из сознания	1	1
333	этим и	1	1
334	но эта	2	1
335	это мы	2	1
336	любовь и	1	1
337	и столь	1	1
338	был связан	1	1
339	но не	10	1
340	эти две	1	1
341	и эта	1	1
342	форму и	1	1
343	в глубине	1	1
344	в эпоху	1	1
345	ничего удивительного	1	1
346	форма гроба	1	1
347	из того	2	1
348	а то	2	1
349	позднее время	1	1
350	из всего	1	1
351	ясно из	1	1
352	я умру	2	1
353	случае не	1	1
354	в корне	1	1
355	в связи	5	1
356	зависит от	1	1
357	уже непонятным	1	1
358	и они	4	1
359	очень важный	1	1
360	им а	1	1
361	может стать	1	1
362	по смыслу	1	1
363	что по	2	1
364	в порядке	1	1
365	пр это	1	1
366	в мире	1	1
367	все же	13	1
368	человека на	1	1
369	при таком	1	1
370	почти во	1	1
371	том смысле	1	1
372	не что	6	1
373	а иногда	1	1
374	перейти к	2	1
375	в следующем	1	1
376	к нашей	2	1
377	от этого	1	1
378	приводит к	1	1
379	на все	2	1
380	не имеет	3	1
381	и могут	1	1
382	может привести	1	1
383	смерть в	1	1
384	становится ясным	2	1
385	этом нет	1	1
386	века в	1	1
387	выше мы	5	1
388	в свете	6	1
389	легче всего	1	1
390	он является	3	1
391	зависимости от	1	1
392	в себя	3	1
393	это было	1	1
394	отец не	3	1
395	роль в	2	1
396	со стороны	3	1
397	пока не	3	1
398	на его	5	1
399	не пытается	1	1
400	человеческое сознание	1	1
401	мы считаем	1	1
402	с другом	2	1
403	на своем	1	1
404	но если	2	1
405	полагает что	1	1
406	говорит об	1	1
407	вовсе не	3	1
408	уже не	11	1
409	к тому	9	1
410	где оно	1	1
411	свой смысл	1	1
412	не входит	1	1
413	всем его	1	1
414	жизни является	1	1
415	связано с	4	1
416	которые были	1	1
417	однако не	2	1
418	этот мотив	8	1
419	этих двух	2	1
420	но этим	1	1
421	в известных	1	1
422	его мать	1	1
423	без всякой	1	1
424	нет ничего	3	1
425	ко всему	1	1
426	и тех	1	1
427	предположить что	11	1
428	его и	6	1
429	наконец и	1	1
430	искать в	1	1
431	человека в	2	1
432	он был	1	1
433	для его	1	1
434	в данном	7	1
435	и быть	1	1
436	быть объяснены	1	1
437	собственно с	1	1
438	значение так	1	1
439	отличается от	1	1
440	только путем	1	1
441	вопрос о	4	1
442	же знакомых	1	1
443	на один	2	1
444	не имеют	2	1
445	они становятся	1	1
446	со всех	1	1
447	два момента	1	1
448	мы увидим	6	1
449	отсюда и	1	1
450	в самых	3	1
451	и социальной	1	1
452	на некоторых	1	1
453	то и	7	1
454	и золотого	1	1
455	этих способностей	1	1
456	она не	4	1
457	близко к	1	1
458	в течение	6	1
459	с нами	1	1
460	в свою	5	1
461	входит в	1	1
462	роль их	2	1
463	его не	3	1
464	одной стороны	2	1
465	не дает	3	1
466	здесь только	1	1
467	в другом	11	1
