N	3gram	Vinokur_Vv	PoTuStor
1	с точки зрения	4	6
2	на самом деле	1	4
3	с самого начала	1	4
4	до сих пор	7	3
5	не может быть	10	3
6	по крайней мере	4	3
7	в этом смысле	10	3
8	по сравнению с	4	3
9	во всяком случае	5	3
10	можно сказать что	3	3
11	но в общем	1	2
12	все то что	1	2
13	нечего и говорить	1	2
14	так же как	1	2
15	а потому и	1	2
16	во всех его	1	2
17	о том что	13	2
18	не могут быть	2	2
19	в самом деле	6	2
20	и в этом	4	2
21	каждое из этих	1	1
22	все же в	1	1
23	в том что	15	1
24	в известных пределах	1	1
25	то что можно	1	1
26	все эти разнородные	1	1
27	увидим что оно	1	1
28	не что иное	5	1
29	что иное как	5	1
30	из всего сказанного	1	1
31	дело в том	3	1
32	той или иной	3	1
33	прежде всего к	1	1
34	вместе с тем	3	1
35	и говорить о	1	1
36	мы уже знаем	2	1
37	но вместе с	2	1
38	подобно тому как	2	1
39	самом деле есть	1	1
40	во многих случаях	1	1
41	в применении к	6	1
42	можно было бы	4	1
43	и прежде всего	1	1
44	в данном случае	4	1
45	мы имеем в	1	1
46	для нашего времени	1	1
47	как мы знаем	1	1
48	обратим внимание на	2	1
49	в том смысле	1	1
50	как это было	1	1
51	этом смысле они	1	1
52	только в одном	1	1
53	всяком случае не	2	1
54	то ни было	1	1
55	имеем в виду	1	1
56	и того же	2	1
57	этой точки зрения	2	1
58	в свое время	3	1
59	было до сих	1	1
60	с этой точки	2	1
61	его отношение к	1	1
62	то же самое	3	1
63	она может быть	1	1
64	как один из	1	1
65	для того чтобы	22	1
66	что может быть	3	1
67	с одной стороны	4	1
68	на этом пути	1	1
69	да притом еще	1	1
70	говорить о том	1	1
71	в этом отношении	4	1
72	связи с этим	1	1
73	на вопрос о	4	1
74	вообще не может	2	1
75	со стороны формы	1	1
76	в них и	1	1
77	бы то ни	1	1
78	в следующем в	1	1
79	имеем дело с	1	1
80	одного и того	2	1
81	же самое и	1	1
82	в связи с	2	1
83	может быть только	1	1
