N	2gram	Propp_Morf	IolandNe
1	и с	1	3
2	что в	10	2
3	самого себя	2	2
4	он не	5	2
5	ничего не	5	2
6	и не	16	2
7	в этом	18	2
8	говорить о	4	1
9	все эти	5	1
10	для того	3	1
11	и очень	1	1
12	а в	8	1
13	это было	3	1
14	то получается	2	1
15	и со	1	1
16	для него	2	1
17	вплоть до	1	1
18	с героем	2	1
19	тех же	4	1
20	тем что	4	1
21	только что	3	1
22	а если	4	1
23	не слишком	3	1
24	наоборот не	1	1
25	не так	2	1
26	и др	12	1
27	о жизни	1	1
28	и задача	1	1
29	с другой	9	1
30	в целом	5	1
31	более чем	1	1
32	литература о	1	1
33	точно и	1	1
34	в эту	1	1
35	другой стороны	5	1
36	себя в	2	1
37	могло бы	1	1
38	после смерти	1	1
39	что при	3	1
40	если бы	3	1
41	отношению к	7	1
42	в руки	4	1
43	первая жена	1	1
44	следующим образом	4	1
45	по существу	13	1
46	исследователь должен	1	1
47	того что	3	1
48	них не	1	1
49	а с	2	1
50	только для	2	1
51	так то	1	1
52	и тот	2	1
53	и многое	1	1
54	многое другое	1	1
55	а также	7	1
56	так и	10	1
57	свою жену	1	1
58	в основе	2	1
59	следовательно в	1	1
60	того чтобы	4	1
61	а для	1	1
62	бы в	2	1
63	этим и	1	1
64	не дает	1	1
65	а по	3	1
66	и в	17	1
67	видит в	1	1
68	все это	2	1
69	по отношению	7	1
70	и дети	1	1
71	со всеми	1	1
72	на котором	4	1
73	нисколько не	1	1
74	то она	1	1
75	в них	1	1
