N	3gram	Trubetskoy	Tvorches
1	в то же	10	25
2	то же время	10	24
3	в том что	7	11
4	о том что	2	8
5	не может быть	4	6
6	но в то	1	6
7	в самом деле	1	5
8	в том же	1	5
9	по отношению к	1	5
10	до сих пор	5	4
11	по крайней мере	1	4
12	с точки зрения	9	4
13	дело в том	1	4
14	с самого начала	1	4
15	что все это	1	3
16	точно так же	2	3
17	во всяком случае	6	3
18	и все же	1	3
19	и не может	3	3
20	что он не	2	2
21	может быть назван	1	2
22	он еще не	1	2
23	в данном случае	3	2
24	и в другом	2	2
25	заключает в себе	1	2
26	для того чтобы	6	2
27	в том числе	1	2
28	тем не менее	1	2
29	самим собой в	1	2
30	то есть не	1	2
31	но при этом	1	2
32	в конце концов	3	2
33	том числе и	1	2
34	к тому же	1	2
35	несмотря на все	1	2
36	никогда не было	1	2
37	в связи с	1	2
38	в свою очередь	1	2
39	вместе с тем	3	2
40	не только для	1	2
41	заключается в том	1	2
42	только то что	1	2
43	на этот вопрос	1	2
44	на самом деле	6	2
45	так же как	1	2
46	как бы ни	1	2
47	и что в	1	2
48	лишь в том	2	1
49	перед самим собой	1	1
50	и как бы	1	1
51	отказаться от своей	1	1
52	в применении к	1	1
53	в согласии с	1	1
54	он на самом	1	1
55	но мы знаем	1	1
56	но ведь в	1	1
57	он не может	1	1
58	чудесным образом в	1	1
59	говорить о том	1	1
60	он как будто	1	1
61	как бы не	1	1
62	и от которого	1	1
63	самого себя если	1	1
64	с самим собой	2	1
65	приходит к сознанию	1	1
66	а между тем	5	1
67	в нем самом	1	1
68	и тем самым	2	1
69	во многих случаях	1	1
70	и прежде всего	1	1
71	важно отметить что	1	1
72	и в других	1	1
73	то ни было	1	1
74	и того же	1	1
75	полное представление о	1	1
76	одну и ту	1	1
77	то же самое	1	1
78	к тому что	2	1
79	что с точки	1	1
80	не может не	3	1
81	как же может	1	1
82	бы то ни	4	1
83	для себя из	1	1
84	на первый взгляд	1	1
85	о том чтобы	2	1
86	и в том	2	1
87	и в этом	1	1
88	к вопросу о	3	1
89	казалось бы это	1	1
90	в том и	2	1
91	того или иного	2	1
92	за то что	1	1
93	той или иной	3	1
94	и должно быть	1	1
95	прежде всего на	1	1
96	и только в	1	1
97	и вот в	1	1
98	и ту же	1	1
99	но она не	2	1
100	в другом месте	1	1
101	чтобы мы были	1	1
102	не должны вызывать	1	1
103	сплошь и рядом	1	1
104	но как бы	1	1
105	на точку зрения	1	1
106	в настоящее время	2	1
107	решения этого вопроса	1	1
108	то и другое	1	1
109	тем что они	1	1
110	в себе всегда	1	1
111	верит в возможность	1	1
112	одна из тех	1	1
113	можно было бы	3	1
114	он верит в	1	1
115	в этом случае	3	1
116	одного и того	1	1
117	тем что он	1	1
118	только с этой	1	1
119	вопрос о том	1	1
120	и не только	1	1
121	это и есть	1	1
122	быть самим собой	4	1
123	только в этом	1	1
124	потому что они	1	1
