N	2gram	Losev_Dial	Freidism
1	таким образом	5	34
2	и не	51	34
3	точки зрения	25	31
4	не может	16	30
5	– это	14	29
6	и пр	7	29
7	в этом	18	28
8	может быть	30	28
9	и в	35	28
10	прежде всего	14	26
11	в его	4	25
12	это –	38	22
13	и его	6	22
14	мы можем	5	20
15	как бы	19	19
16	как мы	5	18
17	то что	25	17
18	– в	11	17
19	вовсе не	19	16
20	с точки	18	15
21	точка зрения	3	15
22	все эти	4	15
23	так как	24	15
24	с ним	9	14
25	в своей	9	14
26	так и	18	14
27	самом деле	6	14
28	в душе	8	13
29	и все	11	13
30	как и	10	13
31	но в	8	13
32	во всех	3	13
33	в самом	6	12
34	то же	21	12
35	ни в	20	12
36	что он	16	12
37	том что	18	12
38	во внешнем	1	12
39	точку зрения	3	12
40	для него	2	12
41	все это	14	12
42	– не	17	12
43	и потому	6	12
44	и наконец	1	12
45	влечение к	1	11
46	только в	7	11
47	мы знаем	1	11
48	сказать что	19	11
49	его в	3	11
50	все что	2	10
51	один из	3	10
52	не только	26	10
53	и с	10	10
54	но и	17	10
55	конечно не	9	10
56	что же	5	10
57	тот же	1	10
58	никогда не	18	10
59	в том	20	10
60	мы уже	8	10
61	он не	5	10
62	все те	1	10
63	за пределы	4	10
64	не в	12	10
65	уже не	3	9
66	во всяком	5	9
67	совершенно не	13	9
68	мы не	1	9
69	к этому	2	9
70	к нему	12	9
71	в чем	9	9
72	а не	24	9
73	мы должны	6	9
74	и др	2	9
75	могут быть	6	9
76	при этом	2	8
77	все же	9	8
78	еще не	4	8
79	с этим	5	8
80	было бы	14	8
81	и вот	10	8
82	знаем что	2	8
83	а в	8	8
84	– все	8	8
85	с другими	2	8
86	на этом	4	8
87	в ней	4	8
88	оно и	1	8
89	– только	1	8
90	всяком случае	3	8
91	что в	19	7
92	и к	8	7
93	не могут	4	7
94	в жизни	3	7
95	так сказать	1	7
96	– и	5	7
97	его жизни	1	7
98	хотя бы	6	7
99	в каком	10	7
100	если мы	3	7
101	что все	2	7
102	и для	2	7
103	из них	5	7
104	того что	6	7
105	не является	3	7
106	но не	9	7
107	я и	3	7
108	– с	1	7
109	об этом	7	7
110	и у	2	7
111	чувств и	1	7
112	с самого	2	7
113	в нем	25	7
114	быть и	7	7
115	в этой	3	7
116	отношение к	5	7
117	в себе	23	7
118	жизни и	9	7
119	в то	10	7
120	и ее	1	7
121	зрения на	1	6
122	учение о	11	6
123	одно из	2	6
124	если он	1	6
125	в корне	2	6
126	не менее	5	6
127	но мы	3	6
128	к тому	6	6
129	можно сказать	10	6
130	в основе	4	6
131	для того	2	6
132	же время	9	6
133	из этих	2	6
134	мы имеем	4	6
135	ни о	5	6
136	как раз	7	6
137	что такое	13	6
138	во время	2	6
139	на самом	5	6
