N	3gram	Bakhtin_Fr	Formalny
1	с точки зрения	4	40
2	на самом деле	1	21
3	то же время	12	20
4	в то же	12	20
5	в связи с	2	16
6	во всяком случае	1	16
7	в настоящее время	1	13
8	по отношению к	3	12
9	в самом деле	3	11
10	так и в	3	11
11	в этом отношении	3	11
12	в его целом	2	10
13	в большинстве случаев	9	9
14	с другой стороны	2	9
15	до сих пор	3	8
16	как мы видели	4	8
17	с одной стороны	3	8
18	в применении к	1	7
19	более или менее	3	7
20	в свою очередь	3	7
21	и в этом	1	7
22	в том что	4	6
23	с тем что	1	6
24	сам по себе	2	6
25	в данном случае	1	6
26	мы полагаем что	1	6
27	смысле этого слова	1	6
28	одной стороны и	1	5
29	в этом смысле	1	5
30	в значительной степени	3	5
31	до известной степени	1	5
32	в этом романе	1	5
33	прежде всего в	4	5
34	и не в	1	4
35	в той же	5	4
36	в одной плоскости	3	4
37	в конце концов	5	4
38	в последнем счете	1	4
39	до настоящего времени	1	4
40	только и может	1	4
41	но все же	1	4
42	но и в	2	4
43	ни взяли мы	1	4
44	как и все	1	4
45	с самого начала	1	4
46	и не могут	1	4
47	и до конца	4	4
48	настоящее время в	1	4
49	в нем и	1	4
50	по аналогии с	1	4
51	мы уже знаем	1	3
52	в нем как	1	3
53	в том числе	4	3
54	то же что	1	3
55	вместо того чтобы	2	3
56	том числе и	2	3
57	уже знаем что	1	3
58	в неразрывной связи	1	3
59	то же самое	1	3
60	таким образом не	1	3
61	самом же деле	1	3
62	на самом же	1	3
63	на первый план	2	3
64	и в этой	2	3
65	и во всяком	1	3
66	потому что он	1	3
67	мы увидим что	1	3
68	точки зрения их	1	3
69	целом так и	1	3
70	но в то	3	3
71	как мы увидим	2	3
72	с начала и	4	3
73	с таким же	2	3
74	в предисловии к	1	3
75	что же касается	1	3
76	начала и до	4	3
77	с его помощью	1	2
78	неразрывной связи с	1	2
79	все то что	3	2
80	о том как	3	2
81	тем путем что	1	2
82	этом отношении чрезвычайно	1	2
83	заложенные в них	1	2
84	в предыдущей главе	2	2
85	в процессе борьбы	1	2
86	остается подвести некоторые	1	2
87	в этом процессе	1	2
88	вовсе не являются	1	2
89	в изобразительных искусствах	3	2
90	друг от друга	1	2
91	не совпадает с	1	2
92	в строгом смысле	1	2
93	но и с	2	2
94	не потому что	1	2
95	именно потому что	1	2
96	с помощью каких	1	2
97	и тем самым	1	2
98	и прежде всего	2	2
99	в том или	2	2
100	в точке пересечения	1	2
101	эпоху и в	1	2
102	роль в истории	1	2
103	влияние и на	2	2
104	на первом плане	1	2
105	нужно сказать что	3	2
106	его целом так	1	2
107	из того что	1	2
108	в широком смысле	1	2
109	и в том	1	2
110	мы видели что	1	2
111	от всех других	1	2
112	может и не	1	2
113	вовсе не как	1	2
114	к нему и	1	2
115	и тем же	1	2
116	как это было	1	2
117	говорить не приходится	1	2
118	в связи со	1	2
119	в это время	1	2
120	имеем в виду	2	2
121	подвести некоторые итоги	1	2
122	том или ином	2	2
123	как и в	2	2
124	в целом ряде	1	2
125	как один из	2	2
126	ничего общего с	1	2
127	и для всех	1	2
128	и до настоящего	1	2
129	на этот вопрос	1	2
130	и с помощью	2	2
131	со всех сторон	2	2
132	одной плоскости и	1	2
133	в одной из	1	2
134	но уже в	2	2
135	и до сих	1	2
136	одним и тем	1	2
137	же время и	1	2
138	дело в том	2	2
139	совсем не так	1	2
140	в отрыве от	2	2
141	не только в	1	2
142	мы имеем в	2	2
143	что в нем	1	2
144	выходит за пределы	1	2
145	и в истории	1	2
146	в следующей главе	6	2
147	что и в	1	2
148	в литературе как	1	2
149	у них своя	1	1
150	не могла не	2	1
151	уже говорили что	3	1
152	и исторической жизни	1	1
153	она никогда не	1	1
154	как и во	1	1
155	он может и	1	1
156	бы в точке	1	1
157	всех разобранных нами	2	1
158	тело никогда не	1	1
159	в более или	2	1
160	о котором мы	4	1
161	во все стороны	1	1
162	вполне понятно что	2	1
163	и продолжает жить	1	1
164	в литературе и	2	1
165	то что он	1	1
166	и отчасти в	1	1
167	но он может	1	1
168	мы здесь не	1	1
169	где кончается одно	1	1
170	же что и	2	1
171	иерархическое место в	1	1
172	не в этом	1	1
173	и все те	1	1
174	и ничем не	1	1
175	и связанные с	1	1
176	как и с	1	1
177	еще не было	1	1
178	в том же	1	1
179	так например в	1	1
180	в языке как	1	1
181	мира в этом	1	1
182	поэтому они и	1	1
183	во всех ее	2	1
184	кончается одно и	1	1
185	говорит о том	1	1
186	а не наоборот	1	1
187	все это уже	1	1
188	века особенно в	1	1
189	для него это	1	1
190	одного и того	1	1
191	все новые и	2	1
192	широком смысле включая	1	1
193	рядом с этим	2	1
194	все же в	1	1
195	и должна быть	1	1
196	мы уже указывали	2	1
197	это так же	1	1
198	лишь там где	1	1
199	прежде всего мы	1	1
200	в этой плоскости	1	1
201	здесь не в	1	1
