N	2gram	Tiupa_Hudo	Sovremen
1	не может	10	17
2	может быть	12	12
3	точки зрения	7	12
4	мы не	2	9
5	в каждом	1	8
6	в этом	22	7
7	и в	34	7
8	в результате	2	6
9	как и	16	6
10	ничего не	11	6
11	и не	15	6
12	с точки	5	5
13	прежде всего	12	5
14	что же	4	5
15	все эти	4	5
16	в условиях	1	5
17	в дальнейшем	2	4
18	а в	11	4
19	так как	2	4
20	вопрос о	2	4
21	это не	12	4
22	не только	22	4
23	мы должны	1	4
24	как бы	11	4
25	нет и	2	4
26	их в	2	4
27	жизни и	10	4
28	вместе с	2	4
29	в целом	2	4
30	же это	2	4
31	в том	24	4
32	из них	5	4
33	точку зрения	1	4
34	и к	6	3
35	и потому	3	3
36	на этой	1	3
37	с самого	1	3
38	когда мы	2	3
39	уже в	2	3
40	то же	14	3
41	при этом	21	3
42	не в	16	3
43	а не	23	3
44	в системе	2	3
45	для нас	4	3
46	все это	2	3
47	как он	4	3
48	в одном	3	3
49	самого начала	1	3
50	в конце	5	3
51	ведь это	1	3
52	так называемых	1	3
53	и т.д	3	3
54	было бы	8	3
55	в первом	2	3
56	ли мы	1	3
57	у всех	3	3
58	в этой	11	3
59	из двух	1	3
60	он в	2	3
61	и все	10	3
62	на две	1	3
63	в себе	19	3
64	следующим образом	3	3
65	ясно что	2	3
66	что она	10	3
67	одна из	4	3
68	все же	5	3
69	при таком	1	3
70	в области	1	3
71	может не	1	3
72	отличается от	1	3
73	между собой	1	3
74	отнюдь не	4	3
75	в нем	5	3
76	но мы	2	3
77	но в	6	3
78	еще не	10	3
79	с этим	3	2
80	что в	8	2
81	этих двух	2	2
82	тем не	7	2
83	в самом	7	2
84	дает нам	1	2
85	совершенно не	1	2
86	и что	3	2
87	отличие от	1	2
88	друг с	1	2
89	которой он	2	2
90	наблюдения и	2	2
91	ее на	3	2
92	то и	5	2
93	с одной	4	2
94	теперь же	4	2
95	принципиально не	1	2
96	в отличие	1	2
97	такого рода	4	2
98	в свою	1	2
99	из этих	3	2
100	в его	17	2
101	во всяком	1	2
102	не будем	1	2
103	мы знаем	4	2
104	не дает	1	2
105	в которую	1	2
106	еще более	1	2
107	можно назвать	2	2
108	то ни	2	2
109	с совершенно	1	2
110	что это	2	2
111	что при	3	2
112	по мнению	6	2
113	только одну	1	2
114	из которых	1	2
115	только один	1	2
116	если же	1	2
117	говорить о	4	2
118	на его	2	2
119	в науке	1	2
120	вторая половина	2	2
121	в третьем	1	2
122	у него	13	2
123	для его	1	2
124	не могут	1	2
125	в виде	2	2
126	свою очередь	1	2
127	и даже	4	2
128	как известно	1	2
129	самом деле	6	2
130	в которой	2	2
131	но все	2	2
132	ни одна	2	2
133	к чему	1	2
134	же самое	4	2
135	тот или	1	2
136	который как	1	2
137	как мы	5	2
138	настоящее время	1	2
139	она может	2	2
140	скажем в	1	2
141	той же	3	2
142	о жизни	1	2
143	могут быть	1	2
144	в таком	3	2
145	в нашем	2	2
146	уже не	12	2
147	не знаем	2	2
148	и они	1	2
149	что все	3	2
150	или иной	2	2
151	такой же	3	2
152	говорить об	2	2
153	на этом	5	2
154	роль в	2	2
155	не менее	9	2
156	так сказать	3	2
157	же мы	1	2
158	приводит к	5	2
159	и по	3	2
160	времени и	2	2
161	может дать	1	2
162	с другом	1	2
163	в настоящее	1	2
164	в один	1	2
165	каждого из	3	2
166	знаем что	2	2
167	на другом	1	2
168	тот же	1	2
169	от обстоятельств	1	2
170	мы с	3	2
171	всяком случае	1	2
172	он должен	1	2
173	жизни но	1	1
174	во всех	2	1
175	все они	2	1
176	только одно	1	1
177	бы то	1	1
178	поскольку она	1	1
179	они все	2	1
180	к которому	1	1
181	что один	1	1
182	именно к	1	1
183	это и	2	1
184	его и	2	1
185	этом случае	1	1
186	в свое	1	1
187	и составляет	2	1
188	только не	3	1
189	том случае	2	1
190	во втором	2	1
191	то он	1	1
192	человека в	10	1
193	но как	3	1
194	чем же	2	1
195	только из	1	1
196	не является	1	1
197	в данном	3	1
198	до сих	3	1
199	все его	3	1
200	он уже	4	1
201	еще раз	2	1
202	и более	2	1
203	угодно и	1	1
204	та же	5	1
205	по преимуществу	6	1
206	в действительности	5	1
207	в любом	1	1
208	жизнь человека	1	1
209	от его	1	1
210	которых в	1	1
211	предыдущей главе	3	1
212	жизни вот	1	1
213	данном случае	3	1
214	и красота	1	1
215	к вечеру	1	1
216	не имеют	3	1
217	связи с	4	1
218	здесь нет	1	1
219	раз и	2	1
220	одна не	1	1
221	если в	4	1
222	на язык	1	1
223	должно быть	2	1
224	мы уже	7	1
225	к области	2	1
226	человек и	1	1
227	в общий	1	1
228	с и	2	1
229	случае и	1	1
230	в первый	2	1
231	его с	1	1
232	идет о	3	1
233	очередь на	1	1
234	она не	6	1
235	в течение	1	1
236	да еще	1	1
237	на ее	3	1
238	она в	5	1
239	но еще	3	1
240	что уже	1	1
241	единства в	1	1
242	одной стороны	4	1
243	на другой	1	1
244	это то	1	1
245	ничто не	1	1
246	одна и	1	1
247	мы имеем	1	1
248	и у	3	1
249	заключенную в	1	1
250	в другом	3	1
251	совсем не	1	1
252	несмотря на	7	1
253	другого для	1	1
254	это только	1	1
255	том как	5	1
256	в ней	6	1
257	которых он	1	1
258	элементов и	1	1
259	что эта	1	1
260	хотя и	3	1
261	человек с	2	1
262	с другой	4	1
263	и тогда	2	1
264	в этот	1	1
265	с ним	6	1
266	она уже	1	1
267	это уже	2	1
268	на которых	1	1
269	он не	8	1
270	и из	1	1
271	за собой	1	1
272	и т.п	2	1
273	не соответствует	1	1
274	но тем	2	1
275	не будет	1	1
276	ни другое	1	1
277	мы в	1	1
278	как у	2	1
279	эта сторона	1	1
280	только на	6	1
281	но они	1	1
282	и таких	1	1
283	и всегда	1	1
284	бы так	1	1
285	остановиться на	1	1
286	все что	4	1
287	и та	1	1
288	для своего	2	1
289	xix в	5	1
290	принципиальные различия	1	1
291	в известном	1	1
292	силы в	1	1
293	на самом	2	1
294	смысле можно	1	1
295	самое что	2	1
296	для них	1	1
297	можно было	6	1
298	xix века	1	1
299	ни в	5	1
300	и от	6	1
301	в начале	3	1
302	нами в	1	1
303	по отношению	15	1
304	еще в	4	1
305	кто же	1	1
306	стороны и	1	1
307	весь мир	1	1
308	и тот	2	1
309	только в	8	1
310	вообще на	1	1
311	происходит это	1	1
312	которая не	3	1
313	раз он	1	1
314	отличать от	1	1
315	функции в	1	1
316	все равно	2	1
317	различия между	3	1
318	же время	11	1
319	не случайно	14	1
320	так же	3	1
321	его в	5	1
322	собственно и	2	1
323	перед глазами	1	1
324	к живой	1	1
325	или как	1	1
326	себе в	2	1
327	в конечном	5	1
328	чем в	1	1
329	нескольких различных	1	1
330	в своих	4	1
331	не было	8	1
332	в предыдущей	3	1
333	жизни было	1	1
334	как например	2	1
335	с его	9	1
336	один из	6	1
337	в духе	6	1
338	на это	2	1
339	не более	3	1
340	если бы	7	1
341	ни то	1	1
342	не знает	2	1
343	или в	3	1
344	заключает в	2	1
345	а о	2	1
346	этого не	1	1
347	можно говорить	1	1
348	ни одного	1	1
349	ничего общего	1	1
350	ни о	3	1
351	к одному	1	1
352	элемента в	1	1
353	наших дней	1	1
354	их и	1	1
355	что его	1	1
356	как его	3	1
357	другой день	1	1
358	ему вот	1	1
359	объяснить что	1	1
360	исчезает из	1	1
361	дело в	2	1
362	в споре	1	1
363	держится на	1	1
364	известном смысле	1	1
365	о другом	1	1
366	во многом	1	1
367	сами по	1	1
368	ее роль	1	1
369	одного из	1	1
370	в данной	2	1
371	природы и	1	1
372	же как	4	1
373	по существу	1	1
374	а три	1	1
375	сказать что	3	1
376	и эта	3	1
377	быть только	2	1
378	жизни как	7	1
379	но для	1	1
380	это сравнение	1	1
381	именно в	9	1
382	уже на	1	1
383	такое же	1	1
384	и до	1	1
385	конечном счете	4	1
386	это делает	1	1
387	обратимся к	2	1
388	его принципиальная	1	1
389	отношению к	15	1
390	развиться в	1	1
391	одной из	5	1
392	начинается лишь	1	1
393	же мере	2	1
394	более и	1	1
395	в своем	9	1
396	в корне	1	1
397	она и	1	1
398	по аналогии	1	1
399	уже знаем	2	1
400	но ведь	2	1
401	этом смысле	1	1
402	на поверхности	1	1
403	в связи	3	1
404	в какой	1	1
405	них это	2	1
406	означало бы	1	1
407	между ними	2	1
408	природы не	1	1
409	мы помним	1	1
410	может стать	1	1
411	у читателя	1	1
412	же в	3	1
413	том что	31	1
414	характерное для	2	1
415	рядом с	5	1
416	в мире	10	1
417	это просто	1	1
418	дома и	1	1
419	жизни в	12	1
420	но не	7	1
421	так в	2	1
422	бы эти	1	1
423	нельзя сказать	1	1
424	здесь и	1	1
425	они не	2	1
426	к концу	2	1
427	по себе	3	1
428	явлений и	1	1
429	от другой	2	1
430	он сам	3	1
431	не имеет	2	1
432	в природе	1	1
433	к этому	1	1
434	в такой	2	1
435	все более	1	1
436	там где	2	1
437	в то	12	1
438	вполне достаточно	1	1
439	и только	2	1
440	один и	2	1
441	по своим	2	1
442	мы имели	1	1
443	по его	4	1
444	за все	1	1
445	ли он	1	1
446	в отдельных	1	1
447	но это	2	1
448	для чего	1	1
449	независимо от	1	1
450	когда в	4	1
451	но уже	1	1
452	и для	5	1
453	с ее	7	1
454	не из	1	1
455	таким же	1	1
456	и это	7	1
457	точка зрения	1	1
458	читателя что	1	1
459	все время	2	1
460	не принимает	1	1
461	но часто	1	1
462	только о	2	1
463	и его	8	1
464	жизни не	2	1
465	и становится	1	1
466	вовсе не	2	1
467	во внутреннем	1	1
468	жизни к	1	1
469	о том	21	1
470	сих пор	3	1
471	мысли в	2	1
472	образом он	1	1
473	которая и	1	1
474	зрения и	1	1
475	к другому	5	1
476	как основное	1	1
477	человека и	4	1
478	к нему	2	1
479	никогда не	8	1
480	той или	1	1
481	на них	2	1
482	свое время	2	1
483	а потом	1	1
