N	4gram	Nazirov_Tv	Literetu
1	в то же время	18	21
2	бы то ни было	1	4
3	в том числе и	1	3
4	в том же году	2	3
5	дело в том что	4	2
6	дело не только в	1	2
7	что в конечном счете	1	1
8	эпилоге преступления и наказания	1	1
9	не что иное как	1	1
10	и тем не менее	1	1
11	в стихах и прозе	1	1
12	все более и более	1	1
13	и не может быть	2	1
14	в том что в	3	1
15	лишь в диалоге с	1	1
16	во всей русской литературе	1	1
17	в войне и мире	1	1
18	нет и не может	1	1
19	и в то же	2	1
20	в эпилоге преступления и	1	1
21	одного и того же	1	1
22	было в том что	1	1
23	в том что этот	1	1
24	то же время он	2	1
25	но в то же	5	1
26	в начале xix века	1	1
