N	2gram	Medvedev_V	FransuaR
1	и в	26	367
2	то есть	1	209
3	в этом	29	112
4	и не	20	101
5	таким образом	32	100
6	и его	6	99
7	в его	15	98
8	прежде всего	13	92
9	не только	26	87
10	но и	10	84
11	как бы	5	82
12	все эти	8	79
13	вовсе не	3	77
14	в романе	4	77
15	как и	7	76
16	в нем	7	75
17	но в	2	75
18	и др	10	72
19	в том	15	71
20	как мы	1	71
21	то же	10	66
22	и все	1	66
23	в них	5	65
24	в этой	4	65
25	так и	6	65
26	в то	6	63
27	во время	4	63
28	во всех	7	62
29	все это	13	62
30	же время	5	55
31	что в	11	52
32	в своем	8	51
33	только в	8	48
34	том что	8	45
35	в году	7	44
36	то что	7	41
37	у него	6	40
38	жизни и	3	40
39	в самом	4	38
40	точки зрения	3	37
41	в ней	2	37
42	с его	4	36
43	о том	10	35
44	он был	1	35
45	может быть	23	35
46	мы видим	1	35
47	сказать что	5	34
48	и даже	2	34
49	в себе	6	34
50	до нас	2	34
51	мы видели	3	32
52	в конце	3	32
53	он не	2	32
54	для него	9	32
55	связаны с	1	31
56	в своей	4	31
57	так же	3	30
58	но он	1	30
59	один из	6	30
60	потому что	1	30
61	и потому	2	30
62	никогда не	5	30
63	в духе	1	29
64	в одном	5	29
65	еще не	2	29
66	связи с	5	29
67	в этих	1	29
68	что он	4	29
69	не может	17	29
70	в особенности	2	29
71	его в	3	29
72	не в	6	29
73	и к	3	28
74	из них	11	28
75	всех этих	3	28
76	также и	2	28
77	в той	1	28
78	эти образы	1	28
79	в основе	1	28
80	и другие	1	27
81	сих пор	2	27
82	до сих	2	27
83	том числе	2	27
84	в образах	2	27
85	все же	6	27
86	по своему	1	27
87	роль в	4	27
88	и их	3	27
89	образов в	2	26
90	кроме того	1	26
91	все они	2	26
92	в области	2	25
93	и образы	3	25
94	но это	1	25
95	мира и	3	25
96	он и	2	24
97	но не	2	24
98	например в	3	24
99	в ее	4	24
100	и у	2	24
101	и от	3	24
102	как в	1	24
103	того чтобы	3	24
104	в частности	12	24
105	отношение к	1	24
106	так сказать	2	23
107	с ним	1	23
108	и для	2	23
109	в их	5	23
110	есть и	1	23
111	это не	7	23
112	еще и	2	23
113	даже в	5	22
114	не было	7	22
115	а в	3	22
116	тем что	1	22
117	что и	3	22
118	и других	1	22
119	вместе с	8	22
120	и во	1	22
121	форм и	1	22
122	в своих	2	21
123	именно в	3	21
124	уже в	1	21
125	и как	3	21
126	есть в	1	21
127	в качестве	12	21
128	одним из	5	21
129	ни в	1	21
130	и наконец	2	21
131	в виду	4	20
132	в связи	4	20
133	и это	1	20
134	в значительной	3	20
135	одной из	2	20
136	этом отношении	14	20
137	образов и	4	20
138	как раз	4	20
139	в образе	2	20
140	а также	1	20
141	самом деле	1	20
142	их в	7	19
143	к этому	9	19
144	за пределы	1	19
145	было бы	8	19
146	с ее	1	19
147	в дальнейшем	1	19
148	с другой	11	19
149	на протяжении	1	19
150	хотя и	2	19
151	в форме	3	19
152	в ту	1	19
153	далеко не	3	19
154	это и	6	18
155	здесь не	1	18
156	одна из	4	18
157	на этом	2	18
158	перед нами	5	18
159	это в	1	18
160	в большей	2	17
161	большей или	3	17
162	образы в	1	17
163	для того	3	17
164	конечно не	1	17
165	в результате	5	17
166	можно было	2	17
167	связанных с	1	17
168	на его	1	17
169	числе и	2	17
170	в плане	5	17
171	еще более	1	17
172	но все	1	17
173	меньшей степени	2	17
174	связана с	2	17
175	того что	3	17
176	и образов	5	17
177	а не	7	17
178	в другом	2	16
179	с одной	2	16
180	между ними	3	16
181	с образами	1	16
182	между тем	6	16
183	в начале	1	16
184	в свете	1	16
185	или меньшей	3	16
186	они не	2	16
187	не подлежит	2	16
188	а затем	2	15
189	характерно что	1	15
190	в которой	2	15
191	из этих	7	15
192	от всех	1	15
193	почти все	1	15
194	как на	3	15
195	еще в	1	15
196	в истории	1	15
197	в самой	1	15
198	в котором	3	14
199	в чем	2	14
200	образом в	3	14
201	и по	3	14
202	мы не	1	14
203	системы образов	1	14
204	в данном	1	14
205	и он	3	14
206	несмотря на	1	14
207	системе образов	1	14
208	в более	1	14
209	по существу	4	14
210	и сам	2	13
211	с этим	3	13
212	и еще	1	13
213	что все	4	13
214	в основном	7	13
215	мира в	1	13
216	о чем	2	13
217	в жизни	2	13
218	одновременно и	1	13
219	на этой	1	13
220	одной стороны	2	13
221	подчеркнуть что	2	13
222	бы в	3	13
223	и есть	5	13
224	они и	2	13
225	только на	1	13
226	образов но	1	13
227	этот процесс	3	13
228	или в	3	13
229	это было	1	13
230	жизнь и	1	13
231	как он	3	13
232	в книге	2	13
233	в известной	2	13
234	другой стороны	8	12
235	не был	1	12
236	во всей	2	12
237	главным образом	7	12
238	и ее	4	12
239	начиная с	2	12
240	о нем	1	12
241	у нас	3	12
242	другом месте	2	12
243	только для	2	12
244	можно сказать	4	12
245	в творчестве	3	12
246	не могут	10	12
247	он в	2	12
248	образы и	5	12
249	все то	1	12
250	лишь в	2	12
251	благодаря этому	1	12
252	об этом	9	12
253	в пределах	5	12
254	зрения на	1	11
255	на эту	1	11
256	так например	2	11
257	уже не	1	11
258	отметить что	2	11
259	что они	3	11
260	той или	1	11
261	и что	1	11
262	в общем	2	11
263	и самый	1	11
264	того как	2	11
265	в течение	2	11
266	наконец в	1	11
267	момент в	3	11
268	очень часто	1	11
269	в системе	2	11
270	и миром	1	11
271	и особенно	1	11
272	и так	1	11
273	с ними	4	11
274	слова и	1	11
275	ни с	2	11
276	формы и	2	11
277	между собою	2	11
278	он говорит	5	11
279	в заключение	1	11
280	целый ряд	1	10
281	по отношению	7	10
282	все его	2	10
283	что для	4	10
284	поэтому в	1	10
285	да и	2	10
286	в таких	1	10
287	данном случае	1	10
288	человека и	3	10
289	или иной	2	10
290	конце концов	2	10
291	к тому	5	10
292	даже и	3	10
293	на этот	1	10
294	ту же	2	10
295	образом и	1	10
296	в процессе	17	10
297	в целом	5	10
298	еще раз	1	9
299	представлений о	1	9
300	связано с	1	9
301	некоторые из	3	9
302	как это	12	9
303	значение и	1	9
304	легенды о	1	9
305	роль играет	1	9
306	но на	1	9
307	в которых	3	9
308	о котором	1	9
309	ведь это	1	9
310	это как	1	9
311	же в	7	9
312	романа в	1	9
313	что на	1	9
314	вплоть до	2	9
315	жизнью и	1	9
316	говорит о	7	9
317	но как	3	9
318	как известно	2	9
319	не имеет	1	9
320	в следующей	1	9
321	чем же	4	9
322	видим что	1	9
323	относится к	2	9
324	том же	6	9
325	на время	2	9
326	и то	1	9
327	для нас	1	9
328	эти формы	1	9
329	отношению к	7	9
330	что не	3	9
331	и мира	1	8
332	со всем	1	8
333	с этой	1	8
334	более или	6	8
335	не менее	2	8
336	понятно что	2	8
337	или менее	6	8
338	одном из	4	8
339	др в	3	8
340	в него	1	8
341	и при	5	8
342	с тем	4	8
343	то время	1	8
344	у гоголя	1	8
345	на одном	1	8
346	для этого	1	8
347	от него	1	8
348	всего этого	1	8
349	отрыве от	1	8
350	по поводу	4	8
351	видели что	3	8
352	после того	2	8
353	они в	1	8
354	мертвых душ	1	8
355	тому же	1	8
356	все те	1	8
357	и ни	1	8
358	превращаются в	1	8
359	как о	3	8
360	если бы	3	8
361	дель арте	2	8
362	но с	2	8
