N	3gram	Berdyaev_V	Formalny
1	и т д	2	19
2	так и в	1	11
3	бы то ни	1	10
4	с другой стороны	1	9
5	вместе с тем	1	8
6	и в этом	1	7
7	в том что	2	6
8	раз и навсегда	1	6
9	к тому что	3	5
10	в конце концов	1	4
11	не могут быть	1	4
12	но все же	1	4
13	то ни стало	1	4
14	но и в	2	4
15	во что бы	1	3
16	вместо того чтобы	2	3
17	и во всяком	1	3
18	в ней и	1	3
19	то и другое	1	3
20	что бы то	1	3
21	и то и	1	3
22	хотя бы и	1	2
23	в жизни и	1	2
24	лишь в процессе	1	2
25	как и в	1	2
26	очень важное место	1	2
27	менее всего можно	1	1
28	и в жизни	1	1
29	и в сознании	1	1
30	того чтобы овладеть	2	1
31	по сравнению с	1	1
32	в новых формах	1	1
33	в искусстве но	1	1
34	что он был	1	1
35	и должна быть	1	1
36	и вместе с	1	1
37	есть непрерывная борьба	1	1
38	в нем нет	2	1
39	и никогда не	1	1
40	что не в	1	1
41	мы видим что	1	1
42	за то что	3	1
43	свою роль в	1	1
44	жизни и потому	1	1
45	по крайней мере	1	1
46	на страшном суде	1	1
47	свое и свою	1	1
48	и не было	1	1
49	не создает новых	1	1
50	если оно не	1	1
51	другой стороны в	1	1
52	и что в	1	1
53	предложение и не	1	1
