N	4gram	Voloshinov	Narrotol
1	в то же время	6	8
2	дело в том что	1	3
3	и не может быть	3	2
4	и в то же	1	2
5	одно и то же	1	2
6	и того и другого	1	1
7	не что иное как	1	1
8	нам до сих пор	1	1
9	в этом отношении совершенно	1	1
10	что с точки зрения	1	1
11	так и со стороны	1	1
12	который в данном случае	1	1
13	в данном случае в	1	1
14	бы то ни было	2	1
15	а также и тех	1	1
16	ни в чем не	4	1
17	том что с точки	1	1
18	один и тот же	3	1
19	с точки зрения настоящего	1	1
20	в том что он	2	1
21	все что можно сказать	1	1
22	и тем не менее	2	1
23	во всяком случае в	1	1
24	ответ на этот вопрос	1	1
25	если можно так выразиться	1	1
26	есть не что иное	1	1
