N	3gram	Vinokur_St	Problema
1	тем не менее	4	56
2	о том что	19	39
3	в том что	29	37
4	и т д	25	33
5	в настоящее время	2	30
6	в данном случае	7	28
7	той или иной	1	26
8	по крайней мере	2	26
9	во всяком случае	8	25
10	с другой стороны	8	25
11	с точки зрения	10	25
12	содержит в себе	1	23
13	в конце концов	2	23
14	сам по себе	1	21
15	и то что	2	20
16	на то что	5	19
17	в этом смысле	2	19
18	ни в каком	1	18
19	для того чтобы	13	17
20	в то же	5	17
21	точно так же	2	16
22	как будто бы	1	14
23	до сих пор	12	14
24	в этом случае	3	14
25	ничего общего с	3	13
26	сами по себе	2	13
27	того или иного	4	13
28	и вовсе не	1	13
29	на самом деле	7	13
30	можно было бы	8	13
31	не может быть	5	12
32	но даже и	1	12
33	так или иначе	3	12
34	в каком случае	1	12
35	также и то	1	12
36	и в этом	4	12
37	в то время	2	12
38	то время как	1	12
39	дело в том	7	11
40	бы то ни	2	11
41	с одной стороны	2	11
42	в той или	1	10
43	не только не	2	10
44	вместе с тем	2	10
45	более или менее	2	10
46	вовсе не является	1	10
47	только то что	1	10
48	не только в	4	10
49	каком случае не	1	9
50	по этому поводу	4	9
51	т д и	2	9
52	имеет ничего общего	2	9
53	не имеет ничего	2	9
54	что же касается	3	9
55	не говоря уже	2	9
56	может быть и	2	9
57	д и т	1	8
58	только в том	3	8
59	потому что он	1	8
60	это вовсе не	1	8
61	заключается в том	4	8
62	о том как	1	7
63	говоря уже о	2	7
64	а может быть	1	7
65	к тому же	2	7
66	те или иные	1	7
67	но и в	2	7
68	может быть даже	1	7
69	то или иное	3	7
70	с самого начала	3	7
71	иметь в виду	2	7
72	в этой области	5	7
73	так же и	1	7
74	только потому что	2	7
75	обратить внимание на	3	7
76	а то что	1	6
77	в самом деле	7	6
78	и то же	1	6
79	так и в	5	6
80	и только в	3	6
81	те или другие	1	6
82	не имеет никакого	1	6
83	то что в	3	6
84	хотя бы даже	1	6
85	даже и в	1	6
86	и в других	1	6
87	то ни было	1	6
88	в том смысле	4	6
89	в этом отношении	13	6
90	хотя бы и	2	5
91	вовсе еще не	1	5
92	свидетельствует о том	1	5
93	на этот раз	2	5
94	в первую очередь	2	5
95	и о том	1	5
96	а также и	2	5
97	так же как	5	5
98	том смысле что	2	5
99	в том числе	3	5
100	в зависимости от	2	5
101	потому что оно	1	5
102	а вовсе не	1	5
103	быть даже и	1	5
104	одно и то	1	5
105	том что он	6	5
106	что в нем	2	5
107	же как и	1	5
108	ни в чем	1	5
109	ни о каком	1	5
110	потому что они	1	5
111	на том что	1	4
112	дело не в	2	4
113	друг от друга	1	4
114	том числе и	2	4
115	и вместе с	1	4
116	но все же	3	4
117	мы имеем дело	1	4
118	то ни стало	1	4
119	и тем же	2	4
120	в том чтобы	1	4
121	также и в	1	4
122	у нас не	1	4
123	вопрос о том	4	4
124	не значит что	3	4
125	во что бы	1	4
126	а с другой	1	4
127	само собой разумеется	1	4
128	в это время	3	4
129	ту или иную	1	4
130	и не в	1	4
131	и не было	1	4
132	вовсе не так	1	4
133	что бы то	1	4
134	одним и тем	2	4
135	можно даже сказать	1	4
136	во всех этих	1	4
137	так что в	1	4
138	всяком случае не	2	4
139	на эту тему	4	4
140	то обстоятельство что	3	4
141	в таких случаях	1	4
142	это не значит	3	3
143	то что он	3	3
144	в результате этого	1	3
145	необходимо обратить внимание	1	3
146	потому что она	1	3
147	в отличие от	1	3
148	то что у	2	3
149	имел в виду	1	3
150	к тому что	4	3
151	не то что	1	3
152	имея в виду	1	3
153	но это не	1	3
154	как и вообще	2	3
155	за то что	5	3
156	вообще не существует	2	3
157	то тем самым	1	3
158	в чем же	1	3
159	себе отчет в	1	3
160	как и в	2	3
