N	3gram	Vinokur_Ku	PoTuStor
1	с точки зрения	16	6
2	на самом деле	3	4
3	до сих пор	5	3
4	не может быть	5	3
5	в большинстве случаев	2	3
6	по крайней мере	11	3
7	может быть это	1	3
8	в этом смысле	8	3
9	по сравнению с	1	3
10	и его ученики	1	3
11	во всяком случае	8	3
12	можно сказать что	2	3
13	и пр и	2	3
14	все то что	1	2
15	и с его	1	2
16	в конечном счете	2	2
17	так же как	3	2
18	и может быть	1	2
19	по аналогии с	1	2
20	о том что	6	2
21	не могут быть	1	2
22	в самом деле	14	2
23	не нуждается в	1	2
24	нет никаких оснований	1	2
25	пр и пр	2	2
26	связанных с ними	1	2
27	в каком отношении	1	1
28	так и в	2	1
29	в том что	23	1
30	хотя и с	1	1
31	мы знаем что	2	1
32	а то и	1	1
33	а может быть	1	1
34	не следует что	1	1
35	не что иное	2	1
36	рано или поздно	2	1
37	что иное как	2	1
38	дело в том	1	1
39	этом отношении и	1	1
40	той или иной	1	1
41	вместе с тем	3	1
42	вместе с ним	1	1
43	но так ли	1	1
44	и говорить о	1	1
45	том что мы	1	1
46	во многих случаях	1	1
47	в пределах своего	1	1
48	что можно было	1	1
49	в применении к	1	1
50	можно было бы	11	1
51	прежде всего на	1	1
52	а вместе с	1	1
53	и таким путем	1	1
54	только для того	2	1
55	в данном случае	1	1
56	связанная с этим	1	1
57	мы имеем в	1	1
58	в этом своем	1	1
59	что в них	2	1
60	в том смысле	2	1
61	на это мы	1	1
62	роковую роль в	1	1
63	мы знаем его	1	1
64	значение как бы	1	1
65	самом деле в	1	1
66	и его школы	1	1
67	то ни было	1	1
68	имеем в виду	1	1
69	и того же	2	1
70	мы сталкиваемся с	1	1
71	этой точки зрения	4	1
72	тесно примыкают к	2	1
73	в свое время	4	1
74	мы увидим что	2	1
75	на своем месте	1	1
76	с этой точки	3	1
77	может быть очень	1	1
78	для того чтобы	21	1
79	сводится к следующему	1	1
80	по его мнению	1	1
81	есть в сущности	1	1
82	сказать что для	1	1
83	а с другой	3	1
84	с одной стороны	2	1
85	и пр это	1	1
86	на этом пути	1	1
87	в этом отношении	8	1
88	на наших глазах	1	1
89	сих пор еще	1	1
90	бы то ни	1	1
91	в этих областях	1	1
92	но даже и	2	1
93	как наука о	1	1
94	в году в	1	1
95	если бы он	1	1
96	свой смысл и	1	1
97	но вернемся к	1	1
98	одного и того	2	1
99	несколько слов о	2	1
100	в связи с	4	1
101	уже не может	3	1
102	между собою в	1	1
103	может быть только	2	1
