N	2gram	Berdyaev_V	RusskieA
1	и в	16	79
2	в том	3	64
3	том что	2	59
4	что в	3	57
5	не только	2	41
6	так как	9	34
7	и другие	1	33
8	в этом	4	33
9	как бы	5	31
10	но и	5	31
11	как и	4	28
12	и на	1	28
13	может быть	1	28
14	одна из	2	24
15	и т	2	23
16	т д	2	21
17	это не	2	20
18	а в	2	20
19	как мы	1	20
20	все это	5	18
21	с тем	2	17
22	то что	9	17
23	вместе с	1	17
24	потому что	4	17
25	мы не	2	16
26	будто бы	1	15
27	один из	2	15
28	в них	3	14
29	и с	1	14
30	в другие	1	14
31	как это	1	14
32	и что	3	14
33	и не	20	14
34	для нас	2	14
35	у нас	1	14
36	в день	1	13
37	уже не	2	13
38	к этому	1	13
39	и по	1	13
40	как в	1	13
41	в которых	1	13
42	еще не	8	13
43	тем что	2	12
44	в виде	1	12
45	мы увидим	1	11
46	не имеет	3	11
47	но это	3	11
48	что на	1	11
49	все же	1	10
50	между тем	2	10
51	что и	3	10
52	так и	4	10
53	то же	1	9
54	о чем	1	9
55	на части	1	9
56	что они	7	9
57	к жизни	1	9
58	и все	4	9
59	того как	1	9
60	земли и	2	9
61	но в	3	9
62	в русском	1	9
63	но не	2	9
64	в этих	3	8
65	так же	1	8
66	на себя	5	8
67	во всех	3	8
68	что это	1	8
69	их в	3	8
70	того чтобы	2	8
71	того что	5	8
72	ее в	2	8
73	для того	1	8
74	в своем	1	7
75	к нему	1	7
76	не в	3	7
77	а с	2	7
78	только в	2	7
79	а не	7	7
80	ничего не	1	7
81	по этому	3	7
82	к тому	3	6
83	не всегда	1	6
84	в одном	1	6
85	после того	1	6
86	в разные	1	6
87	тому что	3	6
88	на земле	7	6
89	на этом	1	6
90	в этой	1	6
91	в нем	4	6
92	с ними	1	6
93	в первый	3	6
94	в их	1	6
95	на нее	1	6
96	все эти	3	6
97	она не	1	6
98	но она	1	6
99	в разных	1	5
100	тогда как	1	5
101	вопрос о	1	5
102	с другой	1	5
103	к ним	1	5
104	что от	2	5
105	не было	3	5
106	на новый	1	5
107	можно было	2	5
108	прежде всего	2	5
109	его с	1	5
110	с ним	2	5
111	для них	2	5
112	что он	4	5
113	то и	1	5
114	и для	3	5
115	тот же	3	5
116	в его	4	5
117	или даже	1	5
118	и потому	7	5
119	не с	2	5
120	их на	1	5
121	в целом	1	5
122	во всем	1	4
123	их не	1	4
124	в своих	1	4
125	но все	1	4
126	во всяком	2	4
127	в котором	4	4
128	от них	1	4
129	не просто	1	4
130	как можно	1	4
131	не был	1	4
132	в руки	1	4
133	природы и	1	4
134	могут быть	2	4
135	и от	1	4
136	за ним	3	4
137	они и	2	4
138	если в	1	4
139	этому же	1	4
140	где есть	1	4
141	и до	1	4
142	это имеет	1	4
143	в образе	4	4
144	этого слова	1	4
145	у них	1	4
146	уже в	1	4
147	его и	2	4
148	а к	2	4
149	в ней	4	4
150	и ее	1	4
151	и тогда	2	4
152	таким же	1	4
153	все что	4	3
154	же и	1	3
155	которые не	2	3
156	говорит о	1	3
157	в виду	1	3
158	связь с	1	3
159	на которых	1	3
160	в одно	1	3
161	от этого	3	3
162	он был	1	3
163	до того	2	3
164	находится в	1	3
165	что все	4	3
166	никогда не	3	3
167	ее и	2	3
168	на него	1	3
169	хотя и	5	3
170	в ее	1	3
171	чем у	1	3
172	христа и	1	3
173	в которой	1	3
174	и это	2	3
175	в форме	2	3
176	его к	2	3
177	любви и	1	3
178	то есть	1	3
179	живет в	1	3
180	их и	1	3
181	в своей	3	3
182	чтобы решить	1	3
183	жизни в	1	3
184	как бог	1	3
185	нет и	2	3
186	и во	2	3
187	и то	2	3
188	ее на	1	3
189	ее к	1	3
190	между собою	1	3
191	церкви и	1	3
192	есть и	1	3
193	под землей	1	3
194	это в	1	3
195	и другое	1	3
196	не к	2	3
197	от него	2	2
198	христа в	3	2
199	с этой	1	2
200	человек на	1	2
201	силы на	1	2
202	не нужны	1	2
203	с презрением	2	2
204	другой стороны	1	2
205	но что	1	2
206	и которые	1	2
207	в духе	2	2
208	из всего	1	2
209	когда в	2	2
210	но мы	2	2
211	было не	1	2
212	раз и	1	2
213	и должна	1	2
214	вот почему	2	2
215	говорить о	4	2
216	людей и	2	2
217	в прошлом	2	2
218	он так	1	2
219	нам право	1	2
220	земле то	1	2
221	день в	1	2
222	все в	1	2
223	мы видим	1	2
224	должно быть	3	2
225	и за	2	2
226	у него	1	2
227	ее от	1	2
228	тот кто	2	2
229	в конце	3	2
230	iv в	1	2
231	в двух	1	2
232	в чем	3	2
233	что их	2	2
234	мы указывали	1	2
235	не будут	1	2
236	и тем	1	2
237	не были	1	2
238	кто же	1	2
239	вера в	2	2
240	но нет	1	2
241	был в	1	2
242	для чего	1	2
243	не случайно	1	2
244	не так	2	2
245	над ними	2	2
246	в старой	2	2
247	от людей	1	2
248	в жизни	3	2
249	благополучие в	1	2
250	смертью и	1	2
251	о которой	1	2
252	оно не	3	2
253	во что	1	2
254	их к	1	2
255	и начало	1	2
256	значения и	2	2
257	как не	3	2
258	к нам	2	2
259	и так	1	2
260	себя и	1	2
261	детскую игру	1	2
262	не имеют	1	2
263	и если	1	2
264	и теперь	2	2
265	к людям	6	2
266	с его	3	2
267	д и	1	2
268	что есть	5	2
269	значение в	1	2
270	они не	1	2
271	и всегда	1	2
272	для него	2	2
273	основана на	1	2
274	это еще	4	2
275	и вообще	1	2
276	чтобы сделать	2	2
277	счастье и	3	2
278	составные части	1	2
279	и всех	1	2
280	отношение к	1	2
281	им не	1	2
282	что было	2	1
283	с которыми	1	1
284	в самом	1	1
285	помогают от	1	1
286	религии и	1	1
287	и очень	1	1
288	и религию	1	1
289	в нашу	1	1
290	которой они	2	1
291	если нет	1	1
292	него в	1	1
293	с тобою	3	1
294	ты не	5	1
295	быть может	1	1
296	вот что	1	1
297	и сам	2	1
298	недостатка в	1	1
299	жизнь в	1	1
300	каким образом	1	1
301	мы и	2	1
302	уже на	2	1
303	от необходимости	1	1
304	последние дни	1	1
305	в грядущем	1	1
306	его на	1	1
307	есть остаток	1	1
308	всегда в	1	1
309	существ которые	1	1
310	себя не	1	1
311	мир и	2	1
312	и смерти	1	1
313	благополучия и	1	1
314	не могли	2	1
315	и совершают	1	1
316	одно целое	1	1
317	хотя бы	3	1
318	презрением к	1	1
319	но может	1	1
320	пока они	1	1
321	идет по	1	1
322	на пути	1	1
323	а между	2	1
324	говорит что	1	1
325	превращается в	3	1
326	его по	1	1
327	христа на	1	1
328	стариков и	1	1
329	которого они	1	1
330	ней и	1	1
331	ее но	1	1
332	него не	1	1
333	по которым	2	1
334	в мировом	1	1
335	когда дух	1	1
336	же они	1	1
337	были в	1	1
338	для христианства	1	1
339	к ее	1	1
340	и мы	3	1
341	человеку не	1	1
342	указать на	1	1
343	в состоянии	1	1
344	что уже	1	1
345	первый раз	3	1
346	но от	1	1
347	если они	1	1
348	как дети	1	1
349	на этих	2	1
350	почему в	2	1
351	он где	1	1
352	за эти	1	1
353	они в	3	1
354	это слово	1	1
355	они будут	4	1
356	уже плохо	1	1
357	весь мир	1	1
358	в третьем	1	1
359	так не	2	1
360	формах в	1	1
361	не была	1	1
362	что очень	1	1
363	является и	1	1
364	в результате	1	1
365	на разных	1	1
366	есть один	1	1
367	что не	4	1
368	и своего	1	1
369	на путь	1	1
370	не есть	6	1
371	и путем	1	1
372	у таких	1	1
373	что личность	1	1
374	себе и	1	1
375	а потом	1	1
376	и мир	1	1
377	идет человек	1	1
378	из первого	3	1
379	там он	1	1
380	по пути	5	1
381	не будет	2	1
382	и хотя	1	1
383	что бы	1	1
384	смерть но	1	1
385	что во	3	1
386	найти в	1	1
387	звучит в	1	1
388	это ни	1	1
389	и есть	4	1
390	с которым	1	1
391	для людей	2	1
392	бы ни	1	1
393	есть одна	1	1
394	и чем	1	1
395	в число	2	1
396	земной а	1	1
397	как религия	1	1
398	старые и	1	1
399	себя но	1	1
400	многие люди	1	1
401	происхождение и	1	1
402	и стало	1	1
403	много места	1	1
404	которым можно	2	1
405	и который	1	1
406	превратились в	2	1
407	должна быть	3	1
408	для себя	1	1
409	и менее	1	1
410	освободиться от	1	1
411	человек с	1	1
412	они только	1	1
413	истории в	1	1
414	ни в	3	1
415	и вновь	1	1
416	не могут	2	1
417	власти и	1	1
418	если не	3	1
419	прибавить к	1	1
420	превращаются в	2	1
421	довольство и	1	1
422	только себя	1	1
423	детские песни	1	1
424	ли он	1	1
425	своих жертв	1	1
426	зависимости от	1	1
427	природу его	1	1
428	хотел бы	1	1
429	их во	1	1
430	это самое	1	1
431	человека и	6	1
432	тому кто	1	1
433	который он	1	1
434	ли они	1	1
435	еще и	1	1
436	что мы	4	1
437	видим что	1	1
438	в роли	1	1
439	на том	2	1
440	один это	1	1
441	это все	2	1
442	это только	1	1
443	рабской зависимости	1	1
444	и два	1	1
445	и ненависти	1	1
446	теми которые	1	1
447	говорят что	1	1
448	о своем	1	1
449	вслед за	2	1
450	слова с	1	1
451	в истории	8	1
452	себя от	1	1
453	как замена	1	1
454	что я	3	1
455	любовью к	1	1
456	в сознании	1	1
457	оторванное от	1	1
458	сделать это	1	1
459	землей в	1	1
460	и каким	1	1
461	ничем не	1	1
462	и было	1	1
463	ненависть к	1	1
464	б и	1	1
465	грядущем не	1	1
466	есть уже	2	1
467	происхождении и	2	1
468	но с	1	1
469	наших дней	1	1
470	и последний	2	1
471	и эта	1	1
472	и свободы	2	1
473	то это	3	1
474	как она	1	1
475	от слова	1	1
476	и могут	1	1
477	дело к	1	1
478	не помогают	1	1
479	но христос	1	1
480	еще с	1	1
481	идет к	1	1
482	и хлеб	1	1
483	искать в	1	1
484	забота о	1	1
485	он говорит	1	1
486	это как	1	1
487	всех на	1	1
488	не по	1	1
489	же что	1	1
490	свою роль	1	1
491	люди не	2	1
492	те которые	2	1
493	и своим	1	1
494	этом весь	1	1
495	жизни и	3	1
496	теперь еще	1	1
497	не надо	1	1
498	нас это	1	1
499	есть не	1	1
