N	3gram	Nazirov_Tr	UchenyiS
1	не может быть	1	4
2	в то же	5	3
3	то же время	5	3
4	по нашему мнению	1	3
5	и то что	1	2
6	в том что	2	2
7	в самом деле	1	2
8	не могут быть	1	2
9	хотя бы и	1	2
10	и в частности	2	2
11	а между тем	1	2
12	в конце концов	1	2
13	еще ничего не	1	2
14	ничего не значит	1	1
15	сам по себе	1	1
16	должно быть по	1	1
17	но в то	2	1
18	может быть в	1	1
19	не только к	1	1
20	она все же	1	1
21	в той же	1	1
22	в данном случае	2	1
23	в этом случае	1	1
24	и не случайно	2	1
25	все же не	1	1
