N	3gram	Tiupa_Anal	Literetu
1	в том что	12	21
2	в то же	7	21
3	то же время	7	21
4	по отношению к	9	12
5	с одной стороны	3	12
6	не может быть	2	11
7	в данном случае	11	11
8	в отличие от	5	11
9	состоит в том	2	11
10	в конечном счете	5	10
11	так или иначе	5	10
12	о том что	7	10
13	в этом отношении	3	10
14	на наш взгляд	5	9
15	присутствия в мире	5	8
16	с точки зрения	2	8
17	не говоря уже	1	8
18	с другой стороны	7	7
19	говоря уже о	1	6
20	к тому же	7	6
21	из того что	1	6
22	подобно тому как	3	6
23	не только в	5	6
24	едва ли не	3	6
25	тем не менее	3	5
26	я и ты	1	5
27	в соответствии с	2	5
28	при этом как	2	5
29	в том чтобы	2	5
30	в русской литературе	5	5
31	в связи с	1	5
32	может быть это	1	4
33	эстетического субъекта и	1	4
34	в силу своей	1	4
35	и тем самым	2	4
36	и прежде всего	2	4
37	исходит из того	1	4
38	первых десятилетий хх	1	4
39	десятилетий хх века	1	4
40	я в мире	7	4
41	тогда как в	3	4
42	читателя зрителя слушателя	1	4
43	и то что	2	4
44	и наконец в	1	3
45	факторов художественного впечатления	4	3
46	объекта и адресата	2	3
47	в самом деле	1	3
48	полном соответствии с	1	3
49	речь идет о	2	3
50	не сводится к	1	3
51	особое место в	1	3
52	это точка безумия	1	3
53	в докторе живаго	1	3
54	той или иной	6	3
55	в равной степени	2	3
56	по этой причине	1	3
57	в свою очередь	7	3
58	по сути своей	1	3
59	никогда не бывает	1	3
60	в полном соответствии	1	3
61	не столько в	1	3
62	а не как	1	3
63	на самом деле	1	3
64	себя в другом	1	3
65	по крайней мере	5	3
66	ту или иную	1	3
67	в целом ряде	1	3
68	стать самим собою	1	3
69	в одном из	1	3
70	быть это точка	1	3
71	во всяком случае	6	3
72	к себе самому	1	3
73	но с другой	1	3
74	в самом начале	1	2
75	в этой системе	2	2
76	и эстетического адресата	1	2
77	в целом как	1	2
78	в сочетании с	4	2
79	субъекта и адресата	1	2
80	в себя и	1	2
81	субъекта объекта и	2	2
82	в художественном мире	1	2
83	все той же	2	2
84	для того чтобы	1	2
85	в русской поэзии	2	2
86	в своем составе	3	2
87	в его лице	1	2
88	между тем как	1	2
89	как нам представляется	2	2
90	тех или иных	1	2
91	а с другой	1	2
92	сознания состоит в	1	2
93	не только не	3	2
94	себя в жизни	1	2
95	только то что	1	2
96	в этой связи	1	2
97	в значительной степени	3	2
98	не мог бы	1	2
99	мы имеем дело	4	2
100	в чистом виде	2	2
101	может и не	1	2
102	тогда как сам	2	2
103	но в отличие	1	2
104	не удивительно что	2	2
105	если говорить о	1	2
106	при всей своей	1	2
107	но и в	2	2
108	обратим внимание на	1	2
109	так и не	5	2
110	в свое время	4	2
111	которые могли бы	1	2
112	в полной мере	3	2
113	в повестях белкина	10	2
114	до тех пор	1	2
115	то есть от	1	2
116	автора героя и	1	2
117	что произведение искусства	1	2
118	дело в том	3	2
119	в сравнении с	2	2
120	дамы с собачкой	1	2
121	субъекта и эстетического	1	2
122	неслиянных и нераздельных	1	2
123	можно было бы	1	2
124	том что лирическое	1	2
125	это уже не	1	2
126	в этом случае	1	2
127	этого текста в	2	2
128	что же касается	1	2
129	в этом контексте	3	2
130	войне и миру	1	1
131	эстетическим субъектом и	1	1
132	лишь в момент	1	1
133	войне и мире	2	1
134	в той или	2	1
135	два сверхсхемных ударения	1	1
136	петровича белкина изданных	1	1
137	которое говоря словами	1	1
138	одного из них	1	1
139	и даже отчасти	1	1
140	что он не	2	1
141	парадигму художественности в	1	1
142	между отцом и	1	1
143	ритуально-мифологического комплекса мотивов	1	1
144	а потому и	1	1
145	все того же	1	1
146	я и мир	1	1
