N	3gram	Tiupa_Disk	Vladivir
1	в том что	18	29
2	там же с	1	29
3	о том что	8	22
4	тем не менее	1	18
5	что же касается	4	14
6	и то что	2	14
7	дело в том	3	13
8	во всяком случае	2	12
9	в связи с	1	12
10	содержит в себе	3	11
11	более или менее	2	11
12	к тому же	4	11
13	не может быть	5	10
14	в то же	7	10
15	вместе с тем	1	10
16	с точки зрения	3	10
17	в этом смысле	1	9
18	как раз и	1	9
19	то же время	9	9
20	а также и	1	8
21	на то что	1	8
22	в свое время	3	7
23	в это время	1	7
24	в данном случае	6	6
25	том что в	3	6
26	в отличие от	12	6
27	с другой стороны	4	6
28	как мы видели	1	6
29	том что он	1	6
30	и в то	2	5
31	и в том	1	5
32	и потому что	1	5
33	то что в	1	5
34	не говоря уже	2	5
35	не только в	2	5
36	можно сказать что	3	4
37	говоря уже о	2	4
38	в этом отношении	4	4
39	сам по себе	1	4
40	к этому времени	1	4
41	в том чтобы	2	4
42	по крайней мере	3	4
43	заключается в том	1	4
44	с одной стороны	12	4
45	также и в	1	4
46	что он не	1	3
47	хотя бы и	1	3
48	в самом деле	1	3
49	в котором он	1	3
50	в том числе	3	3
51	не в том	3	3
52	потому что в	2	3
53	и вообще в	1	3
54	в том случае	1	3
55	свидетельствует о том	1	3
56	а с другой	4	3
57	а в том	2	3
58	же касается самого	1	3
59	только то что	2	3
60	в свою очередь	3	3
61	в этом же	1	3
62	несмотря на все	1	3
63	только в том	2	3
64	хотя бы на	1	3
65	с самого начала	2	3
66	в первую очередь	3	3
67	одной стороны и	3	2
68	в этот период	1	2
69	в таком случае	1	2
70	в себе не	2	2
71	так и в	4	2
72	до сих пор	1	2
73	и прежде всего	2	2
74	для своего времени	1	2
75	необходимо отметить что	1	2
76	или по крайней	1	2
77	все дело в	1	2
78	а не только	2	2
79	при этом в	2	2
80	с теми же	1	2
81	в том и	1	2
82	еще и в	1	2
83	ни в чем	1	2
84	в которой он	1	2
85	в этом рассуждении	1	2
86	но в данном	1	2
87	том что и	1	2
88	одно и то	2	2
89	и то же	2	2
90	так и его	1	2
91	то есть оно	1	2
92	в этом случае	3	2
93	и все же	3	2
94	том случае если	1	2
95	и на его	1	2
96	это и есть	1	2
97	все того же	1	2
98	но все эти	1	1
99	себе не может	1	1
100	к разного рода	1	1
101	только при наличии	1	1
102	и как бы	5	1
103	все то что	1	1
104	как будто бы	2	1
105	и даже не	1	1
106	заключать в себе	1	1
107	до известной степени	2	1
108	как и вообще	1	1
109	к одному из	1	1
110	реальности и ее	1	1
111	в известной степени	1	1
112	только в составе	1	1
113	в себя и	1	1
114	не было и	1	1
115	в году как	1	1
116	дело не в	1	1
117	он не может	1	1
118	сказать и о	2	1
119	мысли и ее	2	1
120	далеко не всегда	1	1
121	в строгом смысле	1	1
122	свободное отношение к	1	1
123	заключающие в себе	1	1
124	жизни а также	2	1
125	именно в этой	1	1
126	это в основном	1	1
127	приходит к выводу	1	1
128	есть она сама	1	1
129	к своему собственному	1	1
130	в такой же	1	1
131	той или иной	6	1
132	о чем не	2	1
133	именно здесь в	1	1
134	и далеко не	1	1
135	а потому и	1	1
136	в чем не	1	1
137	по себе не	2	1
138	не могло быть	1	1
139	что во всех	1	1
140	до настоящего времени	1	1
141	может быть названа	1	1
142	в данном отношении	1	1
143	здесь как и	1	1
144	возможна только в	2	1
145	в целом и	1	1
146	не может существовать	1	1
147	то же самое	2	1
148	значении этого слова	1	1
149	не имеют никакого	1	1
150	но все же	1	1
151	лицом к лицу	2	1
152	к чему не	1	1
153	в известном смысле	1	1
154	перед нами не	1	1
155	о том как	1	1
156	и должны быть	1	1
157	пока еще не	3	1
158	и называет этот	1	1
159	а также от	1	1
160	не дошли до	1	1
161	мы имеем дело	3	1
162	в этом последнем	1	1
163	может и не	1	1
164	на каждом шагу	1	1
165	внимание на то	1	1
166	кто из вас	1	1
167	может быть в	1	1
168	в мире и	1	1
169	равно как и	1	1
170	мысль о том	1	1
171	и не могло	1	1
172	еще не есть	1	1
173	не могли быть	1	1
174	прежде всего на	1	1
175	он не считает	1	1
176	в отсутствии у	1	1
177	из той же	1	1
178	при всей своей	2	1
179	можно утверждать что	1	1
180	так и с	1	1
181	не только от	1	1
182	со своего рода	1	1
183	что не только	1	1
184	одна из них	1	1
185	том что вся	1	1
186	быть и не	1	1
187	в основе своей	4	1
188	еще не было	1	1
189	был погружен в	1	1
190	и в особенности	2	1
191	то что оба	1	1
192	состоит в том	3	1
193	в другом и	1	1
194	не приходится удивляться	2	1
195	в противном случае	1	1
196	же время и	2	1
197	включает в себя	1	1
198	никогда не было	1	1
199	далеко не все	1	1
200	котором он говорит	1	1
201	такой же мере	1	1
202	только потому что	1	1
203	данном случае мы	1	1
204	но отнюдь не	2	1
205	не менее об	1	1
206	к той же	1	1
207	и с их	1	1
208	то чего не	1	1
209	том что с	1	1
210	в одних случаях	1	1
211	в новое время	1	1
212	также и все	1	1
213	ни к чему	1	1
214	имелись в виду	1	1
215	и не может	3	1
216	ему в этом	1	1
217	и не только	2	1
218	имеют никакого отношения	1	1
219	существенная роль в	1	1
220	нет и не	1	1
221	с ней в	1	1
222	приходится удивляться что	1	1
223	рассказ о том	1	1
224	имеем дело с	1	1
