N	3gram	Potebnia_M	Psycholo
1	в том что	18	78
2	для того чтобы	4	70
3	на то что	3	55
4	и т п	4	37
5	заключается в том	1	36
6	о том что	1	34
7	с точки зрения	3	29
8	с одной стороны	6	28
9	все то что	2	23
10	не может быть	11	23
11	до сих пор	5	23
12	и т д	6	22
13	с таким образом	3	21
14	к тому что	2	20
15	с другой стороны	7	20
16	мы увидим что	3	19
17	на самом деле	2	17
18	не только не	2	16
19	с самого начала	5	16
20	так же как	1	14
21	во всяком случае	7	14
22	само по себе	6	14
23	в то время	3	14
24	в этом отношении	1	14
25	заключает в себе	6	13
26	можно было бы	1	13
27	и в этом	7	13
28	то время как	1	13
29	указывает на то	1	12
30	сам по себе	5	12
31	этой точки зрения	1	12
32	и той же	3	12
33	одной и той	3	12
34	то что он	1	11
35	то что в	2	11
36	по сравнению с	1	11
37	подобно тому как	7	11
38	с этой точки	2	10
39	вместе с тем	1	10
40	только в том	7	10
41	не в том	6	10
42	сами по себе	8	10
43	том что он	1	10
44	потому что в	5	9
45	таким образом что	2	9
46	в отличие от	1	9
47	не то что	1	9
48	и что в	3	9
49	в том случае	1	9
50	точно так же	1	9
51	в том и	2	9
52	не в состоянии	2	9
53	и как бы	4	8
54	смысле этого слова	3	8
55	и таким образом	1	8
56	с тем что	4	8
57	мы знаем что	1	8
58	что в нем	1	8
59	о которых мы	1	7
60	на этот вопрос	2	7
61	том случае если	1	7
62	в этом смысле	4	7
63	если бы мы	1	7
64	только то что	1	7
65	психологической точки зрения	1	7
66	в свою очередь	8	7
67	что и в	4	7
68	как и в	3	7
69	потому что она	1	6
70	сама по себе	4	6
71	с психологической точки	1	6
72	и может быть	4	6
73	было бы сказать	1	6
74	не что иное	2	6
75	до тех пор	1	6
76	мы не можем	2	6
77	и тот же	1	6
78	тем не менее	10	6
79	более или менее	6	6
80	что у него	1	6
81	по себе не	3	6
82	и в том	3	6
83	то что мы	2	6
84	не только в	3	6
85	по его мнению	4	6
86	что иное как	2	6
87	друг к другу	1	6
88	о том как	1	5
89	в собственном смысле	2	5
90	в таком случае	4	5
91	или вернее сказать	1	5
92	как если бы	1	5
93	один и тот	1	5
94	не было бы	3	5
95	в том виде	1	5
96	и во всех	2	5
97	чтобы показать что	1	5
98	несмотря на все	1	5
99	мы видели что	2	5
100	в том смысле	7	5
101	вслед за этим	1	4
102	в применении к	3	4
103	а между тем	5	4
104	что в таком	2	4
105	и того же	6	4
106	а в том	4	4
107	имеет дело с	2	4
108	ничего не может	1	4
109	из того что	2	4
110	но так как	1	4
111	и в этой	1	4
112	таким образом мы	1	4
113	до такой степени	2	4
114	бы если бы	1	4
115	таким образом в	3	4
116	то есть к	1	4
117	вопрос о том	1	4
118	это было бы	2	4
119	одного и того	6	4
120	не для того	1	4
121	по себе и	2	4
122	в произведении искусства	1	4
123	только тогда когда	5	4
124	и не может	1	4
125	то есть в	1	4
126	от того что	5	4
127	все более и	2	4
128	более и более	2	4
129	но совершенно ясно	1	4
130	только потому что	3	4
131	именно в том	1	4
132	по себе а	1	3
133	в том как	4	3
134	друг от друга	3	3
135	не потому что	1	3
136	не есть еще	1	3
137	начинается там где	1	3
138	что это не	1	3
139	так как в	2	3
140	мы не имеем	2	3
141	и там где	1	3
142	по отношению к	13	3
143	это не так	2	3
144	со всеми остальными	1	3
145	во внимание что	2	3
146	не заключает в	3	3
147	дело в том	3	3
148	по его словам	2	3
149	та и другая	1	3
150	того чтобы сделать	1	3
151	не могут быть	5	3
152	нет никакой возможности	1	3
153	между тем в	2	3
154	том смысле что	2	3
155	которые не могут	2	3
156	том что по	2	3
157	мысль о том	1	3
158	при этом как	1	3
159	в наше время	1	3
160	бы то ни	2	3
161	то же время	3	3
162	если бы в	1	3
163	по тому же	1	3
164	том в каком	1	3
165	и говорит что	1	3
166	то есть как	1	3
167	ничего общего с	1	3
168	в то же	3	3
169	то и другое	6	3
170	не может стать	1	3
171	может быть не	4	3
172	т п с	1	3
173	то все же	3	3
174	мы будем иметь	1	3
175	а b с	1	3
176	во всех этих	1	3
177	и то и	2	3
178	с тем и	1	3
179	привело к тому	1	3
180	и в процессе	1	3
181	обратить внимание на	2	3
182	после того как	3	3
183	не может понять	1	2
184	мере в какой	1	2
185	одной стороны и	2	2
186	что мы не	2	2
187	что и для	1	2
188	не могло бы	2	2
189	а следовательно и	1	2
190	и в этих	1	2
191	д и т	1	2
192	не совпадает с	1	2
193	она не может	1	2
194	решить вопрос о	1	2
195	что в них	1	2
196	так и в	5	2
197	но при этом	1	2
198	что при таком	2	2
199	того что в	1	2
200	если скажем что	1	2
201	между тем как	1	2
202	искусства потому что	1	2
203	жизни и не	1	2
204	не иначе как	2	2
205	и тем самым	2	2
206	во многих случаях	2	2
207	потому что не	5	2
208	имеет место в	1	2
209	есть одна из	1	2
210	вносит в нее	1	2
211	все же не	1	2
212	что то же	1	2
213	это значит что	1	2
214	в одном из	2	2
215	в связи с	2	2
216	в ответ на	1	2
217	невозможно потому что	1	2
218	т д и	1	2
219	и тем не	1	2
220	вбирает в себя	2	2
221	том что оно	1	2
222	но и в	4	2
223	по крайней мере	6	2
224	утверждает что у	1	2
225	с но если	1	2
226	но столь же	1	2
227	потому что мы	3	2
228	смотреть как на	1	2
229	при этом не	2	2
230	до какой степени	1	2
231	которое может быть	1	2
232	могут быть сведены	1	2
233	мы таким образом	1	2
234	не зависит от	1	2
235	в обратном отношении	2	2
236	и все же	1	2
237	во всем этом	1	2
238	может и не	1	2
239	нам что и	1	2
240	на задний план	1	2
241	того что они	2	2
242	что если в	1	2
243	есть необходимое условие	1	2
244	потому что как	3	2
245	то есть не	3	2
246	не так как	1	2
247	в одном акте	1	2
248	может быть только	2	2
249	только при помощи	1	2
250	может быть совершенно	1	2
251	в первом случае	1	2
252	другой стороны и	1	2
253	то чего не	1	2
254	потому что оно	1	2
255	не только о	1	2
256	никакого определенного чувства	1	2
257	то ни было	1	2
258	показать что и	1	2
259	тем что в	1	2
260	не мог бы	1	2
261	что с одной	1	2
262	там где он	1	2
263	на каждом шагу	1	2
264	время разговора с	1	2
265	искать не в	1	2
266	жизни но и	1	2
267	это все равно	1	2
268	во время разговора	1	2
269	того что она	1	2
270	там где есть	1	2
271	чем то что	1	2
272	как мы видели	1	2
273	только для того	1	2
274	другой стороны он	1	2
275	этого слова и	1	2
276	и в свою	3	2
277	он не мог	1	2
278	и при этом	2	2
279	в таком виде	2	2
280	том что при	1	2
281	то что я	1	2
282	что не только	3	2
283	на которую указывает	1	1
284	что в каждом	1	1
285	но то что	1	1
286	несмотря на их	1	1
287	в одном и	3	1
288	потому что чувственный	1	1
289	о которой мы	2	1
290	это как бы	1	1
291	бы при этом	1	1
292	так как на	1	1
293	удовольствие и неудовольствие	3	1
294	чем перейти к	1	1
295	или даже с	1	1
296	это могло бы	1	1
297	на деле не	1	1
298	разума и воли	1	1
299	конца мы не	1	1
300	в той мере	1	1
301	можно себе представить	2	1
302	многое такое чего	1	1
303	в этом можно	1	1
304	в сущности есть	1	1
305	мы думаем что	1	1
306	и тогда когда	1	1
307	в нашей мысли	1	1
308	не так потому	1	1
309	только там где	1	1
310	что чувство и	1	1
311	при этом что	1	1
312	но все они	1	1
313	у нас в	1	1
314	есть не только	1	1
315	так относится к	1	1
316	или наоборот как	1	1
317	она могла бы	1	1
318	от связи с	1	1
319	это приводит к	1	1
320	как в басне	1	1
321	одно за другим	1	1
322	мы начнем с	1	1
323	народного духа и	1	1
324	том и другом	2	1
325	а не его	1	1
326	то есть чем	1	1
327	что само по	1	1
328	и во многих	1	1
329	а не наоборот	1	1
330	в словах а	1	1
331	на деле же	1	1
332	всегда заключает в	1	1
333	того на что	1	1
334	и теперь как	1	1
335	к этой цели	2	1
336	духовной жизни человека	1	1
337	события о которых	1	1
338	не следует что	1	1
339	том что вообще	1	1
340	насколько это возможно	1	1
341	чтобы убедиться в	1	1
342	между этими двумя	1	1
343	не могла бы	2	1
344	для самого субъекта	1	1
345	на две группы	1	1
346	в каждом отдельном	1	1
347	не только те	1	1
348	на это никакого	1	1
349	той мере в	1	1
350	виде в каком	1	1
351	можем представить себе	2	1
352	в ней не	1	1
353	не только на	1	1
354	с этой стороны	1	1
355	но не в	3	1
356	а не из	1	1
357	все же оно	1	1
358	должен бы был	1	1
359	но все же	2	1
360	место только тогда	1	1
361	в одном случае	1	1
362	то прежде всего	1	1
363	тем которые мы	1	1
364	в каком он	1	1
365	не прямо а	1	1
366	на этом основании	2	1
367	но это не	2	1
368	столь же мало	2	1
369	в чем заключается	1	1
370	только в одном	1	1
371	уже о том	1	1
372	и потому не	1	1
373	что если ребенок	1	1
374	она еще не	1	1
375	что и то	1	1
376	в области психологии	1	1
377	что так как	1	1
378	потому что для	1	1
379	того как мы	2	1
380	при всем этом	1	1
381	быть возможно и	1	1
382	и ни для	1	1
383	т п и	1	1
384	полагает что при	1	1
385	можно смотреть как	1	1
386	и том же	3	1
387	т д то	1	1
388	так что если	3	1
389	покажет нам что	1	1
390	жизнь если мы	1	1
391	мы знаем только	1	1
392	только в обществе	2	1
393	страха и т	1	1
394	никогда не достигает	2	1
395	не пробуждаются в	1	1
396	таким образом три	1	1
397	то есть что	3	1
398	следует понимать и	1	1
399	на том что	1	1
400	и уже потому	1	1
401	нет ничего общего	1	1
402	усомниться и в	1	1
403	ее понимание однако	1	1
404	потому что его	1	1
405	и тем более	1	1
406	составляющим ее звукам	1	1
407	тем и другим	1	1
408	в нас самих	1	1
409	что именно эти	1	1
410	зависит от того	2	1
411	мы не в	1	1
412	что рядом с	1	1
413	представить себе нельзя	1	1
414	а потом уже	1	1
415	так как без	1	1
416	потому что на	3	1
417	что мы имеем	1	1
418	то чего я	1	1
419	что так же	1	1
420	что если бы	1	1
421	находятся в обратном	1	1
422	потому что нельзя	1	1
423	не может в	1	1
424	было бы если	1	1
425	что человек есть	2	1
426	его действия и	1	1
427	что для нас	1	1
428	к которому мы	2	1
429	души и что	1	1
430	и все остальные	2	1
431	которые могут быть	2	1
432	главным образом в	1	1
433	времен и народов	1	1
434	в этом месте	1	1
435	которые должны быть	2	1
436	и сказать что	1	1
437	на который указывает	1	1
438	легко заметить при	1	1
439	приближает его к	1	1
440	не в одном	1	1
441	так же невозможно	1	1
442	и в каждом	1	1
443	сказать что чувство	1	1
444	она может быть	1	1
445	было бы невозможно	5	1
446	и без него	1	1
447	сказать что и	1	1
448	том смысле как	1	1
449	в нем то	1	1
450	что в некоторых	1	1
451	то должно быть	1	1
452	связанная с ним	1	1
453	случаев в которых	1	1
454	если бы не	3	1
455	из виду что	2	1
456	что у нас	1	1
457	тому же поводу	1	1
458	с так как	1	1
459	том смысле в	4	1
460	том что все	1	1
461	потому что тогда	1	1
462	это легко заметить	1	1
463	того направления которое	1	1
464	заключать в себе	1	1
465	чтобы убедиться что	1	1
466	и на все	1	1
467	в обширном смысле	2	1
468	но если это	1	1
469	мы легко можем	1	1
470	бы так же	1	1
471	думаем что за	1	1
472	как в трех	1	1
473	следует рассматривать как	1	1
474	и в таком	2	1
475	формах при чтении	1	1
476	отличает ее от	1	1
477	того или другого	1	1
478	независимо от этого	1	1
479	имеет место только	1	1
480	то есть по	1	1
481	что в нашей	1	1
482	во всех отношениях	1	1
483	так что в	2	1
484	мы видели у	1	1
485	мыслей и чувств	1	1
486	и независимо от	2	1
487	как можно себе	1	1
488	с тем же	1	1
489	в чем состоит	1	1
490	так как другой	1	1
491	между нами и	1	1
492	природы но не	1	1
493	во что бы	1	1
494	к лицу с	1	1
495	на вопрос о	1	1
496	которая выражается в	1	1
497	и не имеет	2	1
498	так бывает при	1	1
499	так как каждое	1	1
500	что только в	1	1
501	нужно было бы	1	1
502	уже с самого	2	1
503	потому что только	1	1
504	и в самой	1	1
505	ни от какого	1	1
506	мы можем сказать	1	1
507	том что именно	1	1
508	как на средство	1	1
509	применить это к	1	1
510	должны быть признаны	1	1
511	могло бы быть	1	1
512	могут быть названы	3	1
513	к одной и	1	1
514	все что есть	1	1
515	как и всякая	1	1
516	и проч с	1	1
517	волнения души и	1	1
518	не могут понять	1	1
519	и по поводу	1	1
520	деятельности и как	1	1
521	в душе человека	1	1
522	и в других	1	1
523	говоря о том	1	1
524	не было ничего	1	1
525	могут быть выражены	1	1
526	и как только	1	1
527	тем что мы	3	1
528	не имеет ничего	1	1
529	ни в одном	1	1
530	и проч и	1	1
531	ли в этом	1	1
532	было бы предположить	1	1
533	для всех народов	1	1
534	а не в	1	1
535	думать говорит он	1	1
536	о предмете и	1	1
537	может быть содержанием	1	1
538	не знаем но	1	1
539	очевидно что и	1	1
540	прямо а в	1	1
541	лицом к лицу	1	1
542	сознательной или бессознательной	1	1
543	всех времен и	1	1
544	одном и том	3	1
545	есть что все	1	1
546	и которые поэтому	1	1
547	что на деле	1	1
548	в басне за	1	1
549	было бы так	1	1
550	в этой теории	1	1
551	и дают им	1	1
552	которых мы говорим	1	1
553	быть не может	2	1
554	и не иметь	1	1
555	которой мы думаем	1	1
556	то ни стало	1	1
557	в языке с	1	1
558	между собою и	1	1
559	то окажется что	1	1
560	все равно как	1	1
561	между человеком и	3	1
562	совершенно справедливо что	1	1
563	но не только	1	1
564	для нас не	1	1
565	распадаются на две	1	1
566	как в слове	1	1
567	обратим внимание на	1	1
568	если она начинает	1	1
569	каждый из этих	1	1
570	исследование само по	1	1
571	но дело в	2	1
572	языка то есть	2	1
573	мысль что и	2	1
574	наше тело и	1	1
575	что в противном	2	1
576	а не по	1	1
577	не кажется нам	1	1
578	что же касается	1	1
579	быть сведены к	1	1
580	и не в	1	1
581	человека то есть	1	1
582	и в тех	1	1
583	что все они	1	1
584	то с другой	1	1
585	что не может	3	1
586	ключ ко всем	1	1
587	бы ни было	2	1
588	не имели бы	1	1
589	это потому что	1	1
590	ни малейшего сомнения	1	1
591	встречаем и в	1	1
592	и если это	1	1
593	он не нуждается	1	1
594	очевидно что если	1	1
595	в противном случае	3	1
596	хотим сказать что	1	1
597	указание на то	1	1
598	что бы то	1	1
599	не может как	1	1
600	которых мы не	2	1
601	и от этой	1	1
602	далеко не все	1	1
603	выйти из круга	1	1
604	мы не знаем	1	1
605	связанное с ним	1	1
606	в душевной жизни	1	1
607	душевной жизни точно	1	1
608	и сами по	3	1
609	не имеем в	1	1
610	в обществе и	2	1
611	это не потому	1	1
612	но во всяком	3	1
613	быть похож на	1	1
614	не более как	3	1
615	слова во всяком	1	1
616	же касается до	1	1
617	мы при этом	1	1
618	всякое понимание есть	1	1
619	то есть из	1	1
620	они указывают на	1	1
621	так потому что	1	1
622	распространить и на	1	1
623	в чем именно	1	1
624	к известным действиям	1	1
625	мы не назовем	2	1
626	тому что все	1	1
627	и здесь как	1	1
628	то что они	1	1
629	и не только	1	1
630	должно быть возможно	1	1
631	в нем есть	2	1
632	что несмотря на	1	1
633	может быть названо	5	1
