N	3gram	Losev_Vesc	PoTuStor
1	с точки зрения	6	6
2	до сих пор	1	3
3	не может быть	22	3
4	по крайней мере	10	3
5	в этом смысле	2	3
6	по сравнению с	7	3
7	во всяком случае	2	3
8	можно сказать что	3	3
9	и пр и	1	3
10	все то что	2	2
11	так же как	2	2
12	в нем нет	2	2
13	и может быть	1	2
14	о том что	4	2
15	в самом деле	7	2
16	не нуждается в	1	2
17	и в этом	2	2
18	быть не может	1	1
19	что я в	1	1
20	в том что	9	1
21	друг с другом	2	1
22	нечто третье что	2	1
23	то что можно	1	1
24	может быть совершенно	1	1
25	каких бы то	1	1
26	мы не можем	3	1
27	не что иное	12	1
28	и быть не	1	1
29	что иное как	12	1
30	в этом и	2	1
31	дело в том	4	1
32	ни в коем	1	1
33	прежде всего к	1	1
34	вместе с тем	3	1
35	и говорить о	1	1
36	подобно тому как	5	1
37	существует только в	1	1
38	в применении к	2	1
39	можно было бы	3	1
40	и представить ее	1	1
41	прежде всего на	1	1
42	все что угодно	2	1
43	с нею и	1	1
44	только одна из	1	1
45	в науке не	1	1
46	и таким образом	2	1
47	в жизни мы	1	1
48	и прежде всего	1	1
49	в данном случае	2	1
50	место их в	1	1
51	может быть речи	1	1
52	как мы знаем	1	1
53	в том смысле	1	1
54	как это было	1	1
55	что между ними	1	1
56	на все лады	1	1
57	между ними уже	1	1
58	понятия и термины	1	1
59	есть прежде всего	4	1
60	быть может наиболее	1	1
61	хотя в данном	1	1
62	ничего не говорит	1	1
63	ними уже не	1	1
64	ее не только	1	1
65	и еще одно	1	1
66	что это именно	2	1
67	для него только	1	1
68	самом деле в	1	1
69	сделать это в	1	1
70	то ни было	12	1
71	с ним и	1	1
72	и того же	1	1
73	этого метода в	1	1
74	этой точки зрения	3	1
75	один из моментов	1	1
76	в свое время	2	1
77	с этой точки	3	1
78	то же самое	1	1
79	она может быть	2	1
80	не есть ведь	1	1
81	в коем случае	1	1
82	для того чтобы	2	1
83	что может быть	1	1
84	мы еще не	2	1
85	что есть в	2	1
86	есть в сущности	1	1
87	и что он	1	1
88	даже не пытается	1	1
89	и в чем	1	1
90	с одной стороны	3	1
91	на первый план	1	1
92	и пр это	1	1
93	то что я	2	1
94	в этом отношении	2	1
95	тому как мы	1	1
96	перевести на язык	1	1
97	на вопрос о	1	1
98	таким образом и	1	1
99	себя с другими	1	1
100	это и есть	4	1
101	бы то ни	12	1
102	но даже и	2	1
103	свой смысл и	1	1
104	одного и того	1	1
105	который только и	1	1
106	в связи с	1	1
107	случае не может	1	1
108	уже не может	3	1
109	может быть только	6	1
