N	2gram	Ircho_Kome	Sovremen
1	не может	9	17
2	может быть	14	12
3	точки зрения	8	12
4	таким образом	16	11
5	мы не	6	9
6	в каждом	3	8
7	в этом	18	7
8	и в	37	7
9	не можем	1	7
10	мы можем	7	6
11	в результате	2	6
12	как и	10	6
13	ничего не	6	6
14	и не	28	6
15	с точки	6	5
16	прежде всего	7	5
17	что же	2	5
18	все эти	1	5
19	и наконец	1	5
20	в дальнейшем	5	4
21	а в	12	4
22	так как	16	4
23	вопрос о	2	4
24	это не	3	4
25	не только	13	4
26	мы должны	1	4
27	в развитии	3	4
28	с помощью	4	4
29	как бы	7	4
30	нет и	4	4
31	если мы	2	4
32	в зависимости	1	4
33	их в	3	4
34	жизни и	1	4
35	вместе с	16	4
36	в целом	4	4
37	в том	24	4
38	зависимости от	1	4
39	из них	11	4
40	точку зрения	1	4
41	мы видели	1	4
42	и к	4	3
43	и потому	2	3
44	и мы	5	3
45	с самого	5	3
46	уже в	3	3
47	то же	14	3
48	при этом	11	3
49	не в	7	3
50	а не	5	3
51	в системе	1	3
52	для нас	7	3
53	все это	7	3
54	как он	5	3
55	в одном	3	3
56	у нас	1	3
57	самого начала	5	3
58	в конце	14	3
59	так называемых	1	3
60	было бы	7	3
61	в первом	2	3
62	ли мы	1	3
63	в этой	7	3
64	из двух	3	3
65	он в	2	3
66	и все	6	3
67	в себе	4	3
68	ясно что	12	3
69	что она	10	3
70	все же	9	3
71	при таком	1	3
72	в области	3	3
73	может не	1	3
74	между собой	5	3
75	отнюдь не	5	3
76	в нем	8	3
77	но мы	1	3
78	но в	7	3
79	еще не	10	3
80	с этим	5	2
81	что в	11	2
82	этих двух	2	2
83	тем не	3	2
84	в самом	17	2
85	дает нам	1	2
86	совершенно не	2	2
87	мы видим	2	2
88	значение в	1	2
89	и что	8	2
90	для развития	2	2
91	отличие от	5	2
92	друг с	3	2
93	ее на	2	2
94	то и	1	2
95	с одной	5	2
96	теперь же	3	2
97	в отличие	3	2
98	такого рода	2	2
99	в свою	12	2
100	из этих	2	2
101	в его	12	2
102	во всяком	3	2
103	не будем	1	2
104	мы знаем	2	2
105	не дает	5	2
106	в которую	1	2
107	еще более	4	2
108	можно назвать	1	2
109	то ни	4	2
110	с совершенно	1	2
111	что при	1	2
112	быть и	1	2
113	в некоторых	1	2
114	по мнению	2	2
115	из которых	7	2
116	только один	2	2
117	если же	2	2
118	говорить о	6	2
119	на его	5	2
120	конечно в	2	2
121	с общим	1	2
122	вторая половина	1	2
123	у него	10	2
124	не могут	2	2
125	со всеми	2	2
126	а на	3	2
127	свою очередь	10	2
128	и даже	6	2
129	самом деле	13	2
130	в которой	6	2
131	но все	5	2
132	некоторое время	1	2
133	же самое	3	2
134	тот или	1	2
135	возможность и	2	2
136	как мы	6	2
137	наконец не	2	2
138	настоящее время	1	2
139	тем же	3	2
140	и во	3	2
141	той же	2	2
142	могут быть	3	2
143	в таком	2	2
144	развития но	1	2
145	в нашем	1	2
146	не знаем	1	2
147	и есть	3	2
148	что все	1	2
149	на этот	6	2
150	такой же	2	2
151	на этом	3	2
152	но очень	1	2
153	роль в	3	2
154	не менее	9	2
155	приводит к	4	2
156	и по	3	2
157	времени и	2	2
158	в и	3	2
159	на котором	1	2
160	с другом	3	2
161	из одного	1	2
162	в настоящее	1	2
163	в один	1	2
164	известных нам	1	2
165	каждого из	3	2
166	знаем что	1	2
167	тот же	11	2
168	жизни мы	1	2
169	всяком случае	3	2
170	он должен	1	2
171	прошлого века	1	1
172	во всех	4	1
173	существу не	1	1
174	все они	1	1
175	остановимся здесь	1	1
176	к началу	3	1
177	бы то	3	1
178	которые в	1	1
179	в социальном	2	1
180	именно к	1	1
181	ходом развития	1	1
182	с новой	1	1
183	его и	3	1
184	этом случае	2	1
185	реагирует на	1	1
186	в свое	2	1
187	только не	1	1
188	во втором	2	1
189	и все-таки	1	1
190	человека в	4	1
191	но как	1	1
192	и снова	2	1
193	то они	1	1
194	чем же	2	1
195	не является	5	1
196	не допускает	1	1
197	до сих	12	1
198	только к	1	1
199	все его	2	1
200	еще одним	1	1
201	бы к	2	1
202	он уже	1	1
203	еще раз	1	1
204	и более	1	1
205	и плохо	2	1
206	пор в	1	1
207	в действительности	1	1
208	этому финалу	1	1
209	всеми ее	1	1
210	в объяснении	2	1
211	его мнению	2	1
212	действия в	3	1
213	которых в	1	1
214	с жизнью	1	1
215	время из	1	1
216	ли это	1	1
217	помним что	1	1
218	связи с	5	1
219	здесь нет	4	1
220	если в	4	1
221	мы уже	1	1
222	это как	1	1
223	такую же	3	1
224	несколько слов	1	1
225	человек и	1	1
226	почти не	1	1
227	для ее	1	1
228	его с	1	1
229	идет о	3	1
230	она не	3	1
231	в течение	3	1
232	да еще	3	1
233	на ее	4	1
234	чтобы он	1	1
235	но еще	2	1
236	они опять	1	1
237	позволяет ему	1	1
238	одной стороны	4	1
239	развития с	1	1
240	на друга	1	1
241	и другую	1	1
242	мы имеем	4	1
243	и у	4	1
244	если у	1	1
245	и речи	4	1
246	в другом	2	1
247	а из	1	1
248	в древней	1	1
249	несмотря на	7	1
250	это только	1	1
251	том как	5	1
252	остается еще	1	1
253	в ней	7	1
254	из всех	3	1
255	достаточно для	1	1
256	друг на	1	1
257	ни было	3	1
258	на второй	1	1
259	что эта	2	1
260	мы опять	1	1
261	положение в	1	1
262	человека как	1	1
263	а может	1	1
264	хотя и	6	1
265	он называет	4	1
266	с другой	5	1
267	в этот	1	1
268	с ним	10	1
269	она уже	1	1
270	на которых	1	1
271	что вся	1	1
272	он не	11	1
273	кроме того	1	1
274	и из	1	1
275	себя самого	1	1
276	никакому сомнению	1	1
277	будет ли	1	1
278	не будет	2	1
279	что с	4	1
280	те же	1	1
281	дело если	1	1
282	между двумя	2	1
283	которому они	1	1
284	аналогии с	2	1
285	ей не	1	1
286	а затем	4	1
287	мы в	3	1
288	увидим что	1	1
289	и вся	1	1
290	совпадают с	4	1
291	только на	1	1
292	и таких	1	1
293	пока не	2	1
294	и их	1	1
295	и всегда	1	1
296	что произошло	2	1
297	все что	6	1
298	не приходится	5	1
299	и та	1	1
300	правда и	1	1
301	для своего	1	1
302	можем ли	1	1
303	и при	1	1
304	одному и	1	1
305	здесь в	2	1
306	на которой	1	1
307	самое что	1	1
308	объяснение для	1	1
309	образом из	1	1
310	для них	1	1
311	можно было	3	1
312	и наиболее	1	1
313	разобраться в	1	1
314	ни в	14	1
315	но только	1	1
316	они относятся	1	1
317	раз ему	1	1
318	другую и	1	1
319	и от	3	1
320	в начале	5	1
321	быть таким	1	1
322	по отношению	6	1
323	еще в	1	1
324	и наш	1	1
325	этого объяснения	1	1
326	стороны и	4	1
327	роль играет	2	1
328	конечно не	4	1
329	и ничего	1	1
330	и само	1	1
331	и тот	6	1
332	и те	1	1
333	только в	3	1
334	чему мы	1	1
335	этот вопрос	2	1
336	все равно	3	1
337	же время	12	1
338	и может	2	1
339	не случайно	3	1
340	в ином	1	1
341	так же	8	1
342	которых она	1	1
343	его в	9	1
344	существо и	1	1
345	в обоих	2	1
346	себе в	6	1
347	в большинстве	1	1
348	должен был	6	1
349	с человеком	1	1
350	в конечном	2	1
351	чем в	5	1
352	нашего столетия	1	1
353	этой группы	2	1
354	в своих	4	1
355	не было	6	1
356	как например	2	1
357	с его	6	1
358	один из	6	1
359	в духе	1	1
360	на это	3	1
361	не более	1	1
362	если бы	18	1
363	всех трех	2	1
364	не знает	7	1
365	или в	1	1
366	на которые	3	1
367	а о	2	1
368	этого не	1	1
369	ни одного	1	1
370	много и	1	1
371	ничего общего	1	1
372	образом если	1	1
373	равно как	7	1
374	ни о	1	1
375	к одному	1	1
376	и еще	4	1
377	что его	10	1
378	в пьесе	1	1
379	как его	4	1
380	в эту	1	1
381	себе такую	2	1
382	для каждого	1	1
383	дело в	1	1
384	в споре	1	1
385	крайней мере	1	1
386	во многом	1	1
387	одного из	4	1
388	же как	1	1
389	по существу	4	1
390	сказать что	4	1
391	и эта	2	1
392	быть только	1	1
393	в ту	2	1
394	и начало	1	1
395	затем он	1	1
396	что наш	1	1
397	и действительно	1	1
398	такое же	2	1
399	законов и	1	1
400	и до	2	1
401	совсем иное	1	1
402	времени не	2	1
403	представление о	2	1
404	конечном счете	3	1
405	это делает	2	1
406	виде и	1	1
407	и ставит	1	1
408	отношению к	4	1
409	в основу	1	1
410	как нет	1	1
411	одной из	4	1
412	и ищет	1	1
413	в своем	9	1
414	тем легче	1	1
415	мы конечно	1	1
416	она и	2	1
417	в связи	4	1
418	в какой	4	1
419	работы в	1	1
420	всей ситуации	1	1
421	между ними	4	1
422	мы будем	1	1
423	iii наконец	1	1
424	ибо при	1	1
425	мы помним	2	1
426	этот раз	2	1
427	я мог	1	1
428	же в	3	1
429	произойти в	1	1
430	том что	22	1
431	обоих случаях	1	1
432	рядом с	1	1
433	в мире	2	1
434	можем сказать	1	1
435	всю эту	1	1
436	остаться дома	1	1
437	дома и	3	1
438	жизни в	1	1
439	но не	9	1
440	но если	3	1
441	здесь и	3	1
442	они не	2	1
443	к концу	3	1
444	правда не	1	1
445	по себе	1	1
446	он сам	1	1
447	для этих	1	1
448	не имеет	6	1
449	их на	1	1
450	к этому	11	1
451	в такой	1	1
452	в то	14	1
453	то его	1	1
454	и только	1	1
455	один и	3	1
456	эти качества	1	1
457	важную роль	1	1
458	мы имели	1	1
459	по его	2	1
460	является ли	3	1
461	ли он	1	1
462	две половины	1	1
463	это совершенно	1	1
464	этой области	1	1
465	нет никаких	2	1
466	независимо от	4	1
467	когда в	1	1
468	и для	7	1
469	не из	1	1
470	таким же	2	1
471	и это	4	1
472	входящих в	1	1
473	того же	9	1
474	сказать несколько	1	1
475	все время	3	1
476	нет в	1	1
477	и если	3	1
478	не принимает	1	1
479	для нашей	1	1
480	должен быть	2	1
481	он с	2	1
482	и его	10	1
483	и особенно	2	1
484	не давая	1	1
485	вовсе не	6	1
486	мере в	1	1
487	жизни где	1	1
488	о том	21	1
489	сих пор	12	1
490	по крайней	1	1
491	образом на	1	1
492	нечто совсем	1	1
493	или другой	1	1
494	к другому	2	1
495	человека и	2	1
496	к нему	8	1
497	никогда не	5	1
498	на них	3	1
499	могли быть	1	1
500	свое время	1	1
501	а потом	1	1
