N	2gram	Tiupa_Vved	Poddanst
1	не только	32	17
2	и в	23	14
3	и не	24	12
4	в области	5	11
5	в этом	27	10
6	в отношении	1	10
7	в том	21	9
8	то же	8	9
9	в качестве	18	9
10	но в	14	9
11	хотя бы	2	8
12	в пределах	3	8
13	только в	9	7
14	же время	4	7
15	в то	5	7
16	в ней	5	6
17	было бы	4	6
18	но и	31	6
19	может быть	25	5
20	отношении к	1	5
21	с другой	10	5
22	не в	12	5
23	и о	4	5
24	в которых	2	5
25	и к	2	4
26	что в	6	4
27	в котором	11	4
28	по себе	2	4
29	и если	1	4
30	и потому	2	4
31	но также	2	4
32	мы должны	1	4
33	в с	1	4
34	на пути	1	4
35	не может	14	4
36	а в	15	4
37	то что	9	4
38	как бы	8	4
39	если бы	10	4
40	а также	12	4
41	в своем	9	4
42	же в	3	4
43	том что	16	4
44	наряду с	2	3
45	в себе	15	3
46	что мы	2	3
47	с одной	9	3
48	мы не	6	3
49	это не	7	3
50	одной стороны	9	3
51	для того	1	3
52	между тем	3	3
53	хотя и	10	3
54	с тем	1	3
55	потому что	7	3
56	прежде всего	11	3
57	вслед за	3	3
58	сводится к	6	3
59	тем самым	6	3
60	сами по	1	3
61	заключается в	2	3
62	но не	9	3
63	могут быть	5	3
64	и как	2	3
65	с ними	2	3
66	столь же	3	3
67	в нем	9	3
68	и без	1	3
69	тот же	1	3
70	точки зрения	1	3
71	во всех	2	2
72	в перспективе	2	2
73	к началу	1	2
74	одних и	1	2
75	и это	2	2
76	в полной	1	2
77	осуществляется в	1	2
78	и мы	1	2
79	было в	2	2
80	если в	3	2
81	и вот	3	2
82	в значительной	2	2
83	том числе	1	2
84	еще более	2	2
85	начала и	2	2
86	по сравнению	1	2
87	местами и	1	2
88	каждый в	1	2
89	в ее	1	2
90	и тем	3	2
91	того что	7	2
92	никак не	2	2
93	как раз	5	2
94	в частности	19	2
95	в его	9	2
96	не о	2	2
97	а не	31	2
98	но о	2	2
99	для нас	4	2
100	все это	3	2
101	в которую	1	2
102	говорить о	5	2
103	в тот	1	2
104	для них	3	2
105	заключает в	4	2
106	может и	1	2
107	где в	3	2
108	и есть	2	2
109	стороны и	4	2
110	в виде	1	2
111	в них	4	2
112	не было	5	2
113	к чему	1	2
114	и с	2	2
115	в начале	3	2
116	слова но	2	2
117	полной мере	1	2
118	мысль о	2	2
119	которое в	4	2
120	в сфере	7	2
121	именно в	1	2
122	в жизни	7	2
123	отношения к	1	2
124	в последние	1	2
125	мы призваны	1	2
126	во всей	1	2
127	в силу	2	2
128	одна из	5	2
129	между прочим	1	2
130	в мире	9	2
131	например в	2	2
132	не менее	4	2
133	в ряду	2	2
134	не столько	5	2
135	отнюдь не	14	2
136	со стороны	15	2
137	да и	3	2
138	точек зрения	2	2
139	суждений о	1	2
140	не нужно	1	2
141	по характеру	1	2
142	исключительно в	3	2
143	в эту	1	2
144	культуры в	1	2
145	из них	1	2
146	тем более	3	2
147	есть в	2	2
148	в е	3	2
149	переход от	1	2
150	не к	4	2
151	поскольку не	2	1
152	к сожалению	1	1
153	представить себе	2	1
154	говорится о	1	1
155	нет ничего	2	1
156	как к	1	1
157	от нее	1	1
158	во всяком	3	1
159	и тех	1	1
160	могли бы	3	1
161	к истине	1	1
162	ни к	3	1
163	не есть	2	1
164	к духовному	1	1
165	реально и	1	1
166	культурного развития	1	1
167	и теперь	1	1
168	находятся в	1	1
169	и то	1	1
170	время есть	1	1
171	но как	1	1
172	выступает в	1	1
173	бы и	4	1
174	мы можем	2	1
175	о положении	1	1
176	мы видим	1	1
177	а с	4	1
178	в данном	22	1
179	только к	1	1
180	с его	1	1
181	видения в	1	1
182	ее по	1	1
183	и более	5	1
184	те же	2	1
185	вместе с	2	1
186	и здесь	2	1
187	по природе	2	1
188	в иных	1	1
189	и на	5	1
190	только а	1	1
191	отличие от	11	1
192	в самом	6	1
193	мир в	1	1
194	не означает	1	1
195	единению с	1	1
196	они не	3	1
197	в восприятии	1	1
198	является и	1	1
199	на территории	1	1
200	этой области	1	1
201	восходит к	2	1
202	что происходит	1	1
203	них в	1	1
204	только что	1	1
205	и жизненной	1	1
206	утверждается возможность	1	1
207	и главное	1	1
208	бы она	1	1
209	друга на	1	1
210	на сторону	1	1
211	в случаях	2	1
212	к этой	1	1
213	на человеческую	1	1
214	действие в	1	1
215	она являет	1	1
216	и который	2	1
217	уже в	2	1
218	должна быть	3	1
219	при отсутствии	3	1
220	наших глазах	1	1
221	внутреннего зрения	2	1
222	более или	2	1
223	связана с	1	1
224	того чтобы	2	1
225	в окружающем	1	1
226	они едины	1	1
227	и конца	1	1
228	живет в	1	1
229	равным образом	1	1
230	ему на	1	1
231	по всему	1	1
232	и иных	1	1
233	на основе	2	1
234	русской культуры	1	1
235	этом мире	1	1
236	своих интересов	1	1
237	представляет собой	18	1
238	в отдельности	1	1
239	но возможно	2	1
240	как известно	2	1
241	из всех	1	1
242	идти ни	1	1
243	взывает к	1	1
244	существования при	1	1
245	что это	2	1
246	одно и	1	1
247	подчеркнуть что	5	1
248	есть у	1	1
249	и сын	1	1
250	вот как	1	1
251	в напряжении	1	1
252	и уже	1	1
253	в формах	1	1
254	с которой	1	1
255	из этих	5	1
256	и смысла	1	1
257	не как	2	1
258	и вся	3	1
259	только на	2	1
260	и через	2	1
261	не исключает	1	1
262	не с	4	1
263	может оказаться	1	1
264	последние годы	1	1
265	например с	1	1
266	не об	1	1
267	но где	1	1
268	мы именуем	1	1
269	и что	2	1
270	в различных	1	1
271	не могла	1	1
272	чем говорить	1	1
273	частности в	2	1
274	на основании	1	1
275	что и	6	1
276	к смерти	1	1
277	есть с	1	1
278	другой стороны	3	1
279	раскрывается в	1	1
280	с того	3	1
281	есть некоторая	1	1
282	еще в	3	1
283	в мир	1	1
284	этом смысле	1	1
285	бы что	1	1
286	к жизни	2	1
287	выражается в	1	1
288	пространство в	2	1
289	далеко не	5	1
290	в современной	7	1
291	составляющих ее	1	1
292	в этих	5	1
293	не вполне	4	1
294	что все	1	1
295	в истории	1	1
296	как оно	2	1
297	не являясь	1	1
298	как по	2	1
299	так же	2	1
300	также и	6	1
301	как она	1	1
302	его в	1	1
303	речь но	1	1
304	обратившись к	1	1
305	каждый из	1	1
306	и наоборот	1	1
307	который не	1	1
308	было и	2	1
309	их не	1	1
310	когда ее	1	1
311	все же	10	1
312	времени с	1	1
313	и притом	3	1
314	чтобы в	1	1
315	которого в	1	1
316	этого процесса	1	1
317	в настоящее	1	1
318	но на	2	1
319	того кто	1	1
320	в результате	5	1
321	в рамках	5	1
322	и слова	2	1
323	оказывается в	3	1
324	должен быть	3	1
325	не связаны	1	1
326	в этой	2	1
327	тем при	1	1
328	числе и	1	1
329	к ним	4	1
330	и еще	1	1
331	этом не	2	1
332	и слабость	1	1
333	из нее	1	1
334	к первому	1	1
335	в отличие	11	1
336	и где	1	1
337	духа в	1	1
338	и которая	1	1
339	на нее	2	1
340	и разрешается	1	1
341	умещается в	1	1
342	себя в	4	1
343	само по	1	1
344	известном смысле	1	1
345	настоящее время	1	1
346	при сохранении	1	1
347	же как	1	1
348	чтобы понять	1	1
349	на себя	5	1
350	она может	2	1
351	что не	2	1
352	мы и	2	1
353	если мы	1	1
354	иначе как	1	1
355	в эпоху	1	1
356	тем же	1	1
357	но для	1	1
358	в ходе	3	1
359	в смене	1	1
360	не входят	1	1
361	что есть	1	1
362	ответа на	1	1
363	ведет к	2	1
364	и утверждается	1	1
365	свои собственные	1	1
366	к осуществлению	1	1
367	к другим	1	1
368	исчезнет и	1	1
369	сливаются в	2	1
370	какой она	2	1
371	происходит и	1	1
372	свидетельство о	1	1
373	с окружающей	1	1
374	людей особенно	1	1
375	и политических	1	1
376	и другим	1	1
377	не тождественны	1	1
378	мира а	2	1
379	бы оно	1	1
380	углубляется в	1	1
381	представляют собой	3	1
382	в какой	4	1
383	ясно что	2	1
384	с собой	1	1
385	не судьбой	1	1
386	место в	2	1
387	как и	21	1
388	определяется как	1	1
389	также в	1	1
390	и само	2	1
391	или иной	5	1
392	и внутренне	2	1
393	от первой	1	1
394	оказаться в	1	1
395	к миру	1	1
396	для каждого	1	1
397	мире в	1	1
398	личный опыт	1	1
399	к единению	1	1
400	внимание к	2	1
401	на то	3	1
402	бы эти	1	1
403	на фоне	3	1
404	ли не	2	1
405	смысла она	1	1
406	обычная жизнь	1	1
407	и по	3	1
408	и я	1	1
409	не два	2	1
410	там где	1	1
411	и только	2	1
412	это сделать	1	1
413	как одна	1	1
