N	2gram	Medvedev_I	Hudozhes
1	и в	1	23
2	и не	2	16
3	а в	1	13
4	в этом	2	12
5	так и	1	12
6	по отношению	1	10
7	отношению к	1	10
8	с другой	1	9
9	себя в	1	8
10	что в	2	7
11	в основе	1	7
12	другой стороны	1	6
13	художественного творчества	1	6
14	а также	1	6
15	в художественном	1	5
16	того чтобы	1	5
17	для того	1	5
18	для него	1	5
19	того что	1	5
20	говорить о	1	4
21	он не	2	4
22	и о	1	4
23	если бы	1	3
24	и сам	1	3
25	автора и	1	3
26	того же	1	3
27	не случайно	1	3
28	в целом	1	3
29	о жизни	1	2
30	в них	1	2
31	все эти	1	2
32	должен быть	2	2
33	на котором	1	2
34	никогда не	1	2
35	все это	1	2
36	я не	1	2
37	а для	1	2
38	а с	1	2
39	в значительной	1	2
40	такого знания	1	2
41	и др	1	2
42	первую очередь	1	1
43	произведения это	1	1
44	со всеми	1	1
45	тем что	1	1
46	к нам	1	1
47	только для	1	1
48	введение в	1	1
49	с героем	1	1
50	в первую	1	1
51	более чем	1	1
52	то и	1	1
53	точно и	1	1
54	жизни и	1	1
55	не так	1	1
56	и смыслы	1	1
57	то она	1	1
58	по поводу	1	1
59	о ней	1	1
60	и чрезвычайно	1	1
61	без этого	1	1
62	для других	1	1
63	этим и	1	1
64	не остается	1	1
65	и без	1	1
66	от этого	1	1
67	и со	1	1
68	это было	1	1
69	тех же	1	1
70	ибо и	1	1
71	бы в	1	1
72	этого писателя	1	1
73	не дает	1	1
74	а по	1	1
75	что для	1	1
76	его личности	1	1
