N	4gram	Vinokur_Vv	Narrotol
1	в то же время	6	8
2	состоит в том что	2	6
3	мы имеем дело с	1	5
4	дело в том что	3	3
5	той мере в какой	6	2
6	дело не только в	1	2
7	в той мере в	6	2
8	обратим внимание на то	1	2
9	одного и того же	2	2
10	одно и то же	2	2
11	в той или иной	1	2
12	еще и потому что	1	2
13	точно так же как	1	2
14	с этой точки зрения	2	1
15	дело не с языком	1	1
16	в том смысле что	1	1
17	не что иное как	5	1
18	в значительной степени это	1	1
19	в далеком прошлом и	1	1
20	что он вовсе не	1	1
21	может быть и не	1	1
22	с одной стороны и	3	1
23	сомневаться в том что	1	1
24	том виде в каком	1	1
25	бы то ни было	1	1
26	имеет дело не с	1	1
27	не в том как	1	1
28	той или иной степени	1	1
29	и в самом деле	3	1
30	в том что он	1	1
31	представление о том что	1	1
32	в связи с этим	1	1
33	не может быть вполне	1	1
34	тем не менее не	1	1
35	так а не иначе	1	1
36	тем не менее уже	1	1
37	по тем или иным	2	1
38	и тем не менее	3	1
39	в том виде в	1	1
40	какой бы то ни	1	1
41	ответ на этот вопрос	2	1
42	в том или ином	2	1
43	есть не что иное	3	1
