N	4gram	Voloshinov	VLabPisa
1	в то же время	7	5
2	и в то же	2	3
3	одном и том же	2	2
4	и не может быть	1	2
5	та или иная оценка	1	1
6	в плоть и кровь	1	1
7	иметь в виду что	1	1
8	на то или иное	1	1
9	и по отношению к	1	1
10	но все же и	1	1
11	одно и то же	5	1
12	что оно является только	1	1
13	в одном и том	1	1
14	но вместе с тем	1	1
15	из которых он может	1	1
16	всего бросается в глаза	1	1
17	одну и ту же	2	1
18	но в то же	2	1
19	которое не было бы	1	1
20	нет и не может	1	1
21	об одном и том	1	1
22	не может обойтись без	1	1
