N	3gram	Nazirov_Tv	Komedia
1	в том что	8	29
2	к тому же	1	21
3	в то же	19	16
4	то же время	18	16
5	до сих пор	1	16
6	в самом деле	2	13
7	о том что	6	13
8	и т п	4	11
9	в свою очередь	2	10
10	едва ли не	2	10
11	по отношению к	3	9
12	вместе с тем	1	9
13	с одной стороны	1	9
14	с другой стороны	2	8
15	и в самом	1	8
16	бы то ни	1	7
17	в конце концов	1	7
18	то ни было	1	7
19	с самого начала	3	7
20	в первую очередь	1	7
21	во всяком случае	2	7
22	в отличие от	2	6
23	в том числе	1	6
24	в связи с	2	6
25	что он не	1	5
26	о том как	1	5
27	то же самое	1	5
28	и т д	10	5
29	за то что	1	5
30	тем не менее	2	5
31	из действующих лиц	1	4
32	в одном из	2	4
33	что у него	2	4
34	чуть ли не	1	4
35	именно потому что	1	4
36	в этой области	1	4
37	к тому что	1	4
38	можно было бы	1	4
39	в том же	3	3
40	в соответствии с	7	3
41	в чем не	1	3
42	хотя и не	1	3
43	о том чтобы	1	3
44	равно как и	1	3
45	на протяжении всего	2	3
46	в чем же	1	3
47	в этой связи	2	3
48	молодого человека в	1	3
49	том числе и	1	3
50	ни в чем	1	3
51	одного из них	1	2
52	а может быть	2	2
53	с полным правом	1	2
54	в конечном счете	4	2
55	в эти годы	1	2
56	в каждом из	1	2
57	то что не	1	2
58	при этом что	1	2
59	на протяжении почти	1	2
60	как и в	2	2
61	в частности в	1	2
62	так и в	2	2
63	у него в	1	2
64	но при этом	1	2
65	в отношении к	1	2
66	друг за другом	1	2
67	точно так же	3	2
68	и в то	3	2
69	том что в	3	2
70	если не считать	2	2
71	на то чтобы	1	2
72	у него не	1	2
73	и в том	1	2
74	все тот же	1	2
75	приходит к мысли	1	2
76	и в дальнейшем	1	2
77	не означает что	2	2
78	в одной из	4	2
79	таким образом и	1	2
80	не зная о	1	2
81	так же как	1	2
82	имеем в виду	1	2
83	только потому что	1	2
84	не только в	2	2
85	мы имеем в	1	2
86	в поле зрения	1	2
87	аргументом в пользу	2	2
88	и в свою	1	2
89	и все же	3	2
90	свое завершение в	1	1
91	что в каждом	1	1
92	и как раз	1	1
93	лицо к которому	1	1
94	то по крайней	1	1
95	и далеко не	1	1
96	не может служить	1	1
97	в этот период	1	1
98	соответствии с этим	1	1
99	имеет в виду	1	1
100	с х годов	1	1
101	мы не находим	1	1
102	каждом из нас	1	1
103	в применении к	1	1
104	в ту ночь	1	1
105	не может быть	2	1
106	но если у	1	1
107	один ряд с	1	1
108	в г в	1	1
109	нет ничего кроме	1	1
110	в согласии с	1	1
111	в русском переводе	1	1
112	свою вину и	1	1
113	можно сказать что	2	1
114	да и в	1	1
115	и те и	1	1
116	что все это	3	1
117	прежде всего они	1	1
118	в случае с	1	1
119	с такой силой	1	1
120	если он не	1	1
121	что никогда не	1	1
122	того или иного	1	1
123	друг на друга	1	1
124	одного и того	1	1
125	что он был	1	1
126	уже после опубликования	1	1
127	и если бы	1	1
128	в первом из	1	1
129	больше чем любой	1	1
130	в моей жизни	1	1
131	до того в	1	1
132	три года до	1	1
133	ничего общего с	1	1
134	укладывается ни в	1	1
135	в начале xx	1	1
136	даже если он	1	1
137	все же это	1	1
138	не сводится к	1	1
139	бросается в глаза	1	1
140	же время для	1	1
141	и прежде всего	1	1
142	в данном случае	2	1
143	целом ряде случаев	1	1
144	мы узнаем что	2	1
145	мало чем отличается	1	1
146	по себе не	1	1
147	и того же	1	1
148	на него в	1	1
149	т i с	1	1
150	потому что граф	1	1
151	в этот момент	1	1
152	в наше время	4	1
153	нельзя не заметить	1	1
154	это вовсе не	1	1
155	к вопросу о	1	1
156	в стороне от	1	1
157	для этого случая	1	1
158	в построении образов	1	1
159	столь же ясно	1	1
160	в третий раз	1	1
161	по самой своей	1	1
162	не укладывается ни	1	1
163	в частности с	1	1
164	и не может	2	1
165	и в этом	1	1
166	на себя в	1	1
167	он выступает против	1	1
168	т д все	1	1
169	которую она должна	1	1
170	те и другие	1	1
171	той или иной	1	1
172	не мог не	1	1
173	мы понимаем что	1	1
174	человека и его	2	1
175	признать что в	1	1
176	в ужас от	1	1
177	не в его	1	1
178	и особенно в	1	1
179	до начала действия	1	1
180	к ней в	1	1
181	а вместе с	1	1
182	и в герое	1	1
183	и вот в	1	1
184	по крайней мере	4	1
185	же время он	2	1
186	это не означает	2	1
187	само собой разумеющимся	1	1
188	не заметить что	1	1
189	этот вопрос не	1	1
190	их взаимоотношения в	1	1
191	из самых ярких	1	1
192	на площади и	1	1
193	за три года	1	1
194	что же касается	1	1
195	приходит в ужас	1	1
196	в целом ряде	1	1
197	то что в	1	1
198	может быть в	1	1
199	но уже в	1	1
200	никто бы не	1	1
201	в повседневной жизни	1	1
202	как один из	1	1
203	же ясно что	1	1
204	он не может	1	1
205	не был бы	1	1
206	том же году	2	1
207	он говорит о	1	1
208	в настоящее время	1	1
209	на этот вопрос	2	1
210	отношении к ней	2	1
211	со всех сторон	1	1
212	чем отличается от	1	1
213	в чем он	1	1
214	и в их	1	1
215	не что иное	1	1
216	и та же	2	1
217	в году он	2	1
218	в отрыве от	1	1
219	на чьей стороне	1	1
220	мы находим у	1	1
221	при всей их	1	1
222	из них он	1	1
223	но это еще	1	1
224	и между ними	1	1
225	по случайному совпадению	1	1
226	же как и	1	1
227	одна и та	1	1
228	но только не	1	1
229	вообще говоря не	1	1
230	такой силой как	1	1
231	и в литературе	1	1
232	что иное как	1	1
233	в нем и	1	1
234	выясняется что он	1	1
235	в предисловии к	1	1
236	а нередко и	1	1
237	вслед за ними	1	1
238	один из самых	1	1
239	в виду что	1	1
240	как уже говорилось	1	1
241	в один ряд	1	1
242	к человеку и	1	1
