N	2gram	Medvedev_V	Komedia
1	и в	2	77
2	и не	1	47
3	в том	2	44
4	том что	2	42
5	и его	1	28
6	в этом	1	27
7	потому что	1	27
8	так как	1	24
9	в самом	1	22
10	то же	1	21
11	ясно что	1	21
12	в конце	2	21
13	к этому	1	19
14	столь же	1	14
15	все это	1	14
16	самом деле	1	13
17	в их	1	11
18	в частности	1	11
19	ничуть не	1	10
20	более чем	1	10
21	тем более	1	10
22	только в	1	9
23	даже не	1	9
24	по поводу	1	8
25	в которых	1	8
26	да и	1	8
27	хотя бы	1	7
28	в другом	1	7
29	конце концов	2	7
30	главным образом	1	6
31	так в	1	6
32	именно в	1	5
33	все время	1	5
34	по существу	1	5
35	я не	1	4
36	впрочем не	1	4
37	далеко не	1	4
38	для них	1	3
39	в устах	1	3
40	том же	1	3
41	под влиянием	1	2
42	не одно	1	2
43	чем больше	1	2
44	стр и	1	2
45	гораздо более	1	2
46	сводится к	1	2
47	но это	1	2
48	юноши в	1	2
49	и только	1	2
50	как же	1	2
51	которые они	1	2
52	чем к	1	2
53	по своим	1	1
54	здесь достаточно	1	1
55	образом из	1	1
56	значительной степени	1	1
57	время в	1	1
58	а только	1	1
59	же все	1	1
60	крайней мере	1	1
61	поэтического творчества	1	1
62	речи и	1	1
63	сводится в	1	1
64	других и	1	1
65	все то	1	1
66	один пример	1	1
67	по крайней	1	1
68	ни к	1	1
69	в значительной	1	1
70	с большой	1	1
71	от других	1	1
72	говорится в	1	1
73	не будем	1	1
74	социальных отношений	1	1
75	чего не	1	1
76	дело в	1	1
77	имеется в	1	1
78	на одном	1	1
79	хотел сказать	1	1
80	же с	1	1
81	то чего	1	1
82	и почти	1	1
83	говоря о	1	1
84	в книге	3	1
85	этом и	1	1
