N	2gram	Vygotskiy_	Analitik
1	не только	16	71
2	и в	38	66
3	в качестве	25	61
4	но и	9	57
5	в том	59	52
6	может быть	25	52
7	в этом	35	51
8	в частности	4	51
9	как и	20	50
10	и не	16	48
11	а не	7	42
12	при этом	13	40
13	том что	44	40
14	так и	11	35
15	в мире	2	31
16	представляет собой	6	30
17	состоит в	4	30
18	отнюдь не	6	29
19	как бы	17	29
20	не может	11	29
21	а в	7	28
22	в его	22	27
23	и его	5	27
24	не в	10	26
25	но не	7	26
26	в себе	9	24
27	не случайно	1	24
28	иначе говоря	2	23
29	что в	31	22
30	и даже	4	22
31	к тому	8	22
32	в этой	7	22
33	о том	6	20
34	и т.п	3	20
35	в самом	8	19
36	то же	18	19
37	в своей	9	19
38	по отношению	4	19
39	с его	3	19
40	но в	4	19
41	в данном	1	18
42	в то	5	18
43	отношению к	3	18
44	тем самым	6	17
45	с другой	11	17
46	только в	16	17
47	со стороны	1	17
48	такого рода	7	17
49	или иной	3	17
50	в целом	22	17
51	что и	14	16
52	могут быть	9	16
53	то что	27	16
54	в пределах	1	16
55	и на	9	15
56	не есть	5	15
57	между тем	10	15
58	уже не	3	15
59	прежде всего	6	15
60	в сущности	3	15
61	в их	12	15
62	не менее	8	14
63	того же	12	14
64	в себя	3	14
65	той или	2	14
66	мы имеем	6	14
67	в отличие	8	14
68	данном случае	1	14
69	столь же	7	14
70	отличие от	8	14
71	далеко не	2	14
72	по себе	11	13
73	точки зрения	27	13
74	как правило	2	13
75	тому же	6	13
76	в случае	3	13
77	он не	6	13
78	этого слова	13	13
79	как раз	1	13
80	для него	6	13
81	а также	6	13
82	в начале	5	13
83	на уровне	1	13
84	и к	9	12
85	и сам	4	12
86	никогда не	11	12
87	внутренней речи	19	12
88	как это	16	12
89	в первой	1	12
90	сводится к	1	12
91	как в	14	12
92	еще не	6	12
93	в конечном	2	12
94	есть не	1	12
95	в той	2	11
96	даже в	5	11
97	конечном счете	1	11
98	имеем дело	2	11
99	по своей	12	11
100	в свою	4	11
101	той же	8	11
102	это не	5	11
103	можно сказать	2	11
104	и как	11	11
105	не следует	1	11
106	нуждается в	1	11
107	именно в	6	10
108	все же	11	10
109	едва ли	6	10
110	с одной	8	10
111	в конце	1	10
112	было бы	15	10
113	однако в	2	10
114	подобно тому	1	10
115	и одновременно	3	10
116	отношения к	1	10
117	совпадает с	7	10
118	здесь не	2	10
119	особенно в	2	10
120	того или	2	10
121	и самого	1	10
122	один из	8	10
123	на себя	2	10
124	говорить о	1	9
125	говорит о	1	9
126	не столько	4	9
127	в результате	6	9
128	другой стороны	5	9
129	и того	5	9
130	одной стороны	8	9
131	свою очередь	3	9
132	том чтобы	2	9
133	в своем	9	9
134	по поводу	1	9
135	таким образом	36	9
136	во всех	3	9
137	за пределы	1	9
138	или иного	2	9
139	только не	2	9
140	имеет место	4	9
141	вместе с	18	9
142	автора и	1	9
143	вступает в	3	9
144	тому как	2	9
145	того что	17	9
146	как уже	8	9
147	дело с	3	8
148	в игре	2	8
149	роль в	5	8
150	не всегда	1	8
151	между двумя	3	8
152	одной из	1	8
153	как известно	7	8
154	с ним	4	8
155	если бы	12	8
156	и все	5	8
157	что он	13	8
158	перед нами	15	8
159	не является	13	8
160	в основе	32	8
161	с точки	11	8
162	хотя и	2	8
163	этом отношении	9	8
164	дело не	1	8
165	одного из	3	8
166	в ходе	1	8
167	во всяком	10	7
168	в противоположность	1	7
169	в другом	3	7
170	в одном	4	7
171	как мы	14	7
172	в нашем	2	7
173	который в	4	7
174	одна из	2	7
175	от себя	1	7
176	не мог	4	7
177	по природе	1	7
178	по преимуществу	1	7
179	внимание на	4	7
180	несмотря на	1	7
181	в ее	1	7
182	у него	3	7
183	в таком	4	7
184	как говорит	7	7
185	личности и	1	7
186	и тем	8	7
187	в свое	2	7
188	и является	2	7
189	приводит к	5	7
190	свое время	2	7
191	всяком случае	10	7
192	и для	4	7
193	все это	8	7
194	однако не	3	7
195	на его	5	7
196	или иначе	2	7
197	во времени	1	7
198	и т.д	8	7
199	место в	3	7
200	что иное	2	7
201	вплоть до	1	7
202	иное как	2	7
203	во всем	7	6
204	для всех	1	6
205	те же	6	6
206	так или	1	6
207	а напротив	1	6
208	или в	4	6
209	художественное произведение	1	6
210	одного и	5	6
211	как справедливо	1	6
212	хотя бы	2	6
213	превращается в	1	6
214	не что	2	6
215	с другим	1	6
216	вовсе не	5	6
217	из них	5	6
218	ключ к	5	6
219	то в	3	6
220	тем не	6	6
221	не знает	1	6
222	что не	1	6
223	напомним что	1	6
224	не будет	2	6
225	могла бы	1	6
226	его как	1	6
227	в силу	9	6
228	в нем	4	6
229	он был	1	6
230	если в	3	6
231	на этом	3	6
232	из которых	6	6
233	из того	4	6
234	вследствие этого	1	6
235	и более	4	6
236	из этих	5	6
237	более чем	1	6
238	и то	9	6
239	уже в	10	6
240	есть в	1	6
241	по его	1	6
242	должен быть	1	6
243	его в	8	6
244	тем более	2	6
245	же в	3	6
246	что на	2	6
247	все что	4	5
248	которая в	1	5
249	не так	1	5
250	к числу	1	5
251	по выражению	5	5
252	не как	3	5
253	а затем	4	5
254	в состав	1	5
255	в этих	4	5
256	в них	3	5
257	по пути	5	5
258	тем что	12	5
259	в один	4	5
260	ведет к	1	5
261	или ином	1	5
