N	2gram	Berdyaev_N	Marksizm
1	может быть	7	64
2	и в	16	63
3	и не	11	55
4	не может	16	47
5	и пр	3	42
6	и его	1	41
7	в этом	7	39
8	лишь в	6	30
9	не только	5	29
10	в нем	5	28
11	но и	3	27
12	в самом	1	24
13	как и	7	24
14	прежде всего	4	24
15	только в	1	23
16	так и	2	23
17	и т.п	2	23
18	в том	8	22
19	то что	4	22
20	а не	17	22
21	не в	6	19
22	том что	2	19
23	в его	1	19
24	в ее	3	18
25	и для	4	18
26	но в	2	18
27	в сущности	1	17
28	в то	2	16
29	во всех	3	15
30	что он	1	15
31	в русском	2	15
32	хотя бы	2	14
33	в смысле	2	14
34	в своей	3	13
35	так же	2	13
36	что в	9	13
37	того чтобы	2	13
38	было бы	1	13
39	мы не	2	13
40	слова в	1	13
41	для того	1	12
42	того же	1	12
43	он не	8	12
44	в основе	3	12
45	высшей степени	6	12
46	а в	2	12
47	в высшей	6	12
48	не столько	1	11
49	и того	1	11
50	к нему	1	11
51	мы уже	1	11
52	и что	2	11
53	и от	2	11
54	до сих	1	11
55	и на	2	11
56	и все	4	11
57	как в	3	11
58	еще не	3	11
59	друг друга	1	11
60	так как	1	11
61	все эти	2	11
62	в ней	5	11
63	сих пор	1	11
64	во всяком	1	10
65	с другой	3	10
66	сказать что	3	10
67	никогда не	6	10
68	в своем	1	10
69	одна из	2	10
70	в большинстве	1	10
71	конечно не	3	10
72	в отличие	1	10
73	с его	6	10
74	и потому	4	10
75	отличие от	1	10
76	бытия в	2	10
77	к тому	3	9
78	одного и	1	9
79	в себе	2	9
80	лишь на	1	9
81	большинстве случаев	1	9
82	и это	2	9
83	ни в	6	9
84	не имеет	4	9
85	и более	1	9
86	это не	4	9
87	в истории	3	9
88	мысли и	2	8
89	другой стороны	2	8
90	и даже	2	8
91	и с	2	8
92	у него	2	8
93	не было	4	8
94	что не	1	8
95	не будет	7	8
96	за пределы	3	8
97	в каком	1	8
98	в свою	1	8
99	с этим	2	8
100	у нас	1	8
101	и их	1	8
102	в этих	1	7
103	не существует	3	7
104	в котором	1	7
105	и формы	2	7
106	в этой	1	7
107	могут быть	2	7
108	оно может	1	7
109	по себе	1	7
110	о том	4	7
111	в формах	1	7
112	бы он	1	7
113	место в	2	7
114	в той	1	6
115	уже не	2	6
