N	2gram	Potebnia_M	IolandNe
1	и с	3	3
2	что в	34	2
3	самого себя	4	2
4	он не	4	2
5	должен быть	2	2
6	бы что	2	2
7	ничего не	2	2
8	и не	34	2
9	в этом	18	2
10	все эти	3	1
11	для того	8	1
12	а в	11	1
13	и о	3	1
14	бы искать	1	1
15	к нам	3	1
16	понятий и	1	1
17	утверждает что	3	1
18	это было	3	1
19	творчества то	1	1
20	и та	1	1
21	что для	5	1
22	для него	13	1
23	тех же	1	1
24	тем что	15	1
25	только что	4	1
26	бы его	1	1
27	от нее	6	1
28	того же	13	1
29	с а	4	1
30	не так	6	1
31	и др	1	1
32	жизни и	3	1
33	с другой	13	1
34	но когда	1	1
35	в целом	3	1
36	более чем	1	1
37	человеке и	2	1
38	очевидно что	5	1
39	в эту	2	1
40	стороны он	1	1
41	другой стороны	7	1
42	себя в	1	1
43	произведения и	1	1
44	могло бы	4	1
45	то и	15	1
46	что при	6	1
47	как только	1	1
48	если бы	23	1
49	у и	2	1
50	отношению к	13	1
51	следующим образом	1	1
52	доказать что	2	1
53	и сам	1	1
54	того что	15	1
55	них не	3	1
56	для других	2	1
57	стало быть	6	1
58	только для	7	1
59	по поводу	7	1
60	не кто	1	1
61	и тот	1	1
62	и многое	1	1
63	многое другое	1	1
64	так и	17	1
65	не чужд	1	1
66	ничего в	1	1
67	без этого	1	1
68	от этого	2	1
69	та и	1	1
70	того чтобы	4	1
71	и без	4	1
72	бы в	6	1
73	на памяти	1	1
74	не дает	2	1
75	есть только	16	1
76	и в	58	1
77	видит в	2	1
78	никогда не	7	1
79	все это	3	1
80	по отношению	15	1
81	как смерть	1	1
82	со всеми	1	1
83	на котором	1	1
84	нисколько не	2	1
85	то она	3	1
86	в них	7	1
