N	2gram	Medvedev_U	Problemy
1	и в	14	106
2	и не	8	90
3	может быть	6	66
4	в его	2	56
5	в этом	7	52
6	в нем	1	51
7	не может	7	49
8	как и	3	44
9	что он	2	44
10	но и	4	40
11	для него	3	39
12	а не	10	38
13	то же	5	36
14	не только	10	36
15	в пределах	1	35
16	то что	7	33
17	но в	3	33
18	прежде всего	8	32
19	он не	1	29
20	в то	3	29
21	все это	5	29
22	и все	1	28
23	не в	2	27
24	же время	3	26
25	в самом	2	25
26	и с	2	25
27	с самим	1	24
28	не как	3	24
29	самом деле	2	24
30	по себе	2	22
31	таким образом	2	22
32	все же	3	20
33	никогда не	1	20
34	только в	2	20
35	что же	1	19
36	что в	1	19
37	с его	2	19
38	уже не	1	18
39	в себе	2	18
40	о нем	1	18
41	но не	2	18
42	в том	2	17
43	это не	3	17
44	так и	1	17
45	если бы	2	16
46	в своей	3	16
47	этом смысле	2	16
48	у него	1	15
49	до конца	1	15
50	и для	2	15
51	в своем	1	14
52	как раз	2	14
53	в конце	2	14
54	а как	2	14
55	он и	1	14
56	и это	1	13
57	достоевского и	1	13
58	и даже	1	12
59	и слово	1	12
60	в котором	1	12
61	что и	2	12
62	и что	1	12
63	за пределы	1	12
64	было бы	3	12
65	между тем	2	12
66	том что	2	12
67	но это	2	12
68	ничего не	2	12
69	тем что	2	11
70	их в	1	11
71	входит в	1	11
72	с другой	4	11
73	должно быть	1	11
74	бы в	1	11
75	не могут	2	11
76	бы и	2	11
77	она не	1	11
78	конце концов	2	11
79	в произведении	1	10
80	говорит он	1	10
81	сих пор	2	10
82	до сих	2	10
83	для себя	1	10
84	приводит к	1	10
85	той же	1	10
86	далеко не	1	10
87	в той	1	9
88	другой стороны	3	9
89	хотя бы	5	9
90	друг с	1	9
91	но он	1	9
92	могут быть	2	9
93	и потому	1	9
94	о том	1	8
95	ни было	3	8
96	одним из	2	8
97	и у	2	8
98	должна быть	2	8
99	и так	1	8
100	того что	1	8
101	же не	2	8
102	с другом	1	8
103	в виду	1	7
104	сказать что	1	7
105	ее как	1	7
106	что все	2	7
107	что она	2	7
108	все его	1	7
109	не было	1	7
110	не о	3	7
111	то ни	3	7
112	друг другу	1	7
113	и др	1	7
114	бы то	3	7
115	в процессе	1	7
116	не входит	1	7
117	его и	2	7
118	он в	1	7
119	тот же	1	7
120	в их	4	7
121	в виде	1	7
122	что было	1	6
123	время не	1	6
124	должна была	2	6
125	превращается в	2	6
126	конечно не	4	6
127	как на	1	6
128	героя не	1	6
129	в художественном	5	6
130	слово как	1	6
131	в этой	4	6
132	в которых	1	6
133	он может	1	6
134	по существу	2	6
135	на его	1	6
136	и вы	1	6
137	он знает	1	6
138	на то	1	6
139	и только	5	6
140	для этого	3	6
141	но для	1	6
142	с тем	1	5
143	а между	2	5
144	него не	1	5
145	крайней мере	2	5
146	его как	1	5
147	то есть	1	5
148	художественного творчества	5	5
149	сам по	1	5
150	по крайней	2	5
151	мы не	2	5
152	нет и	1	5
153	но именно	1	5
154	и то	3	5
155	в ней	1	5
156	является в	2	4
157	все что	1	4
158	мы и	2	4
159	более или	1	4
160	он был	1	4
161	даже и	2	4
162	или менее	1	4
163	есть конечно	1	4
164	не то	1	4
165	все в	1	4
166	установка на	1	4
167	что такое	4	4
168	в которой	1	4
169	не есть	2	4
170	в сторону	2	4
171	остается в	1	4
172	не значит	1	4
173	всех этих	2	4
174	он уже	1	4
175	переходит в	1	4
176	из которых	1	4
177	если не	2	4
178	и действительно	1	4
179	в словах	1	4
180	как нам	1	4
181	то и	1	4
182	вне его	1	4
183	тому чтобы	1	4
184	материал и	1	4
185	перестает быть	5	4
186	этом отношении	2	4
187	что с	1	4
188	все и	1	4
189	смысле этого	2	4
190	это было	2	4
191	об этом	1	4
192	бы ни	1	4
193	и прежде	1	4
194	себе еще	1	4
195	это в	1	4
196	само по	1	4
197	с которыми	1	3
198	может служить	1	3
199	о чем	2	3
200	в большей	1	3
201	но что	1	3
202	большей или	1	3
203	без труда	1	3
204	можно сказать	1	3
205	в данном	1	3
206	что этот	1	3
207	направлено на	1	3
208	отсюда и	1	3
209	в различных	1	3
210	в ухо	1	3
211	художественном творчестве	2	3
212	знает только	1	3
213	как такового	3	3
214	она в	1	3
215	какие мы	1	3
216	в таком	1	3
217	именно как	2	3
218	могли бы	2	3
219	мы можем	1	3
220	очень часто	1	3
221	себя на	1	3
222	или меньшей	1	3
223	меньшей степени	2	3
224	как таковой	2	3
225	почти не	1	3
226	дан в	1	3
227	и делает	1	3
228	сводится к	2	3
229	в кавычки	1	3
230	все они	2	3
231	оно является	1	3
232	еще один	1	3
233	со своими	1	3
234	именно к	1	3
235	этом случае	1	3
236	данном случае	1	3
237	того как	1	3
238	не для	1	3
239	на одно	1	3
240	ее в	1	3
241	художественного задания	2	3
242	у нас	3	3
243	этого не	1	3
244	у толстого	1	3
245	или даже	1	3
246	но конечно	2	3
247	а его	2	3
248	человека и	1	3
249	признать что	1	3
250	же в	1	3
251	и эта	1	3
252	быть по	1	2
253	тех кто	1	2
254	одно из	1	2
255	не столько	2	2
256	до крайности	1	2
257	его на	1	2
258	случайно и	1	2
259	установку на	2	2
260	определяется не	1	2
261	быть не	1	2
262	только как	1	2
263	и свое	1	2
264	но даже	2	2
265	в этот	1	2
266	что еще	1	2
267	быть в	1	2
268	к этому	1	2
269	отказаться от	1	2
270	к убийству	1	2
271	этого и	1	2
272	сводить к	1	2
273	толстого и	1	2
274	с одной	1	2
275	так он	1	2
276	начала и	1	2
277	в качестве	1	2
278	и единого	1	2
279	принципа в	1	2
280	же как	1	2
281	представляется нам	2	2
282	и быть	1	2
283	и является	2	2
284	что для	1	2
285	художественного произведения	2	2
286	отнюдь не	1	2
287	независимо от	1	2
288	не случайно	2	2
289	на слово	1	2
290	к сожалению	3	2
291	и материал	1	2
292	тогда когда	1	2
293	это уже	2	2
294	слова у	1	2
295	он вводит	1	2
296	их и	2	2
297	произведения в	1	2
298	в россии	4	2
299	что такой	1	2
300	в значительной	1	2
301	было и	1	2
302	речи в	1	2
303	своими собственными	1	2
304	наконец он	2	2
305	заключенных в	1	2
306	произведения как	1	2
307	этот процесс	1	2
308	слова а	1	2
309	в г	1	2
310	материал для	2	2
311	является предметом	1	2
312	значимость и	1	2
313	не все	2	2
314	не следует	3	2
315	к которой	1	2
316	художником и	1	2
317	же самое	2	2
318	и вне	1	2
319	данного произведения	1	2
320	идет не	1	2
321	надо было	2	2
322	или точнее	3	2
323	мировоззрением и	1	1
324	для всех	2	1
325	еще раз	1	1
326	никогда и	1	1
327	что-то и	1	1
328	учителя и	1	1
329	или иных	2	1
330	формы в	3	1
331	строго говоря	1	1
332	в некоторых	2	1
333	отсюда как	1	1
334	сам автор	1	1
335	нас в	2	1
336	случае он	1	1
337	у пушкина	1	1
338	приема и	1	1
339	из самых	1	1
340	но по	1	1
341	форму и	2	1
342	отсюда тот	1	1
343	находит себе	1	1
344	что по	1	1
345	в точном	1	1
346	живого человека	1	1
347	только для	1	1
348	принцип построения	1	1
349	художественное произведение	5	1
350	на первый	2	1
351	обращение к	1	1
352	слово является	1	1
353	нам представляется	2	1
354	первый взгляд	1	1
355	художественного восприятия	1	1
356	ухо ивану	1	1
357	восприятия и	1	1
358	не существует	1	1
359	ее к	1	1
360	но нам	1	1
361	как принцип	2	1
362	авторской индивидуальности	1	1
363	она все	1	1
364	говорить не	1	1
365	искусства и	1	1
366	точно и	1	1
367	концов не	1	1
368	основного принципа	1	1
369	и отчетливо	1	1
370	не принцип	1	1
371	мы полагаем	1	1
372	у стерна	1	1
373	так то	1	1
374	в противном	2	1
375	материалов и	1	1
376	в пользу	1	1
377	принцип единства	1	1
378	образом на	1	1
379	жанра в	1	1
380	искусства не	1	1
381	может обойтись	1	1
382	этом плане	1	1
383	отношении очень	1	1
384	стилистический прием	1	1
385	один пример	1	1
386	и всей	1	1
387	он выдвигает	2	1
388	него уже	1	1
389	быть тем	1	1
390	этой же	1	1
391	художественной формы	2	1
392	по мнению	1	1
393	своей совокупности	1	1
394	как элемент	1	1
395	и через	2	1
396	подходят к	1	1
397	как таковым	1	1
398	мировоззрения и	1	1
399	только к	3	1
400	бы только	1	1
401	действительно слишком	1	1
