N	2gram	Bakhtin_Pr	UchenyiS
1	и в	64	14
2	не только	26	10
3	а не	29	10
4	и не	55	8
5	прежде всего	16	8
6	то что	21	7
7	вот почему	1	7
8	в этом	33	7
9	не может	26	7
10	может быть	43	6
11	в искусстве	1	6
12	перестает быть	4	5
13	хотя бы	4	5
14	то же	18	5
15	художественного творчества	5	5
16	в художественном	6	5
17	и только	3	5
18	все это	9	5
19	стилистических приемов	1	5
20	с другой	7	4
21	в этой	5	4
22	в россии	2	4
23	конечно не	4	4
24	что такое	2	4
25	но и	26	4
26	в их	6	4
27	к сожалению	2	3
28	бы то	3	3
29	было бы	8	3
30	не о	3	3
31	только к	1	3
32	или точнее	1	3
33	для этого	3	3
34	это не	12	3
35	как и	25	3
36	то ни	3	3
37	для него	23	3
38	формы в	1	3
39	в своей	11	3
40	все же	11	3
41	ни было	4	3
42	в области	1	3
43	в частности	1	3
44	в то	15	3
45	не как	20	3
46	у нас	3	3
47	другой стороны	6	3
48	не следует	1	3
49	но в	14	3
50	же время	13	3
51	литературы и	1	2
52	все они	2	2
53	художественной формы	1	2
54	таким образом	15	2
55	в самом	17	2
56	если не	1	2
57	же не	4	2
58	не приходится	1	2
59	ее нельзя	1	2
60	должна была	4	2
61	в противном	1	2
62	могли бы	2	2
63	его и	3	2
64	если бы	12	2
65	самом деле	10	2
66	могут быть	9	2
67	является в	2	2
68	не в	15	2
69	это было	1	2
70	бы и	6	2
71	и с	9	2
72	до сих	9	2
73	их и	2	2
74	же самое	1	2
75	художественном творчестве	3	2
76	одним из	7	2
77	крайней мере	2	2
78	как таковой	2	2
79	но не	12	2
80	по существу	6	2
81	форму и	1	2
82	мы и	2	2
83	тем что	6	2
84	как принцип	1	2
85	в себе	11	2
86	в его	30	2
87	прием и	1	2
88	в конце	8	2
89	он выдвигает	1	2
90	приходится признать	1	2
91	должна быть	8	2
92	мы не	4	2
93	для поэзии	1	2
94	именно как	2	2
95	ничего не	8	2
96	всех этих	2	2
97	между тем	7	2
98	что она	7	2
99	не есть	4	2
100	художественного произведения	2	2
101	что он	15	2
102	конце концов	7	2
103	дело конечно	1	2
104	этом отношении	3	2
105	противном случае	1	2
106	о чем	1	2
107	произведение а	1	2
108	художественном произведении	1	2
109	как раз	9	2
110	а его	2	2
111	тех или	1	2
112	наконец он	2	2
113	не могут	10	2
114	а как	11	2
115	что мы	1	2
116	в том	12	2
117	представляется нам	2	2
118	само художественное	1	2
119	том что	8	2
120	или иных	1	2
121	художественного задания	3	2
122	художественных произведений	1	2
123	но это	6	2
124	этом смысле	12	2
125	но даже	1	2
126	а о	1	2
127	и для	7	2
128	и является	2	2
129	что и	7	2
130	к области	1	2
131	в сторону	2	2
132	не столько	1	2
133	установку на	2	2
134	меньшей степени	2	2
135	к голому	1	2
136	а между	2	2
137	смысле этого	1	2
138	с его	11	2
139	и у	3	2
140	превращается в	5	2
141	на первый	1	2
142	сих пор	9	2
143	по крайней	2	2
144	только в	13	2
145	по себе	16	2
