N	2gram	Bakhtin_Pr	Problemy
1	и в	64	209
2	то есть	3	184
3	и не	55	154
4	как бы	33	112
5	может быть	43	92
6	в нем	28	90
7	в его	30	89
8	в этом	33	88
9	у достоевского	29	84
10	не может	26	75
11	точки зрения	31	64
12	как и	25	64
13	и т.п	1	63
14	а не	29	61
15	не только	26	60
16	но и	26	60
17	из подполья	12	57
18	что он	15	56
19	и на	16	55
20	прежде всего	16	55
21	и его	21	54
22	чужое слово	43	49
23	то что	21	48
24	в том	12	47
25	то же	18	45
26	и все	6	44
27	все это	9	44
28	в сущности	10	43
29	но в	14	42
30	для него	23	42
31	и с	9	40
32	таким образом	15	40
33	в самом	17	39
34	в то	15	39
35	потому что	8	39
36	с точки	21	39
37	как мы	13	39
38	не в	15	38
39	достоевского в	15	38
40	вовсе не	12	38
41	никогда не	11	37
42	о себе	19	37
43	жизни и	3	36
44	только в	13	35
45	он не	14	35
46	в пределах	24	34
47	и к	5	33
48	в одном	20	33
49	по отношению	12	33
50	к нему	11	33
51	еще не	10	33
52	к себе	6	33
53	же время	13	33
54	отношению к	12	33
55	так и	8	32
56	себе самому	6	32
57	с самим	3	29
58	во всех	4	29
59	в каждом	15	29
60	том что	8	29
61	с его	11	29
62	так как	9	29
63	все эти	13	29
64	чужого слова	23	29
65	но не	12	29
66	в себе	11	28
67	слова и	8	28
68	это не	12	28
69	в своей	11	27
70	полифонического романа	7	27
71	что в	11	27
72	к другому	6	27
73	по себе	16	27
74	рядом с	19	26
75	героя и	14	26
76	самом деле	10	26
77	как в	7	26
78	что я	7	26
79	перед нами	12	26
80	о нем	15	26
81	с ним	8	26
82	сказать что	4	25
83	не как	20	25
84	достоевского и	9	25
85	в романах	8	25
86	в жизни	5	24
87	так же	8	24
88	так сказать	9	24
89	отношение к	4	24
90	слова в	12	24
91	творчества достоевского	9	23
92	романах достоевского	6	23
93	достоевского как	11	22
94	уже не	15	22
95	как раз	9	22
96	у него	11	22
97	в мире	7	22
98	его творчества	5	22
99	и других	1	22
100	было бы	8	22
101	там где	12	22
102	в романе	12	22
103	но это	6	22
104	я не	6	22
105	в той	5	21
106	все же	11	21
107	конечно не	4	21
108	он сам	5	21
109	мы уже	4	21
110	за пределы	7	21
111	диалогические отношения	1	21
112	а в	10	21
113	до конца	10	21
114	ничего не	8	21
115	есть в	2	21
116	достоевского не	15	21
117	из них	3	20
118	в конце	8	20
119	большинстве случаев	10	20
120	этом смысле	12	20
121	творчестве достоевского	7	20
122	самим собою	3	20
123	слово о	11	20
124	себя самого	3	20
125	что и	7	20
126	внутреннего диалога	1	20
127	в большинстве	11	20
128	и для	7	20
129	и другие	1	19
130	в котором	7	19
131	в своем	12	19
132	с другими	8	19
133	между ними	6	19
134	сих пор	9	19
135	себе самом	12	19
136	до сих	9	19
137	друг друга	4	19
138	и др	7	19
139	он и	8	19
140	если бы	12	19
141	на самом	5	19
142	в ней	2	19
143	не знает	6	19
144	человека из	4	19
145	и наконец	7	19
146	произведений достоевского	8	18
147	и даже	5	18
148	художественного видения	8	18
149	в человеке	6	18
150	одним из	7	18
151	и у	3	18
152	в форме	8	18
153	героя в	7	18
154	в творчестве	6	18
155	ивана карамазова	5	18
156	уже в	5	18
157	и потому	7	18
158	более того	8	18
159	при этом	8	17
160	и сам	6	17
161	и слово	4	17
162	можно сказать	2	17
163	самого начала	2	17
164	в этих	5	17
165	для достоевского	8	17
166	себя и	5	17
167	героев достоевского	4	17
168	той же	8	17
169	в самой	9	17
170	голосов в	6	17
171	том числе	1	17
172	здесь в	2	17
173	в одной	8	17
174	произведениях достоевского	9	17
175	второй голос	3	16
176	даже в	6	16
177	но все	6	16
178	например в	5	16
179	их в	8	16
180	на него	6	16
181	хотя и	5	16
182	и это	8	16
183	мире достоевского	9	16
184	дело идет	6	16
185	сознания и	8	16
186	романа достоевского	13	16
187	человека и	2	16
188	в другом	3	16
189	последнее слово	8	16
190	в целом	8	16
191	и как	9	15
192	его в	8	15
193	о мире	7	15
194	тем что	6	15
195	и до	6	15
196	о том	5	15
197	с самого	1	15
198	что же	9	15
199	одна из	5	15
200	достоевского но	9	15
201	точка зрения	13	15
202	бы в	7	15
203	чужим словом	14	15
204	мы можем	1	15
205	конечно и	3	15
206	и ее	5	15
207	и их	3	15
208	в отношении	5	15
209	ни в	5	15
210	третьего типа	15	15
211	полифонический роман	6	15
212	в литературе	4	15
213	слово в	10	15
214	на его	2	15
215	человека в	8	15
216	лишь в	4	15
217	числе и	1	15
218	романов достоевского	8	15
219	зрения на	8	14
220	в них	5	14
221	по замыслу	2	14
222	хотя бы	4	14
223	ни одного	3	14
224	друг с	4	14
225	и он	5	14
226	в себя	6	14
227	себе и	5	14
228	видения и	11	14
229	и что	5	14
230	а как	11	14
231	роман достоевского	12	14
232	да и	2	14
233	слово героя	10	14
234	это и	5	14
235	идеи в	10	14
236	романе достоевского	9	14
237	в их	6	14
238	с другим	1	14
239	с другом	3	14
240	она не	10	14
241	как он	3	14
242	в плане	6	14
243	как будто	4	14
244	а я	1	14
245	от него	1	13
246	кроме того	5	13
247	в духе	4	13
248	во всяком	7	13
249	на чужое	12	13
250	входит в	9	13
251	о достоевском	7	13
252	для себя	3	13
253	другого человека	7	13
254	к чужому	8	13
255	говорит он	6	13
256	не было	5	13
257	но он	4	13
258	между тем	7	13
259	одного сознания	9	13
260	со всеми	2	13
261	с собою	4	13
262	у меня	6	13
263	по существу	6	13
264	и идеи	2	13
265	достоевский в	10	13
266	самого героя	8	13
267	достоевского с	4	13
268	с их	7	13
269	или в	7	13
270	в основе	4	13
271	в двойнике	2	13
272	мы должны	3	13
273	один из	3	13
274	пределах одного	6	12
275	отношении к	5	12
276	в результате	7	12
277	именно в	5	12
278	к самому	2	12
279	человек из	4	12
280	с другой	7	12
281	что все	2	12
282	к этому	1	12
283	что у	2	12
284	должно быть	8	12
285	все время	3	12
286	что не	3	12
287	мир достоевского	13	12
288	точек зрения	7	12
289	кажется что	4	12
290	с ее	1	12
291	нам кажется	7	12
292	в процессе	6	12
293	двух голосов	4	12
294	самого достоевского	7	12
295	далеко не	7	12
296	и так	2	12
297	в слове	3	12
298	сознание и	6	12
299	его целом	6	12
300	и во	3	12
301	этого слова	3	12
302	здесь не	7	12
303	рассказа в	1	12
304	мы не	4	12
305	все равно	2	12
306	к одному	7	12
307	нового времени	3	12
308	конце концов	7	12
309	во всем	1	11
310	же и	5	11
311	еще более	2	11
312	на мир	6	11
313	в речах	2	11
314	авторское слово	10	11
315	раз и	6	11
316	превращается в	5	11
317	авторского слова	10	11
318	слово с	5	11
319	нет и	1	11
320	слово не	8	11
321	все в	3	11
322	что они	1	11
323	несмотря на	7	11
324	в ее	2	11
325	это слово	6	11
326	себя как	3	11
327	не могут	10	11
328	так что	6	11
329	если б	2	11
330	достоевского мы	4	11
331	могут быть	9	11
332	и от	3	11
333	и по	1	11
334	чужому слову	11	11
335	все его	3	11
336	и одновременно	3	11
337	самим собой	1	11
338	мы остановимся	3	11
339	художественной прозы	1	11
340	в диалоге	3	11
341	сливается с	6	11
342	но именно	3	11
343	слово и	9	11
344	герой достоевского	10	11
345	сочетается с	5	11
346	авторской позиции	1	11
347	он как	1	11
348	своему предмету	4	11
349	бы и	6	11
350	с ними	2	11
351	мира и	7	11
352	в условиях	2	11
353	особенно в	2	11
354	тот же	2	11
355	как не	9	11
356	романа в	4	11
357	и здесь	6	10
358	другой стороны	6	10
359	в своих	4	10
360	не менее	3	10
361	к своему	2	10
362	к тому	4	10
363	во все	2	10
364	поэтики достоевского	1	10
365	но они	2	10
366	от себя	1	10
367	себя в	3	10
368	в которой	2	10
369	не о	3	10
370	и следовательно	7	10
371	той или	1	10
372	но как	4	10
373	вместе с	1	10
374	свой предмет	8	10
375	можно было	3	10
376	с чужим	8	10
377	в этой	5	10
378	я сам	1	10
379	своего рода	1	10
380	что это	2	10
381	в единстве	9	10
382	уже говорили	3	10
383	в монологическом	7	10
384	приводит к	8	10
385	и вот	1	10
386	наконец в	4	10
387	так чтобы	7	10
388	в произведении	7	10
389	в кругозор	6	10
390	из его	3	10
391	всяком случае	4	10
392	в произведениях	6	10
393	точку зрения	7	10
394	достоевский был	3	10
395	но на	3	10
396	они не	5	10
397	этом отношении	3	10
398	того что	3	10
399	достоевский не	5	10
400	это очень	2	10
401	по своему	1	10
402	в области	1	10
403	слова с	7	10
404	от автора	6	10
405	в него	6	10
406	знает и	1	10
407	или иной	1	10
408	мы и	2	9
409	его самосознания	8	9
410	мысли и	6	9
411	авантюрный сюжет	8	9
412	в виду	3	9
413	с этим	3	9
414	здесь конечно	3	9
415	мы увидим	6	9
416	только на	3	9
417	достоевского это	3	9
418	чужой голос	2	9
419	одной из	1	9
420	во всей	3	9
421	для понимания	4	9
422	замыслу достоевского	2	9
423	творчество достоевского	5	9
424	но ведь	3	9
425	из одного	8	9
426	нет ни	2	9
427	в рассказе	2	9
428	если же	7	9
429	этот вопрос	4	9
430	его как	5	9
431	его к	4	9
432	в единство	9	9
433	его с	1	9
434	романа и	3	9
435	тон и	4	9
436	на этом	2	9
437	нашего тезиса	6	9
438	не на	7	9
439	все то	5	9
440	героев и	4	9
441	зависимости от	5	9
442	образа героя	2	9
443	его и	3	9
444	автора и	7	9
445	по сравнению	1	9
446	значение для	3	9
447	он есть	6	9
448	в отличие	4	9
449	он в	3	9
450	его художественного	6	9
451	ну так	4	9
452	как к	3	9
453	как у	1	9
454	одной плоскости	7	9
455	но с	4	9
456	менее всего	7	9
457	сама по	5	9
458	словом и	3	9
459	жизнь и	1	9
460	как слово	5	9
461	это было	1	9
462	отличие от	4	9
463	в начале	1	9
464	лишь как	9	9
465	или как	8	9
466	и о	7	9
467	бы он	4	9
468	ведь и	4	9
