N	3gram	Vygotskiy_	Poddanst
1	в том что	20	4
2	сами по себе	3	3
3	с точки зрения	11	3
4	с одной стороны	6	3
5	и если бы	1	2
6	и как раз	1	2
7	заключается в том	10	2
8	заключает в себе	1	2
9	мы все же	1	1
10	и т д	6	1
11	там где он	1	1
12	что дело идет	1	1
13	не было бы	2	1
14	что именно на	1	1
15	друг с другом	2	1
16	она не только	1	1
17	совершенно ясно что	10	1
18	есть не более	1	1
19	и в частности	1	1
20	за то что	1	1
21	вместе с тем	3	1
22	и тем самым	1	1
23	в применении к	1	1
24	мы отнюдь не	1	1
25	если бы мы	1	1
26	мы знаем что	2	1
27	не может быть	3	1
28	а никак не	1	1
29	мы видим в	2	1
30	том что в	1	1
31	к первой половине	2	1
32	между тем при	1	1
33	в ней и	1	1
34	в отличие от	1	1
35	по сравнению с	1	1
36	тех пор пока	2	1
37	с тем чтобы	1	1
38	и то что	3	1
39	и есть в	1	1
40	что в этом	2	1
41	в этом противоположении	1	1
42	есть как бы	1	1
43	не более как	1	1
44	том виде какой	1	1
45	но в этом	1	1
46	между тем в	2	1
47	нет ничего более	1	1
48	если бы ее	1	1
49	во всяком случае	6	1
50	для того чтобы	17	1
51	что то же	1	1
52	одна из важнейших	1	1
53	как таковые как	1	1
54	с другой стороны	5	1
55	тем и другим	1	1
56	все это в	1	1
57	и не может	1	1
58	не в том	2	1
59	в том виде	2	1
60	да и не	1	1
61	ее место в	1	1
62	в самом точном	1	1
63	более или менее	1	1
64	так же как	2	1
65	не только как	1	1
66	до тех пор	2	1
67	или хотя бы	1	1
68	начала и конца	1	1
69	и мы должны	1	1
70	и в этом	6	1
