N	2gram	Propp_Isto	Retstnzi
1	не может	8	4
2	и в	43	3
3	в центре	1	2
4	один из	7	2
5	в особенности	3	1
6	несмотря на	1	1
7	может быть	22	1
8	не только	28	1
9	точки зрения	3	1
10	с точки	1	1
11	становится особенно	1	1
12	в ней	3	1
13	тех же	2	1
14	связи с	9	1
15	не из	1	1
16	поставить в	1	1
17	понимания этого	1	1
18	на месте	2	1
19	с другими	1	1
20	его от	3	1
21	если бы	7	1
22	исходя из	2	1
23	в его	7	1
24	и тому	1	1
25	не менее	6	1
26	тому подобных	1	1
27	именно с	1	1
28	и социальной	1	1
29	и заставляет	1	1
30	в языке	1	1
31	но и	24	1
32	мы видим	15	1
33	к тому	9	1
34	во второй	2	1
35	тому что	1	1
36	и можно	1	1
37	вопрос что	1	1
38	в то	2	1
39	из этих	5	1
40	он в	3	1
41	ни один	2	1
42	то же	11	1
43	а не	13	1
44	бы в	1	1
45	нет и	1	1
46	и должно	1	1
47	в системе	1	1
48	и не	16	1
49	на нее	4	1
50	и все	4	1
51	и на	7	1
52	себя от	1	1
