N	2gram	Voloshinov	Sovremen
1	не может	30	17
2	может быть	28	12
3	точки зрения	31	12
4	таким образом	34	11
5	мы не	9	9
6	органической жизни	1	9
7	в каждом	1	8
8	в этом	28	7
9	и в	28	7
10	не можем	6	7
11	мы можем	20	6
12	в результате	3	6
13	только одна	2	6
14	как и	13	6
15	ничего не	5	6
16	и не	34	6
17	с точки	15	5
18	организма с	1	5
19	в стадии	1	5
20	прежде всего	26	5
21	что же	10	5
22	все эти	15	5
23	в условиях	3	5
24	и наконец	12	5
25	в дальнейшем	2	4
26	а в	8	4
27	так как	15	4
28	вопрос о	2	4
29	это не	5	4
30	не только	10	4
31	мы должны	9	4
32	в развитии	4	4
33	с помощью	20	4
34	как бы	19	4
35	нет и	4	4
36	если мы	7	4
37	в зависимости	4	4
38	их в	3	4
39	жизни и	7	4
40	вместе с	5	4
41	в целом	4	4
42	же это	1	4
43	в том	10	4
44	зависимости от	4	4
45	из них	7	4
46	точку зрения	12	4
47	мы видели	12	4
48	и к	7	3
49	и потому	12	3
50	видели что	3	3
51	на этой	3	3
52	этим мы	1	3
53	с самого	7	3
54	когда мы	2	3
55	уже в	3	3
56	то же	12	3
57	при этом	8	3
58	поэтому мы	1	3
59	не в	10	3
60	а не	9	3
61	для нас	2	3
62	все это	12	3
63	как он	1	3
64	в одном	3	3
65	у нас	3	3
66	самого начала	5	3
67	в конце	2	3
68	так называемых	1	3
69	в наших	1	3
70	и т.д	1	3
71	было бы	8	3
72	в первом	2	3
73	ли мы	2	3
74	у всех	1	3
75	в этой	7	3
76	он в	2	3
77	и все	13	3
78	его развития	1	3
79	на две	3	3
80	мы называем	3	3
81	в себе	7	3
82	следующим образом	1	3
83	само собою	1	3
84	ясно что	2	3
85	что она	5	3
86	он может	1	3
87	целесообразности и	2	3
88	одна из	4	3
89	все же	8	3
90	при таком	1	3
91	в области	4	3
92	отличается от	2	3
93	между собой	4	3
94	отнюдь не	5	3
95	живого организма	4	3
96	в нем	7	3
97	но мы	6	3
98	но в	13	3
99	дриш не	1	3
100	еще не	8	3
101	с этим	8	2
