N	4gram	Trubetskoy	Formalny
1	в то же время	10	20
2	и не может быть	1	7
3	бы то ни было	1	7
4	во что бы то	3	3
5	мы уже знаем что	1	3
6	и во всяком случае	1	3
7	что бы то ни	3	3
8	в том числе и	1	3
9	и то и другое	1	3
10	бы то ни стало	3	3
11	но в то же	1	3
12	в свою очередь является	1	2
13	для этого прежде всего	1	2
14	и с точки зрения	1	2
15	это значило бы признать	1	1
16	с точки зрения этих	1	1
17	и в этом случае	1	1
18	в какие конкретные формы	1	1
19	и прежде всего в	1	1
20	в том случае если	3	1
21	о котором мы говорили	1	1
22	можно было говорить о	1	1
23	дело в том что	1	1
24	только в том случае	2	1
25	но для этого прежде	1	1
26	в лучшем случае лишь	1	1
27	по самому своему существу	1	1
28	то же время в	1	1
29	только с точки зрения	1	1
30	состоит в том чтобы	1	1
31	котором мы говорили в	1	1
32	одного и того же	1	1
33	лишь в том случае	2	1
34	друг с другом не	1	1
35	в каждый данный момент	1	1
36	с точки зрения этой	2	1
37	этого прежде всего необходимо	1	1
38	о которых идет речь	1	1
39	смысле этого слова но	1	1
