N	2gram	Medvedev_F	Morfolog
1	и т	22	62
2	может быть	30	61
3	т д	11	60
4	и пр	30	45
5	таким образом	28	26
6	т е	50	25
7	могут быть	7	21
8	так как	4	20
9	мы имеем	1	19
10	не может	26	19
11	в этом	39	18
12	в этих	3	17
13	и в	54	17
14	и не	34	16
15	мы видим	1	15
16	перед нами	3	14
17	с этим	6	14
18	прежде всего	34	14
19	по существу	8	13
20	видим что	1	12
21	при помощи	2	12
22	связи с	12	12
23	и др	8	12
24	а не	11	11
25	что в	10	10
26	то же	16	10
27	вопрос о	3	10
28	мы увидим	5	10
29	но если	1	10
30	этом случае	1	10
31	в том	17	10
32	так и	24	10
33	что и	10	10
34	в связи	11	10
35	то что	14	10
36	все же	8	9
37	с другой	8	9
38	но и	18	9
39	не только	14	8
40	в результате	8	8
41	имеем в	1	8
42	иногда в	1	8
43	мы не	6	8
44	в качестве	2	8
45	но не	5	8
46	в тех	1	8
47	а в	11	8
48	как мы	10	8
49	во втором	7	7
50	один из	4	7
51	и здесь	8	7
52	если в	3	7
53	не могут	8	7
54	не менее	12	7
55	том что	3	7
56	потому что	2	7
57	по отношению	4	7
58	наряду с	1	7
59	точки зрения	21	7
60	как это	8	7
61	тем не	2	7
62	и этим	2	7
63	образом мы	1	7
64	или же	4	7
65	а также	1	7
66	отношению к	4	7
67	и другие	3	6
68	о том	1	6
69	как бы	10	6
70	но это	4	6
71	это не	4	6
72	с точки	17	6
73	в образе	1	6
74	в нашем	2	6
75	или в	2	6
76	и как	6	6
77	вовсе не	18	6
78	во всех	9	6
79	если мы	5	6
80	может считаться	1	6
81	также и	1	6
82	в форме	2	6
83	они и	2	5
84	в море	1	5
85	из которых	1	5
86	другой стороны	5	5
87	в первом	8	5
88	вслед за	1	5
89	по их	2	5
90	начинается с	1	5
91	что он	8	5
92	как в	12	5
93	со стороны	7	5
94	то это	1	5
95	хотя бы	10	5
96	было бы	10	5
97	к тому	6	5
98	ничего не	5	5
99	что они	4	5
100	не будем	1	5
101	хотя и	3	5
102	прежде чем	2	5
103	тому что	3	5
104	учение о	4	5
105	ясно что	3	5
106	все эти	12	5
107	одна из	2	5
108	между собой	1	5
109	на его	2	5
110	в других	5	5
111	там где	3	5
112	сюда же	1	5
113	между тем	4	5
114	он не	8	5
115	если же	4	5
116	далеко не	2	5
117	главным образом	5	5
118	в целом	7	5
119	и ее	15	5
120	и к	7	4
121	смысле слова	1	4
122	в некоторых	2	4
123	есть и	1	4
124	на этом	2	4
125	нами в	1	4
126	как и	18	4
127	самом деле	12	4
128	но все	4	4
129	ни одна	2	4
130	тем что	6	4
131	никто не	2	4
132	уже не	9	4
133	еще не	6	4
134	не является	3	4
135	а если	1	4
136	тех же	2	4
137	задачи в	1	4
138	входит в	8	4
139	того чтобы	4	4
140	говорить о	4	4
141	так же	5	4
142	сказать что	3	4
143	следующим образом	1	4
144	на него	3	4
145	на котором	2	4
146	и для	5	4
147	из них	5	4
148	но в	9	4
149	несмотря на	2	4
150	на самом	8	4
151	не хватает	1	4
152	его в	5	4
153	что его	1	4
154	с теми	2	4
155	встречается в	1	4
156	к этому	3	4
157	в то	14	4
158	мы уже	1	4
159	в руки	1	4
160	можно было	1	4
161	этот вопрос	2	4
162	от того	2	4
163	могла бы	3	4
164	о его	1	4
165	этой школы	1	4
166	значит что	1	4
167	независимо от	5	4
168	пр он	1	3
169	всего это	1	3
170	собственном смысле	1	3
171	та же	3	3
172	в последнем	2	3
173	мы приходим	1	3
174	только что	1	3
175	с этой	4	3
176	что это	1	3
177	это уже	1	3
178	в сущности	3	3
179	ни в	3	3
180	связывается с	1	3
181	с собой	1	3
182	только в	6	3
183	если это	1	3
184	или на	2	3
185	можно назвать	1	3
186	в собственном	1	3
187	возникает вопрос	1	3
188	на первый	1	3
189	не существует	1	3
190	и что	2	3
191	для того	3	3
192	но эти	1	3
193	и тогда	1	3
194	не оказывает	1	3
195	или не	1	3
196	вне связи	1	3
197	целый ряд	4	3
198	состоит в	3	3
199	настоящее время	11	3
200	так например	3	3
201	здесь не	5	3
202	с его	12	3
203	в отдельных	1	3
204	кроме того	3	3
205	для этой	2	3
206	в настоящее	11	3
207	что при	1	3
208	он должен	4	3
209	к нему	3	3
210	бы то	4	3
211	то в	3	3
212	не происходит	2	3
213	они не	7	3
214	и функции	3	3
215	сам он	2	3
216	или с	1	3
217	того что	7	3
218	что такое	2	3
219	ее в	3	3
220	но как	2	3
221	у нас	6	3
222	это и	7	3
223	и есть	1	3
224	в ином	2	3
225	в виде	2	3
226	а на	2	3
227	как же	1	3
228	как таковое	3	3
229	но для	4	3
230	здесь же	1	3
231	в какой	3	3
232	приходим к	2	3
233	большинстве случаев	5	3
234	даже не	2	3
