N	4gram	Potebnia_M	Narrotol
1	в то же время	3	8
2	дело в том что	3	3
3	той мере в какой	1	2
4	а в том как	1	2
5	в той мере в	1	2
6	одного и того же	6	2
7	еще и потому что	1	2
8	точно так же как	1	2
9	с этой точки зрения	1	1
10	в том смысле что	2	1
11	может быть не только	1	1
12	нам более или менее	1	1
13	не что иное как	2	1
14	в том как он	1	1
15	не для того чтобы	1	1
16	с одной стороны и	2	1
17	в том смысле как	1	1
18	не только потому что	1	1
19	тогда как на самом	1	1
20	в свою очередь не	1	1
21	том виде в каком	1	1
22	бы то ни было	1	1
23	в то время как	1	1
24	один и тот же	1	1
25	в том что именно	1	1
26	то а не другое	1	1
27	по мере того как	6	1
28	на том как именно	1	1
29	в том что он	1	1
30	в том случае если	1	1
31	не вытекает непосредственно из	1	1
32	так а не иначе	2	1
33	мы тем не менее	1	1
34	в том виде в	1	1
35	не в том что	3	1
36	как на самом деле	1	1
