N	2gram	Bakhtin_KF	RusskieA
1	и в	28	79
2	в том	6	64
3	том что	4	59
4	что в	4	57
5	не только	5	41
6	так как	1	34
7	в этом	15	33
8	как бы	9	31
9	но и	9	31
10	как и	5	28
11	и на	3	28
12	может быть	45	28
13	в этот	1	26
14	одна из	1	24
15	о том	3	23
16	при этом	4	22
17	это не	10	20
18	а в	5	20
19	как мы	1	20
20	все это	10	18
21	с тем	2	17
22	то что	7	17
23	вместе с	1	17
24	об этом	1	17
25	потому что	2	17
26	мы не	3	16
27	один из	2	15
28	и с	1	14
29	не менее	3	14
30	тем не	2	14
31	как это	1	14
32	и не	28	14
33	для нас	4	14
34	уже не	7	13
35	к этому	2	13
36	и по	1	13
37	как в	2	13
38	еще не	5	13
39	не может	29	13
40	тем что	3	12
41	между собой	1	12
42	мы имеем	5	12
43	в виде	2	12
44	а затем	1	11
45	не имеет	6	11
46	но это	6	11
47	все же	5	10
48	его в	5	10
49	между тем	4	10
50	что и	7	10
51	так и	2	10
52	или в	1	10
53	и других	2	10
54	то же	5	9
55	с ней	1	9
56	и все	9	9
57	том же	1	9
58	но в	5	9
59	но не	12	9
60	одно из	1	8
61	в этих	1	8
62	во всех	11	8
63	что это	4	8
64	их в	1	8
65	того чтобы	2	8
66	того что	3	8
67	ее в	1	8
68	в данном	2	8
69	для того	3	8
70	же в	1	8
71	в это	2	7
72	настоящее время	1	7
73	в своем	17	7
74	к нему	12	7
75	не в	13	7
76	а с	2	7
77	было бы	8	7
78	главным образом	1	7
79	только в	18	7
80	с этого	2	7
81	а не	17	7
82	до конца	3	7
83	в настоящее	1	7
84	ничего не	3	7
85	не можем	1	7
86	и как	2	7
87	мы должны	1	7
88	для этого	2	7
89	с собой	1	6
90	к тому	1	6
91	что этот	3	6
92	и другой	1	6
93	только на	1	6
94	в одном	5	6
95	что она	1	6
96	в качестве	2	6
97	чем в	1	6
98	в разные	1	6
99	тому что	2	6
100	на этом	1	6
101	в этой	2	6
102	в нем	32	6
103	должен был	1	6
104	с ними	4	6
105	приводит к	1	6
106	друг друга	1	6
107	и пр	3	6
108	не будем	1	6
109	или с	1	6
110	в их	9	6
111	все эти	11	6
112	игра в	1	6
113	она не	2	6
114	и их	6	6
115	и о	1	6
116	и к	1	5
117	только для	1	5
118	с этим	1	5
119	вопрос о	2	5
120	входит в	4	5
121	связь между	1	5
122	к ним	4	5
123	по поводу	1	5
124	с целью	1	5
125	не было	8	5
126	мы уже	1	5
127	и др	1	5
128	там где	5	5
129	в то	3	5
130	прежде всего	4	5
131	его с	2	5
132	тогда когда	3	5
133	с ним	5	5
134	к таким	1	5
135	что он	2	5
136	ничего общего	2	5
137	в свою	3	5
138	к себе	2	5
139	и для	10	5
140	тот же	3	5
141	в его	42	5
142	на самом	3	5
143	за этим	1	5
144	и потому	2	5
145	отнюдь не	7	5
146	не с	1	5
147	этих случаях	1	5
148	в целом	10	5
149	во всем	7	4
150	только тогда	1	4
151	этого момента	1	4
152	их не	1	4
153	в своих	4	4
154	но все	6	4
155	именно в	5	4
156	во всяком	1	4
157	в котором	24	4
158	но эти	1	4
159	во всей	4	4
160	от них	1	4
161	не просто	1	4
162	и из	1	4
163	она в	1	4
164	несмотря на	1	4
165	но он	1	4
166	а за	1	4
167	не был	1	4
168	нет но	1	4
169	здесь мы	4	4
170	но есть	2	4
171	могут быть	3	4
172	и от	1	4
173	и здесь	7	4
174	та же	3	4
175	в основе	5	4
176	где есть	1	4
177	на основе	7	4
178	и до	1	4
179	связанных с	1	4
180	и под	2	4
181	этого слова	2	4
182	всяком случае	1	4
183	его и	2	4
184	такой же	1	4
185	по своему	3	4
186	а к	1	4
187	в ней	3	4
188	дело не	2	4
189	по всей	1	4
190	к ней	1	4
191	и ее	2	4
192	все что	1	3
193	можно говорить	1	3
194	же и	1	3
195	в какой	1	3
196	в виду	3	3
197	связь с	1	3
198	имеет место	1	3
199	а именно	1	3
