N	3gram	Bakhtin_fo	Otkroven
1	для того чтобы	11	3
2	в нем нет	2	3
3	не могут быть	1	2
4	с тем что	2	2
5	в этом мире	7	2
6	и в самой	1	2
7	никогда не было	1	2
8	не может быть	4	2
9	человека в его	3	2
10	но и в	5	2
11	и в этом	2	2
12	в самом начале	1	1
13	подчеркнуть еще одну	1	1
14	в самой жизни	1	1
15	необходимо подчеркнуть еще	1	1
16	достоевского преступление и	1	1
17	он ни был	2	1
18	о том что	2	1
19	в том что	4	1
20	друг с другом	5	1
21	в нем все	2	1
22	преступление и наказание	1	1
23	нем нет ничего	1	1
24	бы он ни	2	1
25	как и в	3	1
26	то что в	1	1
27	и все же	1	1
28	в самом деле	1	1
29	его характер и	1	1
30	а вовсе не	1	1
31	смысле этого слова	1	1
32	в которой нет	1	1
33	во всяком случае	1	1
34	в противоречии с	1	1
35	не имеет ни	1	1
36	эпоху возрождения но	1	1
37	и в самом	1	1
38	бросается в глаза	1	1
39	в другом месте	2	1
40	него всегда есть	1	1
41	ни с чем	2	1
42	о том как	2	1
43	в эпоху возрождения	3	1
44	и прежде всего	4	1
45	в этом отношении	5	1
46	а в частности	1	1
47	месте и в	1	1
48	между этими двумя	3	1
49	все это было	1	1
50	есть одно из	1	1
51	по сравнению с	3	1
52	в строгом смысле	2	1
53	кто бы он	1	1
54	этом мире это	1	1
55	по природе своей	2	1
56	и его судьбу	1	1
57	в этих романах	2	1
58	и его судьбе	1	1
59	том что в	1	1
60	прежде всего в	3	1
61	этого мира в	1	1
62	и в том	1	1
63	не было и	2	1
64	человек а не	1	1
65	каждом из них	2	1
66	противоречии с его	1	1
67	находится в противоречии	1	1
68	друг к другу	2	1
69	судьбы человека в	1	1
70	но к этому	1	1
