N	3gram	Trubetskoy	Problemy
1	то же время	2	26
2	в то же	2	26
3	с точки зрения	8	25
4	по отношению к	11	18
5	на самом деле	7	15
6	не может быть	4	14
7	в конце концов	4	11
8	до сих пор	15	10
9	в самом деле	5	9
10	с другой стороны	4	9
11	с самого начала	1	9
12	во всяком случае	2	9
13	в том что	16	8
14	и не может	1	8
15	друг с другом	9	8
16	бы то ни	3	7
17	мы уже говорили	1	7
18	между тем как	1	6
19	то ни было	3	6
20	как и все	2	6
21	том что он	2	6
22	в зависимости от	1	5
23	к тому же	5	5
24	в высшей степени	2	5
25	по крайней мере	1	5
26	но все же	2	5
27	и в нем	1	5
28	можно было бы	1	5
29	он не может	2	4
30	тем не менее	4	4
31	друг на друга	2	4
32	именно потому что	2	4
33	а между тем	8	4
34	более или менее	8	4
35	смысле этого слова	1	4
36	как мы сказали	1	4
37	о том что	4	4
38	как и в	2	4
39	хотя и не	1	4
40	уже говорили что	1	4
41	может быть и	4	4
42	друг к другу	2	4
43	и в целом	1	3
44	все то что	1	3
45	никак не может	1	3
46	а может быть	1	3
47	и то же	1	3
48	и все это	1	3
49	но при этом	1	3
50	в настоящее время	3	3
51	каждый из них	1	3
52	в данном случае	3	3
53	не только не	1	3
54	в том и	2	3
55	на то что	7	3
56	как мы знаем	1	3
57	что он сам	1	3
58	все же не	3	3
59	как мы видели	1	3
60	одно и то	1	3
61	и это не	1	3
62	в этом случае	4	3
63	в то время	2	3
64	то время как	1	3
65	время от времени	2	2
66	рано или поздно	2	2
67	для этого необходимо	1	2
68	как бы ни	1	2
69	и в другом	1	2
70	в том же	3	2
71	для того чтобы	7	2
72	в свою очередь	2	2
73	а затем и	1	2
74	дело в том	1	2
75	у него в	1	2
76	друг от друга	6	2
77	вместе с тем	3	2
78	в один из	1	2
79	между этими двумя	2	2
80	целом ряде других	1	2
81	в том или	1	2
82	в нем не	1	2
83	а не в	1	2
84	то же самое	1	2
85	к тому что	1	2
86	только то что	2	2
87	том и в	1	2
88	таким образом все	1	2
89	этой точки зрения	1	2
90	что же касается	2	2
91	в целом ряде	3	2
92	а следовательно и	2	2
93	и что все	1	2
94	я не могу	1	2
95	таким образом и	1	2
96	в лучшем случае	1	2
97	таким образом как	1	2
98	еще далеко не	1	2
99	и в том	2	2
100	а так как	1	2
101	в этом последнем	1	2
102	в себе и	1	2
