N	3gram	Trubetskoy	VrazhdaK
1	и все же	1	5
2	то же время	2	4
3	в то же	2	4
4	в связи с	3	3
5	в том что	3	2
6	не может быть	1	2
7	но в то	1	2
8	с точки зрения	6	2
9	и даже некоторые	1	1
10	но при этом	1	1
11	в котором он	1	1
12	в этот период	1	1
13	в свою очередь	1	1
14	а между тем	1	1
15	на первое место	1	1
16	в то время	1	1
17	в конце концов	3	1
18	речь идет о	1	1
19	целым рядом деталей	1	1
20	он как бы	1	1
21	о том как	1	1
22	точно так же	3	1
23	так же как	3	1
24	на то что	2	1
25	и в то	1	1
26	в соответствии с	1	1
27	не только от	1	1
28	по крайней мере	5	1
29	и никогда не	1	1
30	что в этой	1	1
31	а с другой	5	1
32	не только не	1	1
33	о том что	4	1
34	но и от	1	1
35	но и как	1	1
36	до сих пор	5	1
37	мы знаем о	1	1
38	на этот раз	1	1
39	или по крайней	1	1
40	с тех пор	2	1
41	во всяком случае	6	1
42	а следовательно и	1	1
43	тем не менее	3	1
44	как бы в	1	1
45	с другой стороны	1	1
46	а с точки	1	1
47	у него в	1	1
48	это и есть	1	1
49	за тем чтобы	1	1
50	не только как	1	1
51	был похож на	1	1
52	отличается не только	1	1
53	в этом отношении	2	1
54	и что он	1	1
55	и в этом	2	1
56	может быть и	2	1
