N	2gram	Bakhtin_Fr	EvropaiE
1	и в	68	37
2	в отношении	3	32
3	в пределах	1	25
4	точки зрения	8	23
5	что в	14	21
6	не только	21	18
7	с точки	4	17
8	в то	14	16
9	то же	14	15
10	хотя бы	2	15
11	в качестве	2	14
12	и не	25	14
13	но и	17	14
14	же время	13	14
15	в своем	11	14
16	но в	20	14
17	в этом	28	12
18	в том	12	11
19	в их	6	11
20	в области	5	11
21	с и	1	10
22	так и	8	10
23	в себе	5	9
24	прежде всего	23	9
25	только в	9	9
26	в смысле	1	9
27	все более	1	9
28	так же	3	9
29	не может	5	9
30	отнюдь не	1	9
31	с одной	5	8
32	в ее	5	8
33	в своей	11	8
34	одной стороны	4	8
35	между тем	3	8
36	было бы	4	8
37	думать что	2	8
38	так как	7	7
39	того что	3	7
40	а также	6	7
41	как и	17	7
42	между прочим	1	7
43	по своему	3	7
44	также и	6	7
45	с другой	8	7
46	то есть	31	6
47	и даже	7	6
48	и на	16	6
49	том что	6	6
50	вовсе не	18	6
51	во всех	8	6
52	может быть	10	6
53	того чтобы	6	6
54	для того	5	6
55	стороны и	2	6
56	то что	11	6
57	как бы	7	6
58	на то	1	6
59	в той	7	5
60	тем самым	1	5
61	в виде	2	5
62	не в	2	5
63	но не	4	5
64	от этого	2	5
65	со стороны	2	5
66	и потому	6	5
67	в течение	3	5
68	же как	1	5
69	в частности	4	5
70	как мы	18	5
71	одной из	3	5
72	но если	1	5
73	и по	4	5
74	в самом	6	4
75	бы то	1	4
76	то в	2	4
77	мы не	3	4
78	даже в	4	4
79	ни было	1	4
80	для нас	1	4
81	не на	2	4
82	чем в	2	4
83	и притом	1	4
84	само по	1	4
85	именно в	5	4
86	по себе	1	4
87	не имеет	1	4
88	культуры в	3	4
89	той или	2	4
90	в полной	1	4
91	но даже	2	4
92	то ни	1	4
93	как это	1	4
94	несмотря на	1	4
95	в направлении	1	4
96	в ней	6	4
97	сказать что	3	4
98	можно сказать	2	4
99	техники и	1	4
100	во многих	1	4
101	или иной	2	4
102	мира в	2	4
103	культурной жизни	2	4
104	и к	4	3
105	говорит о	2	3
106	применении к	1	3
107	но на	1	3
108	и мы	2	3
109	она в	1	3
110	в применении	1	3
111	из всех	4	3
112	и области	1	3
113	этом отношении	4	3
114	с более	1	3
115	ее в	1	3
116	что и	3	3
117	в результате	1	3
118	себе не	1	3
119	можно было	3	3
120	не более	1	3
121	областей и	1	3
122	дело в	4	3
123	тем что	6	3
124	в таком	2	3
125	в стороне	1	3
126	высшее и	1	3
127	большинстве случаев	3	3
128	как в	4	3
129	жизни в	1	3
130	мира и	4	3
131	и со	2	3
132	в известном	1	3
133	в них	19	3
134	во всяком	2	3
135	бы и	1	3
136	во все	3	3
137	в данном	5	3
138	в свою	3	3
139	не дает	4	3
140	представляет собой	1	3
141	связано с	1	3
142	потому что	3	3
143	и тем	1	3
144	во второй	2	3
145	когда он	1	3
146	и для	6	3
147	уже и	2	3
148	отметить что	2	3
149	в прошлом	2	3
150	известной степени	1	3
151	к ним	1	3
152	как на	3	3
153	с тем	1	3
154	и от	4	3
155	о том	5	3
156	в общем	2	3
157	и прежде	4	3
158	от них	2	3
159	мы видели	6	3
160	там где	6	3
161	и только	1	3
162	всяком случае	2	3
163	того же	4	3
164	в культуре	4	3
165	из них	8	3
166	никогда не	2	3
167	всего в	1	2
168	таким образом	22	2
169	и то	2	2
170	в другой	2	2
171	во втором	1	2
172	и во	6	2
173	влияние на	2	2
174	мы видим	9	2
175	и этот	2	2
176	по преимуществу	3	2
177	их из	1	2
178	данном случае	3	2
179	этот процесс	4	2
180	если в	1	2
181	на язык	1	2
182	второй половине	1	2
183	и того	1	2
184	тогда когда	1	2
185	в его	21	2
186	свою очередь	2	2
187	еще более	5	2
188	но также	1	2
189	что это	4	2
190	хотя и	2	2
191	наблюдения над	1	2
192	англии и	1	2
193	с этим	2	2
194	в некоторых	1	2
195	какой бы	2	2
196	его на	2	2
197	и тут	2	2
198	и если	2	2
199	и рядом	1	2
200	например с	1	2
201	для них	1	2
202	с другими	1	2
203	другой стороны	5	2
204	ценность в	1	2
205	участие в	1	2
206	в этих	8	2
207	культуры не	1	2
208	не могут	1	2
209	также в	2	2
210	но с	1	2
211	в своих	7	2
212	как же	1	2
213	если бы	3	2
214	или в	3	2
215	начало в	2	2
216	и с	15	2
217	xviii и	1	2
218	заключается в	1	2
219	и все	16	2
220	более поздние	1	2
221	и эта	1	2
222	на месте	1	2
223	представление о	2	2
224	относятся к	1	2
225	вместе с	4	2
226	долгое время	1	2
227	и как	5	2
228	притом в	1	2
229	есть в	1	2
230	в мире	6	2
231	одном из	2	2
232	для каких	1	2
233	между собой	1	2
234	между ними	4	2
235	сравнению с	2	2
236	бы совершенно	1	2
237	в эту	7	2
238	в других	4	2
239	а именно	1	2
240	на них	3	2
241	что эти	1	2
242	не дают	1	2
243	ко всему	2	2
244	но как	5	2
245	и отчасти	1	2
246	только к	1	2
247	культуру в	1	2
248	и других	7	2
249	и более	2	2
250	в котором	3	2
251	же к	2	2
252	эти последние	1	2
253	и что	2	2
254	в значительной	3	2
255	имеет в	2	2
256	на основе	3	2
257	по сравнению	2	2
258	своему характеру	1	2
259	он не	11	2
260	в развитии	2	2
261	и существенно	1	2
262	а не	6	2
263	и та	1	2
264	в одном	7	2
265	даже при	1	2
