N	2gram	Potebnia_M	Narrotol
1	не только	32	62
2	и не	28	50
3	при этом	6	47
4	но и	30	45
5	а не	22	38
6	может быть	46	30
7	и в	48	30
8	в том	47	29
9	в этом	19	28
10	тогда как	8	28
11	своего рода	1	28
12	том что	28	28
13	а в	14	27
14	только в	29	25
15	состоит в	1	25
16	в данном	3	24
17	как и	22	24
18	не в	24	23
19	то что	37	23
20	то есть	53	22
21	не может	18	20
22	в себе	26	17
23	данном случае	3	17
24	так и	17	17
25	а также	1	17
26	со стороны	4	16
27	в его	6	16
28	к тому	9	15
29	можно сказать	4	15
30	и т.п	1	15
31	но в	8	15
32	в жизни	1	14
33	и его	4	14
34	то же	35	13
35	в своей	2	13
36	уже не	11	13
37	о том	7	13
38	в своем	6	13
39	у него	3	13
40	времени и	2	13
41	все же	3	12
42	сводится к	1	12
43	как в	17	12
44	перед нами	3	12
45	как бы	10	12
46	прежде всего	6	12
47	по отношению	12	11
48	об этом	4	11
49	хотя и	3	11
50	в мире	3	11
51	если бы	20	11
52	и тем	8	11
53	в этой	3	11
54	в нем	16	11
55	жизни в	1	11
56	отличие от	2	11
57	тем самым	11	11
58	отношению к	10	11
59	один из	7	10
60	никогда не	2	10
61	тому же	1	10
62	точки зрения	4	10
63	между тем	19	10
64	как это	1	10
65	в то	16	10
66	и все	5	10
67	не является	1	10
68	жизни и	3	10
69	с его	1	10
70	ничего не	1	10
71	того что	24	10
72	но не	8	10
73	и т.д	1	10
74	тем не	7	9
75	я в	1	9
76	столь же	8	9
77	что в	30	9
78	с ним	10	9
79	что он	8	9
80	еще не	9	9
81	потому что	82	9
82	во времени	2	9
83	для него	14	9
84	далеко не	5	9
85	в той	2	8
86	и к	5	8
87	в самом	11	8
88	в таком	6	8
89	не менее	9	8
90	большей части	2	8
91	не мог	1	8
92	он не	4	8
93	и он	1	8
94	самом деле	5	8
95	того чтобы	5	8
96	внимание на	2	8
97	же время	8	8
98	этом отношении	2	8
99	у нас	2	8
100	но при	1	8
101	в речи	4	7
102	при всей	2	7
