N	2gram	Losev_Vesc	Dialekti
1	не есть	79	181
2	т е	79	159
3	и не	57	120
4	это –	38	95
5	и т	37	82
6	по себе	22	79
7	а не	34	78
8	и в	44	77
9	т д	36	75
10	точки зрения	10	72
11	может быть	37	71
12	не только	48	66
13	значит что	32	61
14	то что	47	59
15	и есть	40	55
16	это значит	30	54
17	ничего не	12	54
18	не может	44	53
19	и даже	12	47
20	с точки	6	46
21	что это	18	46
22	есть нечто	12	46
23	так как	17	46
24	потому что	25	45
25	не просто	23	44
26	стало быть	3	44
27	как бы	19	43
28	и что	22	42
29	ни в	11	42
30	не имеет	2	41
31	вовсе не	11	41
32	в том	15	40
33	в этом	17	39
34	то же	12	39
35	что такое	20	39
36	что она	23	38
37	это есть	8	38
38	в себе	23	38
39	что он	7	37
40	том что	13	37
41	прежде всего	17	37
42	так что	9	36
43	это не	9	36
44	– в	13	35
45	она есть	12	35
46	и –	16	35
47	что в	11	34
48	в нем	6	34
49	– не	11	33
50	и все	6	33
51	того что	16	33
52	миф есть	1	32
53	но и	19	32
54	ясно что	10	31
55	он –	1	31
56	все это	7	31
57	сказать что	21	30
58	отнюдь не	8	30
59	и как	12	30
60	было бы	24	29
61	так и	4	29
62	как и	15	28
63	никогда не	5	27
64	в виду	2	26
65	крайней мере	10	26
66	не в	14	26
67	– это	4	26
68	по крайней	10	26
69	сама по	7	26
70	есть и	13	26
71	говорить о	9	25
72	учение о	2	25
73	и то	14	25
74	и пр	10	25
75	есть только	18	25
76	есть не	17	25
77	есть ни	12	24
78	мифологии и	1	24
79	но это	14	24
80	если бы	8	24
81	есть всегда	5	24
82	таким образом	16	23
83	в то	11	23
84	это и	12	23
85	что оно	10	23
86	и вот	4	23
87	но что	9	22
88	или от	1	22
89	я не	7	22
90	но –	5	22
91	что не	11	21
92	в чем	10	21
93	личности и	1	21
94	должна быть	8	21
95	допустим что	3	21
96	она не	9	21
97	и с	11	20
98	о том	11	20
99	что и	11	20
100	что все	2	20
101	в таком	1	20
102	только в	23	20
103	– как	8	20
104	в каком	6	20
105	совершенно не	11	20
106	только тогда	4	20
107	уже не	15	20
108	как раз	16	20
109	и вообще	6	20
110	в самом	13	19
111	не менее	11	19
112	не существует	4	19
113	в своем	9	19
114	как же	6	19
115	и притом	4	19
116	и это	17	19
117	как это	4	19
118	тогда когда	5	19
119	что мы	17	19
120	и его	4	19
121	же время	4	18
122	хотя бы	9	18
123	не что	12	18
124	с другой	8	18
125	что иное	12	18
126	ни на	7	18
127	что же	17	18
128	жизни и	6	18
129	иное как	12	18
130	в особенности	3	17
131	можно сказать	8	17
132	в сущности	7	17
133	той или	3	17
134	должно быть	8	17
135	в основе	4	17
136	он есть	2	17
137	но если	12	17
138	кроме того	5	16
139	то это	5	16
140	одно и	6	16
141	к нему	3	16
142	только не	5	16
143	есть просто	6	16
144	тем не	11	16
145	или не	7	16
146	она –	6	16
147	сам по	4	16
148	само по	4	16
149	в своей	6	16
150	да и	5	16
151	нет ничего	2	16
152	конечно не	2	16
153	утверждаю что	4	16
154	мы не	8	16
155	об этом	5	16
156	другими словами	9	16
157	же и	2	15
158	только что	2	15
159	ровно ничего	1	15
160	– тогда	1	15
161	все же	18	15
162	так же	4	15
163	– и	2	15
164	то в	4	15
165	и мы	5	15
166	несмотря на	6	15
167	мы уже	3	15
168	но только	4	15
169	как таковой	1	15
170	не мешает	4	15
171	самом деле	7	15
172	хотя и	5	15
173	сознания и	2	15
174	в виде	3	15
175	личности в	1	15
176	также и	9	15
177	быть и	5	15
178	и о	4	15
179	на то	9	15
180	или нет	1	14
181	а именно	1	14
182	есть то	12	14
183	даже и	5	14
184	с ним	8	14
185	– все	2	14
186	что тут	7	14
187	не было	4	14
188	д и	11	14
189	и ее	19	14
190	я уже	2	14
191	ни с	8	14
192	жизнь и	2	14
193	и потому	8	14
194	и только	11	14
195	же это	5	14
196	и к	1	13
197	говорит о	3	13
198	я утверждаю	4	13
199	другой стороны	3	13
200	отличается от	8	13
201	что именно	4	13
202	не то	4	13
203	что они	12	13
204	время как	4	13
205	и следовательно	20	13
206	в смысле	22	13
207	он не	4	13
208	и та	2	13
209	в силу	4	13
210	с ее	10	13
211	ни о	3	13
212	но в	8	13
213	мы находим	5	13
214	не могу	1	13
215	в ней	14	13
216	субъекта и	1	13
217	вы не	1	13
218	собственно говоря	5	13
