N	4gram	Losev_Dial	Tvorches
1	в то же время	3	24
2	и в то же	2	6
3	но в то же	1	6
4	в том что в	1	3
5	заключается в том что	1	2
6	это не значит что	1	2
7	не могут быть без	1	1
8	на самом же деле	1	1
9	не что иное как	6	1
10	если он хочет быть	1	1
11	в том смысле что	1	1
12	но дело не в	1	1
13	одна и та же	3	1
14	потому что в них	1	1
15	ни в чем не	1	1
16	не может быть ни	1	1
17	что такое время? время	1	1
18	и т д и	8	1
19	т д и т	7	1
20	мы имеем в виду	1	1
21	как же может быть	1	1
22	и т д в	2	1
23	бы то ни было	1	1
24	же может быть иначе	1	1
25	которые сами по себе	1	1
26	и тем не менее	2	1
27	что с точки зрения	2	1
28	и т д все	1	1
29	так же как и	1	1
30	не о том что	1	1
31	возникает вопрос о том	1	1
32	не содержит в себе	1	1
33	д и т д	7	1
