N	4gram	Potebnia_M	Marksizm
1	в то же время	8	15
2	бы то ни было	1	12
3	одного и того же	2	9
4	и не может быть	1	5
5	в том что он	2	4
6	с одной стороны и	1	3
7	все более и более	1	3
8	одной и той же	4	3
9	один и тот же	2	3
10	одно и то же	7	3
11	одним и тем же	4	3
12	и в том что	2	2
13	именно в том что	1	2
14	и то же слово	2	2
15	до тех пор пока	2	2
16	одна и та же	2	2
17	нет и не может	1	2
18	сводится к тому что	1	2
19	и в таком случае	1	1
20	себе не может быть	1	1
21	но тем не менее	4	1
22	в их отношении к	1	1
23	друг с другом и	1	1
24	не что иное как	1	1
25	и в этом случае	1	1
26	с точки зрения той	1	1
27	что же касается до	1	1
28	сам по себе а	1	1
29	иначе и быть не	1	1
30	как мы уже сказали	1	1
31	строгом смысле этого слова	1	1
32	несколько слов об отношении	1	1
33	не сам по себе	1	1
34	вместе с тем и	3	1
35	дело в том что	1	1
36	в большей или меньшей	1	1
37	не то что в	1	1
38	второй половины xix века	1	1
39	не говоря уже о	1	1
40	по отношению к ним	1	1
41	тем не менее в	1	1
42	себе отчет в том	1	1
43	а может быть и	1	1
44	а вместе с тем	1	1
45	тем не менее совершенно	1	1
46	как бы он ни	1	1
47	по мере приближения к	1	1
48	отчет в том что	1	1
49	и сама по себе	1	1
50	не будет никаких оснований	1	1
51	в самом деле в	1	1
52	в слове и в	1	1
53	в строгом смысле этого	1	1
54	по отношению к нему	1	1
55	только в слове и	1	1
56	которое рано или поздно	1	1
57	и та и другая	2	1
58	смысле этого слова и	1	1
59	то же самое делает	1	1
60	в том что это	1	1
61	и в свою очередь	1	1
