N	2gram	Nazirov_Tv	VerxiiNi
1	и в	40	26
2	таким образом	14	22
3	с тем	1	18
4	в этом	11	15
5	вместе с	4	15
6	как бы	26	12
7	в том	13	11
8	не только	16	10
9	и с	9	10
10	может быть	11	10
11	из этих	1	10
12	что в	17	9
13	так как	6	9
14	связи с	2	9
15	но и	10	9
16	в области	1	9
17	и у	3	8
18	и не	12	8
19	как на	1	8
20	главным образом	1	8
21	с другой	4	8
22	но не	7	8
23	с одной	2	7
24	но все	1	7
25	в эпоху	1	7
26	связанные с	1	7
27	том что	14	7
28	потому что	10	7
29	одной стороны	1	7
30	а с	4	7
31	то что	9	7
32	но в	11	7
33	из них	4	7
34	к нему	1	7
35	так и	5	6
36	в конце	5	6
37	все это	14	6
38	что и	3	6
39	в отношении	1	6
40	представление о	9	6
41	все эти	3	6
42	все же	9	6
43	к тому	2	6
44	о том	9	6
45	во всяком	2	6
46	и потому	4	6
47	всяком случае	2	6
48	мы должны	1	6
49	в себе	3	6
50	того же	2	6
51	и к	1	5
52	до сих	1	5
53	том числе	1	5
54	в его	19	5
55	к жизни	4	5
56	тому же	2	5
57	в мире	8	5
58	не имеет	2	5
59	сих пор	1	5
60	по крайней	4	5
61	так же	6	5
62	лишь в	1	5
63	отношение к	1	5
64	одной из	7	5
65	образом в	1	5
66	а не	9	5
67	крайней мере	4	5
68	никогда не	13	5
69	в самом	6	4
70	что оно	2	4
71	то есть	16	4
72	и по	5	4
73	то же	19	4
74	только в	7	4
75	в этих	2	4
76	должен был	2	4
77	с другими	1	4
78	целый ряд	1	4
79	учение о	1	4
80	что он	11	4
81	в которых	3	4
82	к своим	1	4
83	в смысле	1	4
84	русской жизни	5	4
85	в котором	8	4
86	в течение	1	4
87	и тогда	2	4
88	он не	10	4
89	и что	2	4
90	далеко не	3	4
91	а в	10	4
92	в этой	7	4
93	числе и	1	4
94	бога и	3	4
95	и от	8	4
96	не может	9	4
97	что все	4	4
98	на этот	3	4
99	в виде	4	4
100	в то	23	4
101	и только	2	4
102	в нем	4	4
103	во время	2	4
104	к сожалению	1	3
105	и другие	4	3
106	на западе	1	3
107	с этой	4	3
108	при этом	14	3
109	для него	9	3
110	из всех	5	3
111	что это	1	3
112	тем не	2	3
113	и если	3	3
114	в качестве	2	3
115	русского народа	1	3
116	европейской культуры	1	3
117	в результате	1	3
118	к достижению	2	3
119	и даже	8	3
120	если бы	4	3
121	в которой	5	3
122	с ней	1	3
123	с самого	3	3
124	в таком	4	3
125	в связи	2	3
126	ясно что	1	3
127	и как	5	3
128	как о	1	3
129	же как	3	3
130	но по	1	3
131	если в	3	3
132	не менее	8	3
133	путь к	1	3
134	в других	1	3
135	а так	1	3
136	можно сказать	2	3
137	друг за	1	3
138	но с	1	3
139	богом в	1	3
140	за собой	4	3
141	хотя бы	5	3
142	представляет собой	4	3
143	так что	4	3
144	когда он	4	3
145	точно так	3	3
146	в одном	3	3
147	большей частью	1	3
148	и те	1	3
149	не вполне	1	3
150	всегда и	1	3
151	в рамках	1	3
152	к ним	1	3
153	и о	2	3
154	культуры и	2	3
155	отношению к	3	3
156	в своем	4	3
157	уже не	6	3
158	к этому	4	3
159	конце концов	1	3
160	к богу	1	3
161	того что	3	3
162	бы то	1	2
163	связан с	4	2
164	влечет за	2	2
165	для всех	1	2
166	этой задачи	1	2
167	один из	5	2
168	и здесь	2	2
169	и на	12	2
170	смотреть на	1	2
171	только что	2	2
172	свидетельствует о	2	2
173	и люди	1	2
174	уже в	5	2
175	мы имеем	1	2
176	христианских подвижников	1	2
177	ни было	1	2
178	добра и	3	2
179	в пользу	2	2
180	только не	1	2
181	всем и	1	2
182	от людей	2	2
183	прежде всего	10	2
184	из своих	1	2
185	требует от	1	2
186	одно из	1	2
187	как от	1	2
188	в русском	1	2
189	не могут	2	2
190	когда же	2	2
191	со всеми	3	2
192	в них	1	2
193	связь с	3	2
194	не было	3	2
195	к его	1	2
196	значительной части	1	2
197	не в	3	2
198	образом если	1	2
199	спасение души	1	2
200	в виду	3	2
201	в россии	5	2
202	одним из	6	2
203	мысль о	3	2
204	именно в	6	2
205	и действительно	1	2
206	особенно к	1	2
207	героев и	4	2
208	в процессе	3	2
209	очень много	1	2
210	в среде	1	2
211	положение в	1	2
212	к которым	1	2
213	виде в	1	2
214	и перед	1	2
215	выход из	1	2
216	одновременно и	2	2
217	в одно	2	2
218	но когда	2	2
219	при таком	1	2
220	по своему	1	2
221	приводит к	4	2
222	на все	1	2
223	только для	2	2
224	отличается от	1	2
225	говорили о	2	2
226	о котором	2	2
227	в русских	1	2
228	связанный с	1	2
229	ничего общего	1	2
230	в эту	1	2
231	так например	3	2
232	особенно в	3	2
233	связано с	1	2
234	после его	1	2
235	еще не	5	2
236	во всех	2	2
237	и мир	3	2
238	перестает быть	1	2
239	начиная с	2	2
240	ко всему	1	2
241	некоторые из	2	2
242	больше чем	2	2
243	людей и	2	2
244	ли это	2	2
245	если не	4	2
246	так называемой	1	2
247	но при	1	2
248	его не	1	2
249	наконец в	1	2
250	надо было	2	2
251	на друга	1	2
252	то ни	1	2
253	между тем	2	2
254	в свою	8	2
255	больше не	5	2
256	из себя	2	2
257	должна была	1	2
258	связана с	2	2
259	и является	1	2
260	заключает в	1	2
261	вслед за	2	2
262	и это	2	2
263	ее с	1	2
264	в начале	2	2
265	этот факт	2	2
266	превращается в	2	2
267	же время	18	2
268	подвижников и	1	2
269	самого начала	3	2
270	признать что	1	2
271	или иное	1	2
272	еще на	1	2
273	этот период	1	2
274	друг на	1	2
275	же самое	1	2
276	среди них	1	2
277	человек должен	1	2
278	он в	1	2
279	общего с	1	2
280	сказать что	3	2
281	когда человек	2	2
282	был всегда	2	2
283	в образе	4	2
284	к которому	3	2
285	в глазах	2	2
286	или иной	1	2
287	те и	1	2
288	не должны	1	2
289	от бога	1	2
290	жизни и	3	2
291	но если	4	2
292	волю к	1	2
293	на то	1	2
294	из этого	1	2
295	с его	12	2
296	время он	2	2
297	в создании	2	2
298	от них	1	2
299	и все	6	2
300	его смерти	1	2
301	для этого	1	2
302	для эпохи	1	2
303	и из	1	2
304	то или	1	2
305	в самой	1	2
306	и особенно	1	2
307	тот же	3	2
308	и наконец	3	2
309	той или	1	2
310	вплоть до	2	2
311	с того	1	2
312	в другое	1	2
313	мы видели	1	2
314	не к	2	2
315	его можно	1	2
316	из этой	3	2
317	грань между	1	2
318	можно только	1	2
319	души и	2	1
320	бытия к	1	1
321	на поверхность	1	1
322	мире и	1	1
323	то в	2	1
324	против этого	2	1
325	это неверно	1	1
326	первую очередь	1	1
327	не так	5	1
328	человек может	2	1
329	а потому	1	1
330	в среду	1	1
331	мы видим	3	1
332	в душе	4	1
333	идет к	1	1
334	и всякий	2	1
335	что с	2	1
336	можно говорить	1	1
337	и этот	1	1
338	та же	4	1
339	в прямом	2	1
340	значение в	2	1
341	этого в	1	1
342	тоже не	2	1
343	свою очередь	2	1
344	жизнь это	1	1
345	к их	1	1
346	указывает на	2	1
347	и зла	2	1
348	может не	2	1
349	этой области	1	1
350	данном случае	2	1
351	народ не	1	1
352	что такое	1	1
353	в момент	5	1
354	известно что	4	1
355	как средство	1	1
356	должно быть	1	1
357	зависит от	4	1
358	как к	2	1
359	большей силой	1	1
360	теперь же	1	1
361	очиститься от	1	1
362	его с	1	1
363	некоторое представление	1	1
364	для себя	1	1
365	он выступает	1	1
366	выступают как	1	1
367	это не	9	1
368	он как	1	1
369	мы знаем	2	1
370	что сама	1	1
371	высшее существо	1	1
372	и далее	4	1
373	то у	3	1
374	а и	1	1
375	заставляет человека	1	1
376	ничего кроме	1	1
377	представляют собой	2	1
378	это зло	1	1
379	с ним	4	1
380	однако этот	4	1
381	это уже	7	1
382	на этих	2	1
383	кроме того	1	1
384	о чем	1	1
385	которые играют	1	1
386	в сущности	1	1
387	в ее	3	1
388	как раз	2	1
389	что так	1	1
390	под знаком	1	1
391	но тем	1	1
392	человек есть	1	1
393	ясным что	1	1
394	считают что	1	1
395	угрызения совести	1	1
396	он решительно	1	1
397	чем у	2	1
398	от этой	1	1
399	что человек	3	1
400	и выйти	1	1
401	и за	1	1
402	и через	4	1
403	него в	2	1
404	в честь	2	1
405	сама жизнь	2	1
406	своим личным	1	1
407	к сознанию	1	1
408	у нас	2	1
409	никуда не	2	1
410	это и	4	1
411	ни в	2	1
412	и делает	1	1
413	народ в	1	1
414	же что	1	1
415	себе не	3	1
416	другой стороны	2	1
417	и развитие	1	1
418	это есть	1	1
419	как нечто	1	1
420	не является	3	1
421	по мере	2	1
422	участие в	1	1
423	для творчества	1	1
424	с собой	1	1
425	весь мир	1	1
426	таком случае	2	1
427	у него	11	1
428	за это	1	1
429	в их	5	1
430	в данном	2	1
431	лежит в	1	1
432	только еще	1	1
433	его в	2	1
434	только он	1	1
435	отцов и	1	1
436	чем в	1	1
437	их не	1	1
438	отделилась от	1	1
