N	4gram	Losev_Prob	Dialekti
1	не что иное как	3	18
2	в то же время	1	14
3	в то время как	4	8
4	или по крайней мере	1	8
5	не говоря уже о	2	7
6	в коем случае не	1	6
7	ни в каком смысле	1	6
8	ни в коем случае	3	6
9	по крайней мере в	3	6
10	то это значит что	1	5
11	имеет ничего общего с	1	5
12	это значит что мы	1	5
13	не имеет ничего общего	2	5
14	и тем не менее	1	5
15	с этой точки зрения	2	4
16	это не значит что	1	4
17	в связи с этим	1	4
18	и то и другое	1	4
19	по одному тому что	1	4
20	в том смысле что	1	4
21	и в этом смысле	1	4
22	уже по одному тому	1	3
23	несмотря на то что	1	3
24	в каком смысле не	1	3
25	но в то же	2	3
26	но о том что	1	2
27	во что бы то	1	2
28	что бы то ни	1	2
29	говоря уже о том	1	2
30	дело в том что	4	2
31	ни в чем не	2	2
32	несмотря на всю ее	1	2
33	уже о том что	1	2
34	тем не менее в	2	2
35	не зная что такое	1	2
36	бы то ни стало	1	2
37	если принять во внимание	1	2
38	но тем не менее	1	1
39	на всех этих примерах	1	1
40	общего не имеет с	1	1
41	мы как раз и	1	1
42	здесь нет никакой возможности	1	1
43	и до сих пор	1	1
44	вопрос о том как	1	1
45	в том смысле как	1	1
46	в жизни и в	1	1
47	а с другой стороны	3	1
48	кого бы то ни	1	1
49	уж во всяком случае	2	1
50	оно во всяком случае	1	1
51	в конце концов не	1	1
52	все более и более	1	1
53	интереснее всего то что	2	1
54	на очень высокой ноте	1	1
55	что на самом деле	1	1
56	в том что в	1	1
57	различить и противопоставить все	1	1
58	и как будто бы	1	1
59	также и учение о	1	1
60	и вместе с тем	2	1
61	мифа в то время	1	1
62	заключается не в том	1	1
63	познания добра и зла	1	1
64	в такой же мере	1	1
65	мы должны сказать что	1	1
66	случае не есть ни	1	1
67	бы то ни было	2	1
68	и у меня в	1	1
69	при помощи того или	1	1
70	помощи того или иного	1	1
71	несмотря ни на какие	1	1
72	это не имеет ничего	2	1
73	ничего общего не имеет	1	1
74	не потому что они	1	1
75	только и состоит из	1	1
76	но в конце концов	1	1
77	что в данном случае	1	1
78	но даже и просто	1	1
79	сам по себе а	2	1
80	здесь в связи с	1	1
81	и о том что	2	1
82	не выдерживает никакой критики	1	1
83	а мы как раз	1	1
84	по крайней мере три	1	1
85	только в том чтобы	1	1
86	в какой мере не	3	1
87	с точки зрения истории	1	1
88	но так или иначе	1	1
89	то время как в	1	1
90	только они и являются	1	1
91	не чем иным как	3	1
92	уже по одному этому	1	1
93	это нисколько не мешает	1	1
94	в том что он	2	1
95	имеется в виду не	1	1
96	и с точки зрения	1	1
97	и уж тем более	1	1
98	ни в какой мере	3	1
