N	3gram	Tiupa_Narr	Vvedenie
1	в том что	8	15
2	о том что	6	13
3	не может быть	5	10
4	в этом смысле	1	10
5	тем не менее	3	9
6	до сих пор	1	7
7	мере в какой	1	6
8	в той мере	1	6
9	в самом деле	1	6
10	в то же	3	6
11	той мере в	1	6
12	то же время	3	6
13	в том чтобы	1	5
14	не что иное	2	5
15	что иное как	2	5
16	с другой стороны	4	5
17	по отношению к	6	4
18	по крайней мере	1	4
19	с точки зрения	2	4
20	и в особенности	1	4
21	так или иначе	2	4
22	само по себе	1	4
23	можно было бы	2	4
24	не только в	2	4
25	в данном случае	4	4
26	в отличие от	5	4
27	но все же	4	4
28	с одной стороны	7	4
29	в этом отношении	3	4
30	той или иной	4	3
31	в свое время	1	3
32	можно сказать что	4	3
33	дело в том	1	3
34	как мы видели	1	3
35	тех или иных	1	3
36	и то что	1	3
37	есть не что	1	3
38	то же самое	1	3
39	в известном смысле	2	3
40	в свою очередь	3	2
41	но не может	1	2
42	дело не с	1	2
43	обратим внимание на	1	2
44	этой точки зрения	2	2
45	том или ином	2	2
46	до наших дней	1	2
47	с этой точки	1	2
48	как мы уже	1	2
49	состоит в том	3	2
50	то что могло	1	2
51	сам по себе	1	2
52	в первом случае	2	2
53	точно так же	2	2
54	в соответствии с	1	2
55	в том или	2	2
56	что в этом	1	2
57	и того же	1	2
58	и т.д в	1	2
59	подобно тому как	2	2
60	в связи с	2	2
61	одного и того	1	2
62	что несмотря на	1	2
63	а также и	1	2
64	может быть и	1	2
65	в тексте не	1	1
66	бытии но в	1	1
67	собой не что	1	1
68	в той или	2	1
69	в этой системе	1	1
70	как своего рода	1	1
71	поскольку мы имеем	1	1
72	в том же	1	1
73	все то что	1	1
74	и др в	1	1
75	из которых первые	1	1
76	нельзя признать вполне	1	1
77	или иной степени	1	1
78	и до наших	1	1
79	из этих двух	1	1
80	одной из этих	1	1
81	речь идет об	1	1
82	как это было	1	1
83	как будет по	2	1
84	в этом качестве	1	1
85	на самом деле	1	1
86	обнаруживают за собой	1	1
87	то или иное	2	1
88	здесь как и	1	1
89	что не только	1	1
90	исторического бытия и	1	1
91	какой бы то	1	1
92	и не в	4	1
93	в том числе	6	1
94	нами не как	1	1
95	в новейшее время	1	1
96	дело с текстами	1	1
97	более или менее	2	1
98	того или иного	2	1
99	составляет один из	1	1
100	отношению к нему	1	1
101	в таком случае	2	1
102	особое отношение к	1	1
103	может быть только	1	1
104	не только о	2	1
105	одна за другой	1	1
106	но уже в	1	1
107	во всех его	1	1
108	прежде всего к	1	1
109	нередко встречается в	1	1
110	было бы именовать	1	1
111	так же как	2	1
112	только потому что	1	1
113	и прежде всего	1	1
114	том что в	1	1
115	по себе не	1	1
116	которая не могла	1	1
117	в нем не	1	1
118	том что он	1	1
119	на историю и	1	1
120	то ни было	3	1
121	не может не	2	1
122	она может быть	1	1
123	же время в	1	1
124	не могло не	1	1
125	большую или меньшую	1	1
126	только то что	1	1
127	бы то ни	3	1
128	ту или иную	2	1
129	а не только	1	1
130	не то что	2	1
131	в значительной степени	2	1
132	прежде всего в	1	1
133	и чрезвычайно важный	1	1
134	но от этого	1	1
135	в чистом виде	1	1
136	как уже говорилось	1	1
137	имеем дело с	1	1
138	мы имеем дело	2	1
