N	4gram	Propp_Isto	slovoVRo
1	с одной стороны и	1	4
2	в большей или меньшей	1	4
3	в то время как	3	2
4	на самом же деле	1	1
5	это не может быть	1	1
6	все дело в том	1	1
7	в связи с изучением	1	1
8	с большей или меньшей	1	1
9	дело в том что	2	1
10	необходимо иметь в виду	1	1
11	но в отличие от	3	1
12	и т д если	2	1
13	также в значительной степени	1	1
14	в своей книге о	1	1
15	дело не только в	1	1
16	в том что он	1	1
17	в средние века и	1	1
18	бы то ни было	2	1
19	но все же и	1	1
20	все это не может	1	1
21	с одной стороны оно	1	1
22	во всех этих случаях	1	1
23	так же как и	1	1
