N	4gram	Losev_Vlad	FransuaR
1	в то же время	7	55
2	но в то же	2	20
3	с начала и до	2	14
4	начала и до конца	2	14
5	дело в том что	7	13
6	и в то же	3	12
7	как мы уже сказали	2	11
8	на самом же деле	1	10
9	одной и той же	1	4
10	один и тот же	2	4
11	и не может быть	1	4
12	нет и не может	1	3
13	не что иное как	2	3
14	за то что тот	1	3
15	о том что в	1	3
16	есть не что иное	1	3
17	а с другой стороны	1	2
18	но это конечно не	1	2
19	как мы сейчас увидим	1	2
20	в конце концов он	1	2
21	бы то ни было	1	2
22	но дело в том	2	2
23	на другой день после	1	2
24	и в том что	1	2
25	в этом отношении он	1	2
26	как мы видели и	1	2
27	то же время и	1	2
28	в этом смысле оно	1	1
29	в своем учении о	1	1
30	в связи с вопросом	1	1
31	но как раз в	1	1
32	не имеет никакого отношения	1	1
33	нужно прибавить что и	1	1
34	в том что в	2	1
35	в конце года он	1	1
36	о том что он	2	1
37	в то время как	2	1
38	во франции и в	1	1
39	у него были и	1	1
40	он так и не	1	1
41	а за ними и	1	1
42	течение всей своей жизни	2	1
43	в течение всей своей	2	1
44	то же время ясно	1	1
45	одно и то же	1	1
46	в конце концов в	1	1
47	отнеслись к этой книге	1	1
48	и вместе с тем	1	1
49	заключается в том чтобы	1	1
50	не может быть никакой	1	1
51	в это время уже	1	1
52	в июле года он	1	1
53	о том что только	1	1
54	в том чтобы установить	1	1
55	связи с вопросом о	1	1
56	а также и о	1	1
57	о чем у нас	1	1
58	вместе с тем и	1	1
59	то же время весьма	1	1
60	по дошедшим до нас	1	1
61	ни в чем не	1	1
62	он никак не мог	1	1
63	все это конечно не	1	1
64	выдвигает на первый план	1	1
65	в том что он	2	1
66	в конце концов и	1	1
67	в те годы были	1	1
68	но вместе с тем	1	1
69	в конце концов с	1	1
70	и до конца он	1	1
71	в том же году	1	1
72	и то обстоятельство что	2	1
73	не в том что	1	1
74	как было сказано выше	1	1
75	свидетельствуют о том что	2	1
