N	4gram	Voloshinov	DiskursI
1	в то же время	7	8
2	с одной стороны и	1	5
3	дело в том что	1	5
4	одного и того же	9	4
5	не говоря уже о	1	3
6	в том числе и	3	3
7	одно и то же	3	3
8	и не может быть	5	2
9	одной и той же	2	2
10	с той или иной	1	2
11	бы то ни было	11	2
12	одним и тем же	2	2
13	в их отношении к	1	1
14	именно в том что	1	1
15	не что иное как	1	1
16	одни и те же	5	1
17	не только по отношению	1	1
18	из одного и того	2	1
19	и до настоящего времени	3	1
20	именно здесь в области	1	1
21	как мы видели не	1	1
22	отнюдь не сводится к	1	1
23	в той или иной	3	1
24	в большей или меньшей	1	1
25	в одной и той	1	1
26	как и все остальные	1	1
27	может быть сведена к	1	1
28	пролить свет и на	1	1
29	нет и не может	2	1
30	ни к чему не	1	1
31	тем не менее в	1	1
32	к тому или иному	1	1
33	между внутренним и внешним	1	1
34	или во всяком случае	1	1
35	в том что он	3	1
36	только по отношению к	1	1
37	не имеют никакого отношения	1	1
38	то же время они	1	1
39	по крайней мере двух	1	1
