N	4gram	Voloshinov	Stilisti
1	в то же время	1	7
2	одно и то же	2	5
3	в зависимости от того	1	2
4	но в то же	1	2
5	мы никогда не сможем	2	1
6	в ней как бы	1	1
7	в плоть и кровь	1	1
8	из двух частей из	1	1
9	на одно и то	1	1
10	сколько бы мы ни	3	1
11	и по отношению к	3	1
12	второе и третье лицо	1	1
13	ничего не поймем в	1	1
14	и та же социальная	1	1
15	не может быть понято	1	1
16	социальной группы к которой	1	1
17	и не может быть	1	1
18	одна и та же	1	1
19	одному и тому же	1	1
20	одним и тем же	1	1
21	из общей для них	1	1
22	по отношению к слушателю	1	1
23	зрения на одно и	1	1
24	внутренней и внешней речи	1	1
25	той социальной группы к	1	1
