N	2gram	Medvedev_V	Myslijsy
1	потому что	1	182
2	то есть	1	142
3	и в	26	121
4	может быть	23	107
5	в том	15	103
6	то что	7	83
7	в слове	3	78
8	для нас	1	75
9	что в	11	73
10	и не	20	73
11	только в	8	72
12	не только	26	67
13	а не	7	67
14	таким образом	32	64
15	в этом	29	59
16	но и	10	59
17	том что	8	59
18	то же	10	56
19	не в	6	54
20	если бы	3	53
21	в себе	6	53
22	по себе	2	52
23	не может	17	52
24	того что	3	47
25	в сознании	4	46
26	было бы	8	45
27	в нем	7	45
28	как и	7	42
29	вместе с	8	39
30	что и	3	38
31	мы не	1	38
32	как в	1	37
33	так и	6	37
34	тогда когда	2	36
35	что мы	2	36
36	тем что	1	33
37	и что	1	32
38	по отношению	7	30
39	а в	3	30
40	что не	3	29
41	между тем	6	29
42	но не	2	29
43	вовсе не	3	28
44	для него	9	28
45	с этим	3	27
46	могут быть	8	27
47	не было	7	26
48	и т	25	26
49	отношению к	7	26
50	между собою	2	24
51	в то	6	24
52	с тем	4	23
53	как бы	5	23
54	того как	2	23
55	от того	2	23
56	а потому	1	22
57	по мере	1	22
58	то это	2	22
59	с другой	11	22
60	не имеет	1	22
61	только тогда	1	22
62	но в	2	22
63	и потому	2	21
64	не менее	2	21
65	мысль о	2	20
66	в одном	5	20
67	это не	7	20
68	в ней	2	20
69	и как	3	19
70	но это	1	19
71	сказать что	5	19
72	с ним	1	19
73	и то	1	19
74	из этих	7	19
75	о том	10	19
76	заключает в	1	19
77	должно быть	2	19
78	в самом	4	18
79	в таком	1	18
80	для того	3	18
81	по поводу	4	18
82	не могут	10	18
83	очевидно что	7	18
84	бы не	2	18
85	в каком	1	18
86	еще не	2	18
87	точки зрения	3	17
88	крайней мере	2	17
89	со стороны	1	17
90	по крайней	2	17
91	слова и	1	17
92	заметить что	1	17
93	что оно	3	17
94	уже в	1	17
95	в его	15	17
96	во всяком	2	17
97	слова в	1	17
98	только что	4	16
99	к тому	5	16
100	так же	3	16
101	в своем	8	16
102	в которой	2	16
103	а только	1	16
104	в них	5	16
105	если б	1	16
106	что если	1	16
107	и наоборот	1	16
108	на то	2	16
109	в этих	1	15
110	уже не	1	15
111	с одной	2	15
112	с другими	2	15
113	и тем	1	15
114	и по	3	15
115	что он	4	15
116	в свою	1	15
117	т д	16	15
118	прежде всего	13	15
119	тому как	3	15
120	все же	6	14
121	в котором	3	14
122	свою очередь	1	14
123	то в	1	14
124	связи с	5	14
125	так сказать	2	14
126	во всех	7	14
127	должны быть	2	14
128	сам по	1	14
129	в истории	1	14
130	же время	5	14
131	и без	1	14
132	мысли в	1	14
133	например в	3	13
134	а между	1	13
135	как на	3	13
136	из них	11	13
137	что все	4	13
138	т п	9	13
139	есть для	1	13
140	и все	1	13
141	не следует	8	13
142	том смысле	1	13
143	зависит от	2	13
144	образом в	3	13
145	и может	2	13
146	и его	6	13
147	от него	1	12
148	другой стороны	8	12
149	до сих	2	12
150	более или	6	12
151	никогда не	5	12
152	и при	5	12
153	хотя и	2	12
154	и вместе	1	12
155	в чем	2	12
156	сих пор	2	12
157	в каждом	2	12
158	всяком случае	2	12
159	относится к	2	12
160	друг друга	1	12
161	что такое	2	12
162	все это	13	12
163	есть в	1	12
164	или менее	6	12
165	тем более	1	12
166	человека и	3	12
167	как мы	1	12
168	что на	1	12
169	и если	1	11
170	только для	2	11
171	из себя	2	11
172	только на	1	11
173	и это	1	11
174	в состоянии	1	11
175	его в	3	11
176	подобно тому	3	11
177	в силу	14	11
178	мы видели	3	11
179	сами по	1	11
180	того чтобы	3	11
181	к ней	1	11
182	с нею	2	11
183	что для	4	11
184	что например	3	11
185	если не	1	11
186	и их	3	11
187	же в	7	11
188	быть названо	1	10
189	чувственных впечатлений	1	10
190	хотя бы	20	10
191	одной стороны	2	10
192	что мысль	1	10
193	находится в	1	10
194	представить себе	2	10
195	мы видим	1	10
196	и мы	1	10
197	а и	1	10
198	что при	2	10
199	бы в	3	10
200	если же	1	10
201	и от	3	10
202	и есть	5	10
203	бы быть	1	10
204	он не	2	10
205	то время	1	10
206	мы говорим	1	10
207	том как	3	10
208	и для	2	10
209	и понимания	1	10
210	между прочим	2	10
211	тому что	7	10
212	и даже	2	9
213	а вместе	1	9
214	вопрос о	1	9
215	на него	2	9
216	что она	2	9
217	на язык	2	9
218	зрения и	1	9
219	поэзии и	1	9
220	во время	4	9
221	для самого	1	9
222	один из	6	9
223	самом деле	1	9
224	таком случае	1	9
225	мысли а	1	9
226	это было	1	9
227	не все	1	9
228	разница между	1	9
229	и других	1	9
230	далеко не	3	9
231	но вместе	1	9
232	в целом	5	9
233	можно сказать	4	9
234	по тому	1	8
235	которые не	1	8
236	говорить о	2	8
237	не как	1	8
238	но все	1	8
239	вслед за	3	8
240	слова с	1	8
241	именно в	3	8
242	что по	1	8
243	их в	7	8
244	в более	1	8
245	художественное произведение	7	8
246	так например	2	8
247	что даже	2	8
248	что они	3	8
249	только не	2	8
250	мы в	1	8
251	от них	2	8
252	одно и	1	8
253	что есть	1	8
254	судя по	1	8
255	с ними	4	8
256	в которых	3	8
257	между ними	3	8
258	внимание на	2	8
259	остается только	1	8
260	при помощи	3	8
261	и той	1	8
262	в самой	1	8
263	этом случае	1	8
264	на вопрос	2	8
265	говоря о	1	8
266	слова не	2	8
267	или в	3	8
268	по его	2	8
269	самого себя	2	7
270	с этой	1	7
271	но что	1	7
272	на основании	8	7
273	все эти	8	7
274	в жизни	2	7
275	в данном	1	7
276	было в	2	7
277	даже и	3	7
278	не всегда	2	7
279	самого начала	1	7
280	к этому	9	7
281	что у	3	7
282	несмотря на	1	7
283	или не	1	7
284	одном из	4	7
285	на себе	1	7
286	деятельности и	1	7
287	но как	3	7
288	в своих	2	7
289	она не	3	7
290	и та	1	7
291	за пределы	1	7
292	этом смысле	1	7
293	значение и	1	7
294	них не	4	7
295	а как	2	7
296	к сознанию	1	7
297	в памяти	1	7
298	вряд ли	1	7
299	себя и	1	7
300	о котором	1	7
301	бы и	6	7
302	и звука	1	7
303	только один	1	7
304	то все	1	7
305	и во	1	7
306	том же	6	7
307	из него	1	7
308	в таких	1	7
309	сама по	1	7
310	в искусстве	6	7
311	не с	2	7
312	на это	2	7
313	и к	3	6
314	же и	3	6
315	перед собою	1	6
316	образом и	1	6
317	в виду	4	6
318	а именно	1	6
319	в своей	4	6
320	есть то	1	6
321	как оно	1	6
322	себе в	1	6
323	к ним	2	6
324	связанное с	2	6
325	после того	2	6
326	восприятия и	2	6
327	слов в	1	6
328	в ее	4	6
329	у него	6	6
330	но он	1	6
331	что его	2	6
332	могло бы	2	6
333	хотя в	1	6
334	же самое	2	6
335	главным образом	7	6
336	друг другу	1	6
337	показывает что	2	6
338	таких же	1	6
339	вне себя	1	6
340	в последнем	2	6
341	например что	3	6
342	должна быть	2	6
343	никак не	3	6
344	из сказанного	1	6
345	заключается в	2	6
346	да и	2	6
347	ничего общего	1	6
348	явлений и	3	6
349	с а	2	6
350	лишь в	2	6
351	не могло	1	6
352	приводит в	1	6
353	в этой	4	6
354	как например	2	6
355	в образе	2	6
356	художественного произведения	6	6
357	но на	1	6
358	в основании	1	6
359	у нас	3	6
360	представлений и	2	6
361	в их	5	6
362	в виде	1	6
363	что ни	2	6
364	и слова	2	6
365	в стороне	1	6
366	при таком	1	6
367	на его	1	6
368	в каждой	1	6
369	об этом	9	6
370	его не	3	6
371	без слова	1	6
372	как он	3	6
373	понятия и	1	6
374	мы бы	1	6
375	жизни и	3	6
376	в той	1	5
377	были бы	1	5
378	даже в	5	5
379	формы в	1	5
380	например с	1	5
381	не столько	2	5
382	само собою	2	5
383	начнем с	2	5
384	входит в	1	5
385	но даже	3	5
386	конечно не	1	5
387	вообще и	2	5
388	том чтобы	2	5
389	ли она	1	5
390	чувства в	1	5
391	и чувства	1	5
392	уже по	2	5
393	звуков и	1	5
394	время и	1	5
395	из того	1	5
396	что а	1	5
397	а с	1	5
398	одним из	5	5
399	бы при	1	5
400	одна из	4	5
401	собою и	2	5
402	и у	2	5
403	лица и	2	5
404	оно и	1	5
405	можно было	2	5
406	но только	1	5
407	этот вопрос	3	5
408	если это	1	5
409	что может	1	5
410	мысль в	1	5
411	что до	1	5
412	в процессе	17	5
413	если в	2	5
414	представлений в	1	5
415	время как	1	5
416	все то	1	5
417	можно назвать	1	5
418	перед нами	5	5
419	вытекает из	1	5
420	в течение	2	5
421	в единстве	4	5
422	эта мысль	1	5
423	на этот	1	5
424	общего с	1	5
425	эти впечатления	1	5
426	ответ на	1	5
427	они не	2	5
428	мы имеем	3	5
429	нет ничего	1	5
430	виду что	1	5
431	в какой	1	5
432	не подлежит	2	5
433	в области	2	5
434	что эти	1	5
435	не говоря	1	5
436	том случае	1	5
437	человека в	2	5
438	мертвых душ	1	5
439	а к	2	5
440	чувственное восприятие	1	5
441	этого не	1	5
442	предмета в	1	5
443	в начале	1	5
444	как не	1	5
445	как же	1	5
446	не по	2	5
447	отношение к	1	5
448	в представлении	2	5
449	как увидим	1	5
450	не к	1	5
451	вытекают из	1	5
452	или по	1	4
453	еще более	1	4
454	в применении	1	4
455	это определение	1	4
456	что чем	1	4
457	равно как	4	4
458	от всего	1	4
459	его мнению	1	4
460	мы только	1	4
461	сами собою	1	4
462	не имели	1	4
463	при создании	3	4
464	в другом	2	4
465	содержание в	1	4
466	не вполне	2	4
467	в противном	2	4
468	к общему	1	4
469	видели что	3	4
470	все его	2	4
471	не противоречит	1	4
472	проявляется в	1	4
473	положение что	1	4
474	говорит он	1	4
475	в связи	4	4
476	с его	4	4
477	связанная с	1	4
478	и быть	2	4
479	на этом	2	4
