N	4gram	Vinokur_Vv	Freidism
1	в то же время	6	6
2	не может быть и	1	4
3	но во всяком случае	1	3
4	одной и той же	2	3
5	может быть и речи	1	3
6	но в то же	3	3
7	заключается в том что	2	2
8	в зависимости от того	1	2
9	в том что он	1	2
10	и тем не менее	3	2
11	бы то ни было	1	2
12	говорить о том что	1	2
13	он сам об этом	1	1
14	в целом ряде других	1	1
15	и т д таким	1	1
16	приходит к выводу что	1	1
17	как мы уже знаем	2	1
18	это как будто бы	1	1
19	в собственном смысле этого	1	1
20	мы имеем в виду	1	1
21	вообще не может быть	1	1
22	т д таким образом	1	1
23	науки в настоящее время	1	1
24	одно и то же	2	1
25	ответить на этот вопрос	1	1
26	и со стороны содержания	1	1
27	он поставил себе задачей	1	1
28	дело в том что	3	1
29	тем не менее существует	2	1
30	собственном смысле этого слова	1	1
31	то же время служит	1	1
32	в том что в	1	1
33	тем не менее среди	1	1
34	не что иное как	5	1
35	у них не было	1	1
36	во всяком случае не	2	1
37	ответ на этот вопрос	2	1
38	в собственном смысле слова	1	1
39	есть не что иное	3	1
