N	2gram	Potebnia_M	formyVre
1	и в	58	148
2	в этом	18	73
3	то есть	69	70
4	в нем	26	51
5	прежде всего	8	46
6	и т	10	40
7	и не	34	37
8	в его	7	36
9	и его	7	36
10	вовсе не	13	35
11	но и	26	33
12	то же	13	32
13	т п	6	32
14	не только	32	32
15	но в	12	31
16	жизни и	3	31
17	в греческом	1	29
18	так и	17	29
19	может быть	47	27
20	не в	23	26
21	как мы	3	26
22	как и	16	25
23	как бы	12	25
24	человеческой жизни	1	24
25	точки зрения	8	24
26	мы уже	1	24
27	только в	36	23
28	в то	6	23
29	времени и	3	23
30	человека в	3	23
31	в том	38	22
32	то что	24	22
33	связи с	6	21
34	во всех	12	21
35	же время	4	21
36	все эти	3	21
37	в своем	3	19
38	и др	1	19
39	и на	8	19
40	и для	8	19
41	таким образом	21	18
42	у него	3	18
43	и все	6	18
44	еще не	9	18
45	при этом	17	17
46	те же	4	17
47	с этим	11	17
48	в особенности	1	17
49	так как	29	17
50	человека и	2	17
51	все же	11	16
52	в условиях	1	16
53	в связи	2	16
54	того же	13	16
55	и во	6	16
56	и их	6	16
57	не может	30	16
58	в разных	2	15
59	в одном	13	15
60	в них	7	15
61	никогда не	7	15
62	с точки	4	15
63	так сказать	5	15
64	с его	3	15
65	в пространстве	1	15
66	вместе с	12	15
67	лишь в	2	15
68	и как	11	14
69	и с	3	14
70	так же	7	14
71	его жизни	1	14
72	всех этих	2	14
73	а не	38	14
74	все это	3	14
75	в самом	5	13
76	в котором	5	13
77	для того	8	13
78	во время	5	13
79	с ним	7	13
80	как в	18	13
81	роль в	1	13
82	в их	3	13
83	того чтобы	4	13
84	а в	11	13
85	же в	7	13
86	и до	1	12
87	конечно не	1	12
88	не было	7	12
89	он не	4	12
90	значение и	4	12
91	что в	34	12
92	потому что	89	12
93	в истории	8	12
94	ничего не	2	12
95	но не	19	12
96	из них	2	11
97	хотя и	6	11
98	его в	3	11
99	между ними	2	11
100	и у	3	11
101	ни в	2	11
102	в образе	1	11
103	уже в	5	11
104	в ней	9	11
105	и другие	1	10
106	уже не	4	10
107	и того	6	10
108	входит в	1	10
109	влияние на	4	10
110	в ее	2	10
111	сих пор	5	10
112	до сих	5	10
113	и проч	11	10
114	здесь не	2	10
